Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
206,Dominic Ballard,ENG,"FW,MF",Southampton,Premier League,17,2005,0.3,11,0,2,4,5,0,11,2,0,0.0,1,50.0,6,25,10,1,0,0,3,1,7,1,Matches
207,Iván Balliu,ALB,DF,Rayo Vallecano,La Liga,30,1992,35.9,2116,88,503,925,695,26,2116,31,11,35.5,12,38.7,1021,5129,2879,75,51,4,22,9,1150,147,Matches
208,Fodé Ballo-Touré,SEN,DF,Milan,Serie A,25,1997,5.8,352,7,77,168,110,9,352,15,5,33.3,9,60.0,152,762,427,11,7,0,6,6,188,31,Matches
209,Folarin Balogun,USA,FW,Reims,Ligue 1,21,2001,33.3,970,16,72,385,525,198,963,87,35,40.2,44,50.6,742,4561,1697,56,27,45,94,74,743,283,Matches
210,Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,32,1990,15.2,832,52,317,442,81,2,832,9,4,44.4,4,44.4,598,2647,1112,8,5,0,9,4,541,19,Matches
211,Jonathan Bamba,CIV,FW,Lille,Ligue 1,26,1996,30.9,1803,22,170,799,859,140,1803,99,35,35.4,54,54.5,1438,8683,3476,111,84,29,66,61,1354,345,Matches
212,Patrick Bamford,ENG,FW,Leeds United,Premier League,28,1993,16.8,550,19,34,257,266,83,548,34,11,32.4,19,55.9,290,1186,447,17,17,13,56,21,386,96,Matches
213,Lameck Banda,ZAM,"FW,MF",Lecce,Serie A,21,2001,18.2,720,13,75,266,403,74,720,112,48,42.9,48,42.9,505,4583,2236,86,55,38,67,36,509,160,Matches
214,Filippo Bandinelli,ITA,MF,Empoli,Serie A,27,1995,25.1,1333,66,317,658,376,29,1333,42,15,35.7,21,50.0,746,3897,1736,40,41,7,42,30,863,89,Matches
215,Léo Baptistão,BRA,"FW,MF",Almería,La Liga,29,1992,19.2,789,16,158,391,262,61,789,36,14,38.9,16,44.4,465,2611,1484,38,31,9,56,17,525,83,Matches
216,Shandon Baptiste,GRN,MF,Brentford,Premier League,24,1998,6.9,373,12,87,196,97,7,373,13,6,46.2,3,23.1,240,1097,507,8,12,3,16,8,247,23,Matches
217,Antonín Barák,CZE,MF,Hellas Verona,Serie A,27,1994,0.3,16,0,0,10,6,0,16,2,1,50.0,1,50.0,12,68,25,0,0,0,1,1,11,1,Matches
218,Antonín Barák,CZE,MF,Fiorentina,Serie A,27,1994,20.0,904,19,84,470,362,67,904,39,19,48.7,17,43.6,556,3364,1435,45,31,8,34,28,649,93,Matches
219,Andrea Barberis,ITA,MF,Monza,Serie A,28,1993,3.8,194,6,38,126,31,2,194,0,0,0.0,0,0.0,100,487,253,3,7,1,3,6,137,0,Matches
220,Tommaso Barbieri,ITA,DF,Juventus,Serie A,19,2002,1.2,78,1,28,29,21,2,78,3,1,33.3,1,33.3,40,275,125,5,2,0,5,0,50,4,Matches
221,Bradley Barcola,FRA,"FW,MF",Lyon,Ligue 1,19,2002,16.0,666,10,81,243,355,108,666,80,40,50.0,38,47.5,481,3202,1403,51,30,30,36,8,444,156,Matches
222,Melvin Bard,FRA,DF,Nice,Ligue 1,21,2000,27.3,1820,93,603,837,409,26,1820,54,23,42.6,25,46.3,1191,6786,3208,61,60,8,23,16,1050,126,Matches
223,Francesco Bardi,ITA,GK,Bologna,Serie A,30,1992,1.0,25,23,25,0,0,0,25,0,0,0.0,0,0.0,10,46,35,0,0,0,0,1,7,0,Matches
224,Keidi Bare,ALB,MF,Espanyol,La Liga,24,1997,5.6,336,15,67,207,62,5,336,6,2,33.3,3,50.0,181,1012,439,6,13,1,6,3,214,11,Matches
225,Nicolò Barella,ITA,MF,Inter,Serie A,25,1997,29.0,1892,43,303,962,656,57,1892,70,40,57.1,17,24.3,1253,7327,3430,76,69,10,52,39,1426,162,Matches
226,Kike Barja,ESP,"FW,MF",Osasuna,La Liga,25,1997,14.6,674,6,65,199,413,55,674,89,39,43.8,44,49.4,459,3154,1499,61,28,18,44,25,498,185,Matches
227,Ross Barkley,ENG,"MF,FW",Nice,Ligue 1,28,1993,10.7,606,10,91,296,228,26,606,21,12,57.1,8,38.1,457,2573,1229,30,30,7,12,24,434,46,Matches
228,Aymen Barkok,MAR,MF,Mainz 05,Bundesliga,24,1998,6.5,360,12,53,156,158,16,360,20,9,45.0,11,55.0,185,1396,726,17,16,4,16,9,216,28,Matches
229,Harvey Barnes,ENG,"FW,MF",Leicester City,Premier League,24,1997,30.1,1143,17,128,435,600,133,1143,91,27,29.7,53,58.2,734,5174,2749,100,72,48,75,42,900,257,Matches
230,Leandro Barreiro Martins,LUX,MF,Mainz 05,Bundesliga,22,2000,23.8,870,55,221,432,231,58,870,19,5,26.3,9,47.4,356,1564,640,17,16,2,39,13,372,49,Matches
231,Enzo Barrenechea,ARG,MF,Juventus,Serie A,21,2001,1.8,138,3,36,90,13,2,138,1,0,0.0,1,100.0,79,343,171,1,1,0,1,1,93,2,Matches
