Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
646,Dante,BRA,DF,Nice,Ligue 1,38,1983,36.7,2643,2550,88,69,4,12,2,9,0,0,0,0,2376,5,14,Matches
647,Márton Dárdai,GER,"DF,MF",Hertha BSC,Bundesliga,20,2002,10.5,378,359,17,14,1,7,1,2,1,1,0,0,225,2,6,Matches
648,Sergi Darder,ESP,MF,Espanyol,La Liga,28,1993,36.9,1628,1381,237,109,14,19,181,11,93,39,37,3,1181,10,40,Matches
649,Achraf Dari,MAR,DF,Brest,Ligue 1,23,1999,14.6,690,661,27,27,0,7,1,0,0,0,0,0,547,2,4,Matches
650,Vladimír Darida,CZE,MF,Hertha BSC,Bundesliga,31,1990,0.3,12,10,2,1,0,0,0,0,1,0,0,0,8,0,0,Matches
651,Matteo Darmian,ITA,DF,Inter,Serie A,32,1989,22.5,1376,1246,127,18,2,16,28,109,0,0,0,0,1190,3,17,Matches
652,Josh Dasilva,ENG,MF,Brentford,Premier League,23,1998,15.4,617,591,25,8,1,1,33,11,6,4,0,0,491,1,17,Matches
653,David Datro Fofana,CIV,FW,Chelsea,Premier League,19,2002,0.8,9,9,0,0,1,0,1,0,0,0,0,0,7,0,0,Matches
654,Jonathan David,CAN,FW,Lille,Ligue 1,22,2000,35.2,875,817,52,1,6,1,7,5,0,0,0,0,716,6,32,Matches
655,Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,21,2000,22.7,1567,1378,181,26,2,9,25,155,0,0,0,0,1361,8,22,Matches
656,Ben Davies,WAL,DF,Tottenham,Premier League,29,1993,25.4,1281,1190,87,27,1,8,35,60,0,0,0,0,1040,4,22,Matches
657,Tom Davies,ENG,MF,Everton,Premier League,24,1998,6.0,234,227,6,5,3,3,2,1,0,0,0,0,173,1,6,Matches
658,Paweł Dawidowicz,POL,DF,Hellas Verona,Serie A,27,1995,18.1,827,756,70,31,1,1,13,39,0,0,0,0,613,1,11,Matches
659,Craig Dawson,ENG,DF,West Ham,Premier League,32,1990,8.0,310,299,9,8,0,2,2,1,0,0,0,0,245,2,3,Matches
660,Craig Dawson,ENG,DF,Wolves,Premier League,32,1990,15.7,926,897,27,22,0,4,0,5,0,0,0,0,780,2,3,Matches
661,Kevin De Bruyne,BEL,MF,Manchester City,Premier League,31,1991,26.9,1626,1454,160,53,28,27,226,31,72,20,32,6,1192,12,41,Matches
662,Charles De Ketelaere,BEL,"MF,FW",Milan,Serie A,21,2001,12.4,383,362,21,2,2,2,10,9,0,0,0,0,299,0,13,Matches
663,Manuel De Luca,ITA,"FW,MF",Sampdoria,Serie A,24,1998,0.5,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
664,Tommaso De Nipoti,ITA,MF,Atalanta,Serie A,19,2003,0.0,5,5,0,0,0,1,0,0,0,0,0,0,3,0,0,Matches
665,Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,28,1994,21.4,1421,1335,74,47,17,32,47,15,8,2,4,0,1160,12,27,Matches
666,Mattia De Sciglio,ITA,DF,Juventus,Serie A,29,1992,11.6,569,475,93,7,0,6,26,86,0,0,0,0,450,1,4,Matches
667,Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,34,1988,7.5,430,352,78,6,1,1,7,72,0,0,0,0,330,0,6,Matches
668,Thibault De Smet,BEL,DF,Reims,Ligue 1,24,1998,19.5,1123,918,198,7,0,1,48,187,4,0,2,0,878,7,23,Matches
669,Koni De Winter,BEL,DF,Empoli,Serie A,20,2002,11.4,494,473,21,13,0,0,0,1,0,0,0,0,424,0,2,Matches
670,Grégoire Defrel,MTQ,FW,Sassuolo,Serie A,31,1991,13.0,250,219,31,0,1,1,1,1,2,1,0,0,211,0,5,Matches
671,Duccio Degl'Innocenti,ITA,MF,Empoli,Serie A,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
672,Brecht Dejaegere,BEL,MF,Toulouse,Ligue 1,31,1991,20.1,664,619,40,2,5,3,19,8,1,1,0,0,518,5,18,Matches
673,Romain Del Castillo,FRA,"MF,FW",Brest,Ligue 1,26,1996,15.8,673,580,89,24,8,4,101,20,42,19,23,0,448,4,15,Matches
674,Alberto Del Moral,ESP,MF,Villarreal,La Liga,22,2000,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
675,Thomas Delaine,FRA,"DF,MF",Strasbourg,Ligue 1,30,1992,11.9,537,432,104,4,1,1,66,100,0,0,0,0,356,1,24,Matches
676,Thomas Delaney,DEN,MF,Sevilla,La Liga,30,1991,3.4,164,159,4,3,0,1,4,1,0,0,0,0,140,1,1,Matches
677,Thomas Delaney,DEN,MF,Hoffenheim,Bundesliga,30,1991,3.3,162,156,6,6,0,2,3,0,0,0,0,0,110,0,6,Matches
678,Sacha Delaye,FRA,"FW,MF",Montpellier,Ligue 1,20,2002,0.2,14,12,2,0,0,0,0,2,0,0,0,0,8,0,1,Matches
679,Fran Delgado,ESP,DF,Betis,La Liga,21,2001,0.1,8,7,1,0,0,0,1,1,0,0,0,0,7,0,0,Matches
680,Andy Delort,ALG,FW,Nice,Ligue 1,30,1991,8.7,230,211,17,1,1,2,15,0,0,0,0,0,139,2,4,Matches
681,Andy Delort,ALG,FW,Nantes,Ligue 1,30,1991,5.2,138,127,10,0,0,1,17,2,1,0,1,0,73,1,3,Matches
682,Karamoko Dembele,SCO,"FW,MF",Brest,Ligue 1,19,2003,2.0,89,76,12,4,0,0,14,3,5,1,2,0,59,1,3,Matches
683,Moussa Dembélé,FRA,"FW,MF",Lyon,Ligue 1,26,1996,9.7,191,176,15,0,0,0,2,1,0,0,0,0,138,0,10,Matches
684,Ousmane Dembélé,FRA,FW,Barcelona,La Liga,25,1997,15.7,854,768,80,7,13,4,106,8,65,17,19,1,642,6,38,Matches
685,Siriki Dembélé,CIV,"FW,MF",Bournemouth,Premier League,25,1996,1.2,47,45,2,0,0,0,3,2,0,0,0,0,37,0,1,Matches
686,Siriki Dembélé,CIV,"MF,FW",Auxerre,Ligue 1,25,1996,4.1,97,94,3,1,0,0,6,1,1,1,0,0,78,0,3,Matches
687,Merih Demiral,TUR,DF,Atalanta,Serie A,24,1998,17.1,653,587,66,41,0,3,2,2,0,0,0,0,560,0,1,Matches
688,Kerem Demirbay,GER,MF,Leverkusen,Bundesliga,29,1993,17.2,1069,940,124,56,3,8,90,7,55,29,20,0,827,5,19,Matches
689,Ermedin Demirović,BIH,"FW,MF",Augsburg,Bundesliga,24,1998,26.3,533,501,27,0,2,2,19,5,0,0,0,0,268,5,32,Matches
690,Diego Demme,GER,MF,Napoli,Serie A,30,1991,1.6,191,187,4,4,0,0,0,0,0,0,0,0,181,0,1,Matches
691,Sepp van den Berg,NED,DF,Schalke 04,Bundesliga,20,2001,7.7,334,319,14,9,0,3,0,5,0,0,0,0,277,1,0,Matches
692,Branco van den Boomen,NED,MF,Toulouse,Ligue 1,27,1995,32.1,2214,1891,310,89,12,70,282,21,169,58,101,0,1684,13,37,Matches
693,Leander Dendoncker,BEL,MF,Aston Villa,Premier League,27,1995,7.7,284,278,5,4,0,0,2,1,0,0,0,0,248,1,5,Matches
694,Leander Dendoncker,BEL,MF,Wolves,Premier League,27,1995,2.4,99,96,3,3,0,2,1,0,0,0,0,0,86,0,5,Matches
695,Emmanuel Dennis,NGA,"FW,MF",Nott'ham Forest,Premier League,24,1997,8.0,183,178,4,0,0,0,11,3,0,0,0,0,124,1,14,Matches
696,Fabio Depaoli,ITA,DF,Hellas Verona,Serie A,25,1997,24.1,685,499,183,5,1,2,60,176,2,1,1,0,440,3,17,Matches
697,Fabio Depaoli,ITA,"DF,MF",Sampdoria,Serie A,25,1997,1.5,95,75,20,1,1,0,8,19,0,0,0,0,74,0,1,Matches
698,Kastriot Dermaku,ALB,DF,Lecce,Serie A,30,1992,0.4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
699,Halil Dervişoğlu,TUR,MF,Brentford,Premier League,22,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
700,Rémy Descamps,FRA,GK,Nantes,Ligue 1,26,1996,1.0,26,18,8,2,0,0,0,0,0,0,0,0,22,0,0,Matches
701,Mikkel Desler,DEN,DF,Toulouse,Ligue 1,27,1995,25.1,1573,1338,230,22,1,2,42,208,0,0,0,0,1336,5,36,Matches
702,Cyriel Dessers,NGA,FW,Cremonese,Serie A,27,1994,17.6,280,250,29,0,1,1,8,3,0,0,0,0,180,1,9,Matches
703,Sergiño Dest,USA,DF,Milan,Serie A,21,2000,3.7,198,154,44,1,0,1,4,43,0,0,0,0,169,0,5,Matches
704,Mattia Destro,ITA,"FW,MF",Empoli,Serie A,31,1991,6.4,79,74,5,0,0,0,2,0,0,0,0,0,44,0,5,Matches
705,Gerard Deulofeu,ESP,FW,Udinese,Serie A,28,1994,13.5,588,475,110,27,1,0,59,14,43,20,14,0,443,3,14,Matches
706,Kiernan Dewsbury-Hall,ENG,MF,Leicester City,Premier League,23,1998,25.6,1154,1120,24,9,9,20,46,3,7,7,0,0,872,10,26,Matches
707,Samuel Di Carmine,ITA,"FW,MF",Cremonese,Serie A,33,1988,0.3,8,7,1,0,0,0,0,0,0,0,0,0,6,0,0,Matches
708,Federico Di Francesco,ITA,"FW,MF",Lecce,Serie A,28,1994,22.6,511,466,42,2,7,3,45,11,29,0,2,0,340,3,24,Matches
709,Michele Di Gregorio,ITA,GK,Monza,Serie A,25,1997,37.0,1515,1162,350,103,0,9,0,0,0,0,0,0,1151,3,0,Matches
710,Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,28,1993,36.2,2687,2311,366,58,5,25,88,304,2,0,0,0,2272,10,61,Matches
711,Ángel Di María,ARG,"FW,MF",Juventus,Serie A,34,1988,15.1,675,571,97,29,7,14,97,16,44,16,25,0,487,7,21,Matches
712,Boulaye Dia,SEN,"FW,MF",Salernitana,Serie A,25,1996,28.0,589,566,20,0,2,7,6,3,0,0,0,0,449,3,30,Matches
713,Moussa Diaby,FRA,"FW,MF",Leverkusen,Bundesliga,23,1999,30.0,1003,938,57,6,12,5,95,28,13,4,5,0,741,8,31,Matches
714,Mouctar Diakhaby,GUI,DF,Valencia,La Liga,25,1996,27.2,1185,1141,42,37,0,12,1,1,0,0,0,0,971,2,6,Matches
715,Mamadou Diakhon,FRA,FW,Reims,Ligue 1,16,2005,0.2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
716,Bafodé Diakité,FRA,DF,Lille,Ligue 1,21,2001,29.5,1944,1657,285,47,0,5,19,237,0,0,0,0,1728,2,26,Matches
717,Ibrahim Diakité,GUI,DF,Reims,Ligue 1,18,2003,1.5,68,48,20,1,0,0,7,19,0,0,0,0,48,0,2,Matches
718,Abdou Diallo,SEN,"DF,MF",RB Leipzig,Bundesliga,26,1996,5.3,381,365,15,13,1,3,1,2,0,0,0,0,323,1,2,Matches
719,Baila Diallo,FRA,"DF,MF",Clermont Foot,Ligue 1,21,2001,1.0,47,32,15,0,0,0,5,15,0,0,0,0,32,0,2,Matches
720,Habib Diallo,SEN,FW,Strasbourg,Ligue 1,27,1995,32.0,597,575,17,1,7,4,7,0,0,0,0,0,397,5,31,Matches
721,Ibrahima Diallo,FRA,MF,Southampton,Premier League,23,1999,9.1,402,395,7,7,0,2,4,0,0,0,0,0,317,0,9,Matches
722,Ismael Diallo,CIV,DF,Ajaccio,Ligue 1,25,1997,24.2,1078,882,193,11,4,5,35,182,0,0,0,0,804,3,25,Matches
723,Mamady Diarra,MLI,"MF,DF",Cádiz,La Liga,22,2000,0.7,9,9,0,0,0,0,0,0,0,0,0,0,8,0,1,Matches
724,Mouhamadou Diarra,FRA,"MF,FW",Strasbourg,Ligue 1,18,2004,18.1,660,628,32,3,3,3,48,20,1,0,0,0,506,0,13,Matches
725,Moussa Diarra,MLI,DF,Toulouse,Ligue 1,21,2000,13.6,646,552,89,21,0,5,13,68,0,0,0,0,537,5,15,Matches
726,Stéphane Diarra,FRA,"FW,MF",Lorient,Ligue 1,23,1998,11.8,328,313,15,1,0,0,15,10,4,2,0,0,240,0,15,Matches
727,Youba Diarra,MLI,MF,Cádiz,La Liga,24,1998,1.1,49,49,0,0,1,0,0,0,0,0,0,0,40,0,1,Matches
728,Rúben Dias,POR,DF,Manchester City,Premier League,25,1997,22.2,2080,2029,51,38,1,6,1,7,0,0,0,0,1928,0,7,Matches
729,Krépin Diatta,SEN,"MF,FW",Monaco,Ligue 1,23,1999,23.0,771,746,19,1,0,2,54,18,0,0,0,0,581,6,21,Matches
730,Mory Diaw,SEN,GK,Clermont Foot,Ligue 1,29,1993,37.0,1467,1034,430,175,0,8,0,0,0,0,0,0,1034,3,1,Matches
731,Brahim Díaz,ESP,"MF,FW",Milan,Serie A,22,1999,21.4,719,677,37,8,11,2,20,9,6,0,4,0,575,5,24,Matches
732,Luis Díaz,COL,FW,Liverpool,Premier League,25,1997,11.1,462,453,7,0,0,7,8,6,1,0,0,0,376,2,15,Matches
733,Justin Diehl,GER,"MF,FW",Köln,Bundesliga,17,2004,0.2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
734,Bamba Dieng,SEN,"FW,MF",Marseille,Ligue 1,22,2000,2.2,43,39,4,0,0,0,1,0,0,0,0,0,27,0,1,Matches
735,Bamba Dieng,SEN,FW,Lorient,Ligue 1,22,2000,8.3,141,135,6,0,1,0,5,2,0,0,0,0,106,0,9,Matches
736,Eric Dier,ENG,DF,Tottenham,Premier League,28,1994,31.3,2001,1929,68,58,2,17,11,8,0,0,0,0,1708,4,15,Matches
737,Florian Dietz,GER,FW,Köln,Bundesliga,23,1998,4.4,76,66,9,0,0,0,4,2,0,0,0,0,39,1,3,Matches
738,Lucas Digne,FRA,DF,Aston Villa,Premier League,29,1993,16.7,927,749,177,23,0,4,77,142,12,5,4,0,696,1,23,Matches
739,Federico Dimarco,ITA,DF,Inter,Serie A,24,1997,23.0,1257,1035,220,39,0,21,207,116,60,16,36,0,925,2,21,Matches
740,Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,28,1993,36.9,1124,717,398,99,0,4,0,0,0,0,0,0,690,9,1,Matches
741,Junior Dina Ebimbe,FRA,"DF,MF",Eint Frankfurt,Bundesliga,21,2000,11.8,505,448,53,3,2,0,8,50,0,0,0,0,366,4,9,Matches
742,Tristan Dingomé,CMR,MF,Troyes,Ligue 1,31,1991,1.1,78,68,9,2,0,0,5,2,5,2,1,0,55,1,1,Matches
743,Eren Dinkçi,GER,"FW,MF",Werder Bremen,Bundesliga,20,2001,2.6,77,68,7,0,0,1,4,5,0,0,0,0,50,2,1,Matches
744,Sinaly Diomande,CIV,DF,Lyon,Ligue 1,21,2001,21.7,1468,1369,98,43,0,2,2,53,0,0,0,0,1257,1,18,Matches
745,Lois Diony,FRA,FW,Angers,Ligue 1,29,1992,5.6,142,127,15,0,0,1,3,2,0,0,0,0,109,0,3,Matches
746,Edan Diop,FRA,"DF,FW",Monaco,Ligue 1,17,2004,2.5,121,113,6,1,1,0,7,5,0,0,0,0,89,2,5,Matches
747,Issa Diop,FRA,DF,Fulham,Premier League,25,1997,22.4,1399,1352,46,41,0,8,2,1,0,0,0,0,1216,1,8,Matches
748,Sofiane Diop,FRA,"MF,FW",Nice,Ligue 1,22,2000,13.6,703,655,47,11,6,11,44,7,28,12,8,0,556,1,15,Matches
749,Sofiane Diop,FRA,MF,Monaco,Ligue 1,22,2000,0.7,33,26,7,1,0,0,7,0,6,4,2,0,20,0,1,Matches
750,Yehvann Diouf,FRA,GK,Reims,Ligue 1,22,1999,31.0,1063,813,246,61,0,5,0,0,0,0,0,0,851,4,0,Matches
751,Axel Disasi,FRA,DF,Monaco,Ligue 1,24,1998,37.0,1957,1882,71,50,2,25,14,21,0,0,0,0,1630,4,17,Matches
752,Tiago Djaló,POR,DF,Lille,Ligue 1,22,2000,22.4,1599,1511,84,36,0,3,3,20,0,0,0,0,1481,4,11,Matches
753,Djené,TOG,DF,Getafe,La Liga,30,1991,31.6,1154,1094,52,31,1,4,23,21,0,0,0,0,884,8,21,Matches
754,Moussa Djenepo,MLI,"DF,FW",Southampton,Premier League,24,1998,7.9,244,216,27,3,0,2,12,24,0,0,0,0,179,1,11,Matches
755,Koffi Djidji,CIV,DF,Torino,Serie A,29,1992,26.9,1441,1408,30,15,1,10,13,14,0,0,0,0,1249,3,20,Matches
756,Alexander Djiku,GHA,DF,Strasbourg,Ligue 1,27,1994,29.7,1507,1431,72,56,0,20,6,9,0,0,0,0,1215,4,13,Matches
757,Berat Djimsiti,ALB,DF,Atalanta,Serie A,29,1993,20.0,1093,1047,45,29,0,3,0,15,0,0,0,0,953,1,8,Matches
758,Moussa Djitte,SEN,FW,Ajaccio,Ligue 1,22,1999,1.5,32,32,0,0,0,0,0,0,0,0,0,0,24,0,1,Matches
759,Ouparine Djoco,GNB,GK,Clermont Foot,Ligue 1,24,1998,1.0,40,28,12,2,0,0,0,0,0,0,0,0,26,0,0,Matches
760,Marko Dmitrović,SRB,GK,Sevilla,La Liga,30,1992,14.1,508,330,173,42,0,1,0,0,0,0,0,0,271,5,2,Matches
761,Alan Do Marcolino,GAB,FW,Rennes,Ligue 1,20,2002,0.2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
762,Ben Doak,SCO,FW,Liverpool,Premier League,16,2005,0.3,14,14,0,0,0,0,0,0,0,0,0,0,10,0,1,Matches
763,Ritsu Doan,JPN,"MF,FW",Freiburg,Bundesliga,24,1998,26.9,625,616,5,1,4,5,30,1,3,1,2,0,437,4,33,Matches
764,Dodô,BRA,DF,Fiorentina,Serie A,23,1998,25.9,1504,1272,229,21,2,8,61,208,0,0,0,0,1222,3,28,Matches
765,Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,24,1998,24.6,955,932,23,15,0,4,10,2,0,0,0,0,756,0,13,Matches
766,Matt Doherty,IRL,"DF,MF",Tottenham,Premier League,30,1992,7.4,408,345,61,2,0,1,18,59,0,0,0,0,329,2,8,Matches
767,Matt Doherty,IRL,DF,Atlético Madrid,La Liga,30,1992,0.2,9,7,2,1,0,0,0,1,0,0,0,0,6,0,0,Matches
768,Josh Doig,SCO,DF,Hellas Verona,Serie A,20,2002,15.0,534,412,119,1,0,0,46,116,2,2,0,0,360,3,21,Matches
769,Jeremy Doku,BEL,"MF,FW",Rennes,Ligue 1,20,2002,14.3,521,516,3,2,2,3,24,1,0,0,0,0,433,2,13,Matches
770,Kasper Dolberg,DEN,FW,Sevilla,La Liga,24,1997,2.2,28,24,3,0,0,0,0,0,0,0,0,0,19,1,0,Matches
771,Kasper Dolberg,DEN,"FW,MF",Hoffenheim,Bundesliga,24,1997,4.5,79,73,4,0,0,0,1,2,0,0,0,0,55,2,1,Matches
772,Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,21,2001,1.2,34,34,0,0,0,0,0,0,0,0,0,0,28,0,1,Matches
773,Nicolás Domínguez,ARG,MF,Bologna,Serie A,24,1998,25.6,1420,1335,73,43,19,14,19,26,0,0,0,0,1169,12,25,Matches
774,John Donald,ESP,"MF,DF",Elche,La Liga,21,2000,12.1,427,419,5,4,0,2,0,1,0,0,0,0,356,3,7,Matches
775,Giulio Donati,ITA,DF,Monza,Serie A,32,1990,4.7,321,285,34,9,0,4,9,24,1,0,0,0,273,2,4,Matches
776,Kyliane Dong,FRA,"MF,FW",Troyes,Ligue 1,17,2004,2.4,53,51,2,0,1,1,6,0,2,1,0,0,35,0,5,Matches
777,Jordan Dongmo,CMR,MF,Troyes,Ligue 1,21,2001,0.2,10,9,1,1,0,0,0,0,0,0,0,0,9,0,0,Matches
778,Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,23,1999,37.9,935,681,254,47,0,1,0,0,0,0,0,0,811,0,1,Matches
779,Niklas Dorsch,GER,MF,Augsburg,Bundesliga,24,1998,5.4,183,172,11,11,1,0,1,0,0,0,0,0,140,0,2,Matches
780,Gabriel Dos Santos,BRA,DF,Arsenal,Premier League,24,1997,37.9,2411,2318,89,60,1,11,5,6,0,0,0,0,2155,4,19,Matches
781,Jodel Dossou,BEN,"MF,DF",Clermont Foot,Ligue 1,30,1992,2.9,59,55,4,0,0,0,10,4,0,0,0,0,39,0,2,Matches
782,Lohann Doucet,FRA,"MF,FW",Nantes,Ligue 1,19,2002,1.0,79,76,3,2,0,2,0,1,0,0,0,0,67,0,1,Matches
783,Abdoulaye Doucouré,MLI,MF,Everton,Premier League,29,1993,17.0,548,530,16,0,1,0,8,0,0,0,0,0,430,2,14,Matches
784,Cheick Doucouré,MLI,MF,Crystal Palace,Premier League,22,2000,30.8,1247,1229,16,16,3,2,6,0,0,0,0,0,1038,2,30,Matches
785,Ckene Doucouré,COM,"FW,MF",Lorient,Ligue 1,20,2002,1.5,46,44,1,0,1,0,0,0,1,0,0,0,29,1,3,Matches
786,Désiré Doué,FRA,"MF,FW",Rennes,Ligue 1,17,2005,12.4,453,437,15,1,3,1,30,1,12,6,3,0,351,1,4,Matches
787,Guela Doué,FRA,"FW,MF",Rennes,Ligue 1,19,2002,0.1,10,9,1,1,0,0,0,0,0,0,0,0,9,0,0,Matches
788,Ismaël Doukouré,FRA,"DF,MF",Strasbourg,Ligue 1,19,2003,25.5,1106,1010,95,44,3,13,11,50,0,0,0,0,910,1,16,Matches
789,Kamory Doumbia,MLI,MF,Reims,Ligue 1,19,2003,12.8,538,523,9,3,5,1,9,4,1,0,0,0,428,6,14,Matches
790,Souleyman Doumbia,CIV,"DF,FW",Angers,Ligue 1,25,1996,19.9,952,779,173,16,0,0,48,154,3,3,0,0,762,0,26,Matches
791,Flynn Downes,ENG,MF,West Ham,Premier League,23,1999,8.5,331,323,7,2,0,2,3,0,0,0,0,0,289,1,6,Matches
792,Kami Doyle,ENG,MF,Southampton,Premier League,16,2005,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
793,Bartłomiej Drągowski,POL,GK,Spezia,Serie A,24,1997,32.7,1173,889,282,86,0,3,0,0,0,0,0,0,808,2,1,Matches
794,Cody Drameh,ENG,DF,Leeds United,Premier League,20,2001,0.8,38,31,7,1,0,0,1,6,0,0,0,0,30,0,1,Matches
795,Dion Drena Beljo,CRO,FW,Augsburg,Bundesliga,20,2002,12.5,250,242,5,0,0,0,5,1,0,0,0,0,159,3,4,Matches
796,Dominick Drexler,GER,"MF,FW",Schalke 04,Bundesliga,32,1990,15.2,498,464,32,5,2,0,47,14,12,6,3,0,325,2,27,Matches
797,Domingos Duarte,POR,DF,Getafe,La Liga,27,1995,29.5,963,927,34,31,0,10,0,3,0,0,0,0,742,2,4,Matches
798,Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,33,1989,1.7,54,38,16,1,0,0,0,0,0,0,0,0,49,0,0,Matches
799,Marvin Ducksch,GER,FW,Werder Bremen,Bundesliga,28,1994,31.7,956,742,206,69,8,15,164,6,91,25,46,1,583,8,15,Matches
800,Ondrej Duda,SVK,MF,Hellas Verona,Serie A,27,1994,11.8,433,400,30,10,2,6,14,2,7,4,1,0,323,3,9,Matches
801,Ondrej Duda,SVK,MF,Köln,Bundesliga,27,1994,7.7,279,259,19,6,0,7,12,2,1,1,0,0,208,1,10,Matches
802,Shane Duffy,IRL,"DF,FW",Fulham,Premier League,30,1992,0.2,20,19,1,0,0,0,0,0,0,0,0,0,16,0,0,Matches
803,Rémy Dugimont,FRA,"FW,MF",Auxerre,Ligue 1,36,1986,1.3,61,59,2,0,0,1,0,0,0,0,0,0,41,0,3,Matches
804,Denzel Dumfries,NED,DF,Inter,Serie A,26,1996,24.6,1004,833,168,6,1,2,82,162,0,0,0,0,745,3,27,Matches
805,Alfred Duncan,GHA,MF,Fiorentina,Serie A,29,1993,12.3,540,518,19,9,4,2,26,6,4,0,4,0,421,3,10,Matches
806,Lewis Dunk,ENG,DF,Brighton,Premier League,30,1991,36.0,3223,3064,156,111,4,21,2,10,0,0,0,0,2911,3,13,Matches
807,Maxime Dupé,FRA,GK,Toulouse,Ligue 1,29,1993,38.0,1271,918,352,88,0,2,0,0,0,0,0,0,994,1,1,Matches
808,Jhon Durán,COL,"FW,MF",Aston Villa,Premier League,18,2003,1.5,29,26,3,0,0,0,2,1,0,0,0,0,16,0,1,Matches
809,Pablo Durán,ESP,"MF,DF",Celta Vigo,La Liga,21,2001,0.4,21,21,0,0,0,0,1,0,0,0,0,0,14,0,0,Matches
810,Julien Duranville,BEL,MF,Dortmund,Bundesliga,16,2006,0.3,17,16,1,0,0,0,7,1,0,0,0,0,11,0,1,Matches
811,Hugo Duro,ESP,FW,Valencia,La Liga,22,1999,15.4,277,248,27,2,0,3,2,1,0,0,0,0,203,2,9,Matches
812,Jean-Kevin Duverne,HAI,DF,Brest,Ligue 1,25,1997,27.9,1480,1188,285,16,0,9,85,269,0,0,0,0,1059,7,39,Matches
813,Paulo Dybala,ARG,"MF,FW",Roma,Serie A,28,1993,19.3,833,734,97,23,5,28,82,10,54,14,37,0,650,2,28,Matches
814,Edin Džeko,BIH,FW,Inter,Serie A,36,1986,19.2,528,505,20,1,6,8,24,1,0,0,0,0,364,3,16,Matches
815,Malcolm Ebiowei,ENG,"MF,FW",Crystal Palace,Premier League,18,2003,0.4,10,10,0,0,0,0,3,0,0,0,0,0,5,0,2,Matches
816,Festy Ebosele,IRL,DF,Udinese,Serie A,19,2002,4.6,151,137,14,1,1,0,16,13,0,0,0,0,101,0,6,Matches
817,Enzo Ebosse,CMR,DF,Udinese,Serie A,23,1999,10.3,557,479,77,17,0,11,15,59,1,0,0,0,453,1,3,Matches
818,Tyronne Ebuehi,NGA,DF,Empoli,Serie A,26,1995,21.4,881,684,192,7,0,0,28,185,0,0,0,0,688,5,28,Matches
819,Ederson,BRA,GK,Manchester City,Premier League,28,1993,35.0,1257,1049,207,55,1,8,0,0,0,0,0,0,1079,1,1,Matches
820,Éderson,BRA,MF,Atalanta,Serie A,23,1999,24.6,1091,1061,28,19,1,20,15,2,4,2,0,0,884,2,28,Matches
821,Odsonne Édouard,FRA,FW,Crystal Palace,Premier League,24,1998,20.0,412,390,20,0,1,0,4,0,0,0,0,0,295,2,12,Matches
822,Samuel Edozie,ENG,"FW,MF",Southampton,Premier League,19,2003,6.3,164,163,0,0,1,0,11,0,0,0,0,0,111,1,12,Matches
823,Maximilian Eggestein,GER,MF,Freiburg,Bundesliga,25,1996,27.2,864,852,9,9,2,2,12,0,0,0,0,0,660,3,31,Matches
824,Lilian Egloff,GER,"MF,FW",Stuttgart,Bundesliga,19,2002,2.7,73,66,4,0,2,0,2,1,0,0,0,0,42,3,2,Matches
825,Íñigo Eguaras,ESP,MF,Almería,La Liga,30,1992,10.7,543,524,15,11,5,5,3,1,2,0,0,0,458,4,7,Matches
826,Kingsley Ehizibue,NED,DF,Udinese,Serie A,27,1995,17.1,565,493,72,1,0,2,37,70,1,0,0,0,412,0,30,Matches
827,Kingsley Ehizibue,NED,DF,Köln,Bundesliga,27,1995,0.7,24,18,6,1,0,0,0,5,0,0,0,0,15,0,1,Matches
828,Julian Eitschberger,GER,FW,Hertha BSC,Bundesliga,18,2004,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
829,Chidera Ejuke,NGA,"FW,MF",Hertha BSC,Bundesliga,24,1998,9.9,292,282,8,1,3,2,16,4,3,1,1,0,227,2,6,Matches
830,Albin Ekdal,SWE,MF,Spezia,Serie A,33,1989,19.3,782,756,24,20,1,4,4,2,0,0,0,0,606,2,14,Matches
831,Hugo Ekitike,FRA,FW,Paris S-G,Ligue 1,20,2002,12.8,331,310,20,1,3,1,2,0,0,0,0,0,271,1,6,Matches
