Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
67,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,1991,22.7,1046,978,63,44,6,27,44,0,15,9,2,2,827,5,17,Matches
68,Omar Alderete,PAR,DF,Getafe,La Liga,25,1996,22.7,877,826,37,30,1,25,7,7,0,0,0,0,509,14,13,Matches
69,Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,27,1995,14.6,392,365,25,5,1,0,108,13,7,2,4,0,219,2,26,Matches
70,Doğan Alemdar,TUR,GK,Rennes,Ligue 1,19,2002,4.5,145,96,48,13,0,0,0,0,0,0,0,0,95,1,0,Matches
71,Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,24,1998,23.5,809,782,21,8,3,10,43,2,9,5,4,0,607,6,18,Matches
72,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,23,1998,32.5,2912,2393,509,70,26,59,252,341,98,16,74,1,2188,10,37,Matches
73,Alejandro Alfaro,ESP,MF,Elche,La Liga,20,2002,0.2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
74,Ángel Algobia,ESP,MF,Getafe,La Liga,23,1999,12.6,521,502,17,15,0,5,11,0,1,1,0,0,420,2,8,Matches
75,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,18,2004,6.5,165,158,6,0,0,0,30,0,2,1,1,0,108,1,6,Matches
76,Faride Alidou,GER,"DF,MF",Eint Frankfurt,Bundesliga,21,2001,2.0,101,84,17,0,0,0,7,17,0,0,0,0,74,0,2,Matches
77,Alisson,BRA,GK,Liverpool,Premier League,29,1992,37.0,1453,1199,250,57,0,2,0,0,0,0,0,0,1241,4,1,Matches
78,Jim Allevinah,GAB,"DF,FW",Clermont Foot,Ligue 1,27,1995,24.9,848,789,58,7,0,3,65,50,0,0,0,0,658,1,32,Matches
79,Dele Alli,ENG,MF,Everton,Premier League,26,1996,0.4,15,13,2,1,0,0,0,0,0,0,0,0,12,0,0,Matches
80,Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22,2000,28.2,1402,1226,164,72,7,12,127,13,63,22,17,0,1110,12,18,Matches
81,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,28,1994,27.7,982,946,30,0,3,4,26,18,11,0,0,0,811,6,29,Matches
82,Marcos Alonso,ESP,DF,Barcelona,La Liga,31,1990,13.0,1005,956,47,16,1,11,23,16,12,6,4,0,896,2,8,Matches
83,Mickaël Alphonse,GLP,DF,Ajaccio,Ligue 1,33,1989,15.1,686,527,157,8,0,0,27,149,0,0,0,0,448,2,21,Matches
84,Éder Álvarez Balanta,COL,"MF,FW",Schalke 04,Bundesliga,29,1993,2.6,91,84,5,3,1,1,2,0,2,1,1,0,64,2,1,Matches
85,Carlos Álvarez,ESP,MF,Sevilla,La Liga,18,2003,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
86,Gastón Álvarez,URU,DF,Getafe,La Liga,22,2000,16.7,579,431,147,6,0,2,23,141,0,0,0,0,350,1,16,Matches
87,Julián Álvarez,ARG,"FW,MF",Manchester City,Premier League,22,2000,16.3,503,478,21,2,7,3,26,4,4,3,0,0,395,4,17,Matches
88,Agustín Álvarez Martínez,URU,"FW,MF",Sassuolo,Serie A,21,2001,4.1,84,76,8,0,0,1,4,0,3,0,3,0,68,0,1,Matches
89,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,27,1995,25.9,1392,1308,80,72,5,35,9,2,0,0,0,0,1123,4,12,Matches
90,Ibrahim Amadou,FRA,"DF,MF",Angers,Ligue 1,29,1993,4.7,190,186,4,4,0,0,1,0,0,0,0,0,161,0,5,Matches
91,Selim Amallah,MAR,"MF,FW",Valladolid,La Liga,25,1996,3.0,83,80,3,0,0,1,2,2,0,0,0,0,63,0,1,Matches
92,Daniel Amartey,GHA,DF,Leicester City,Premier League,27,1994,17.9,1114,1092,20,15,2,2,0,5,0,0,0,0,1015,2,2,Matches
93,Amath,SEN,"MF,FW",Mallorca,La Liga,26,1996,13.6,299,278,20,1,1,1,16,8,0,0,0,0,215,1,16,Matches
94,Jordan Amavi,FRA,DF,Getafe,La Liga,28,1994,2.2,96,69,27,1,0,0,6,26,0,0,0,0,51,0,5,Matches
95,Lukáš Ambros,CZE,MF,Wolfsburg,Bundesliga,18,2004,0.2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
96,Kelvin Amian,FRA,DF,Spezia,Serie A,24,1998,26.4,1110,869,238,14,1,2,39,222,2,0,1,0,830,3,31,Matches
97,Bruno Amione,ARG,DF,Hellas Verona,Serie A,20,2002,0.6,16,9,7,0,0,0,0,3,0,0,0,0,11,0,1,Matches
