Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
28,Michel Aebischer,SUI,"FW,MF",Bologna,Serie A,25,1997,17.1,35,2.04,25,3,2,2,2,1,3,0.18,1,0,0,1,1,0,Matches
29,Felix Afena-Gyan,GHA,"FW,MF",Cremonese,Serie A,19,2003,9.1,15,1.65,10,0,1,4,0,0,1,0.11,0,0,0,1,0,0,Matches
30,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,26.5,31,1.17,26,1,0,4,0,0,3,0.11,2,0,0,1,0,0,Matches
31,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,7.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
32,Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,12.2,27,2.22,23,3,0,1,0,0,1,0.08,1,0,0,0,0,0,Matches
33,Felix Agu,GER,"DF,FW",Werder Bremen,Bundesliga,22,1999,0.5,4,7.2,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
34,Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,21.0,76,3.62,56,13,3,0,4,0,4,0.19,2,2,0,0,0,0,Matches
35,Kevin Agudelo,COL,"MF,FW",Spezia,Serie A,23,1998,23.7,59,2.49,41,1,9,4,4,0,3,0.13,2,0,0,0,1,0,Matches
36,Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,17.7,14,0.79,12,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
37,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,13.0,18,1.38,14,1,0,1,1,1,2,0.15,2,0,0,0,0,0,Matches
38,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,20,2002,1.0,2,1.91,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
39,Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,20,2002,15.5,38,2.45,31,0,3,2,1,1,7,0.45,7,0,0,0,0,0,Matches
40,Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
41,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,14.4,28,1.94,21,1,0,1,2,3,2,0.14,2,0,0,0,0,0,Matches
42,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,34.7,10,0.29,8,0,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
43,Ola Aina,NGA,DF,Torino,Serie A,25,1996,9.7,27,2.77,21,2,3,0,1,0,3,0.31,2,0,1,0,0,0,Matches
44,Rayan Aït Nouri,ALG,DF,Wolves,Premier League,21,2001,12.0,23,1.93,14,2,4,1,2,0,0,0.0,0,0,0,0,0,0,Matches
45,Emanuel Aiwum,AUT,DF,Cremonese,Serie A,21,2000,18.4,11,0.6,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
46,Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,8.5,4,0.47,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
47,Ludovic Ajorque,FRA,FW,Strasbourg,Ligue 1,28,1994,8.6,22,2.57,20,0,0,2,0,0,2,0.23,1,0,0,1,0,0,Matches
48,Ludovic Ajorque,FRA,"FW,MF",Mainz 05,Bundesliga,28,1994,13.5,34,2.53,26,0,0,5,3,0,3,0.22,2,0,0,1,0,0,Matches
49,Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,25.4,23,0.91,22,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
50,Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,20.8,24,1.15,20,1,0,2,0,1,2,0.1,2,0,0,0,0,0,Matches
51,Sergio Akieme,ESP,DF,Almería,La Liga,24,1997,25.5,36,1.41,29,1,1,3,0,2,3,0.12,2,0,1,0,0,0,Matches
52,Babatunde Akinsola,NGA,FW,Valladolid,La Liga,19,2003,0.1,1,8.18,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
53,Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,20,2002,4.5,9,2.01,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
54,Paul Akouokou,CIV,"MF,DF",Betis,La Liga,24,1997,5.0,2,0.4,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
55,Jean-Daniel Akpa-Akpro,CIV,"MF,FW",Empoli,Serie A,29,1992,15.1,28,1.86,18,0,3,2,2,3,5,0.33,3,0,1,1,0,0,Matches
56,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,21.7,17,0.79,14,0,3,0,0,0,1,0.05,1,0,0,0,0,0,Matches
57,David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,20.4,27,1.32,23,3,0,1,0,0,4,0.2,3,0,0,1,0,0,Matches
58,Ángel Alarcón,ESP,FW,Barcelona,La Liga,18,2004,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
59,Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,1999,2.5,4,1.61,2,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
60,Lucas Alario,ARG,"FW,MF",Eint Frankfurt,Bundesliga,29,1992,3.7,8,2.17,6,0,1,1,0,0,2,0.54,1,0,0,1,0,0,Matches
61,Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,15.8,59,3.74,52,5,1,1,0,0,6,0.38,5,1,0,0,0,0,Matches
62,Luis Alberto,ESP,MF,Lazio,Serie A,29,1992,27.1,115,4.24,80,30,0,4,0,1,15,0.55,13,2,0,0,0,0,Matches
63,Raúl Albiol,ESP,DF,Villarreal,La Liga,36,1985,23.5,12,0.51,12,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
64,Marc Albrighton,ENG,"FW,MF",Leicester City,Premier League,32,1989,2.6,7,2.66,5,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
65,Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,13.9,41,2.94,33,0,3,1,1,3,2,0.14,2,0,0,0,0,0,Matches
66,Carlos Alcaraz,ARG,"MF,FW",Southampton,Premier League,19,2002,11.4,22,1.92,14,0,2,3,2,1,4,0.35,3,0,0,1,0,0,Matches
67,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,1991,22.7,47,2.07,34,9,1,1,2,0,2,0.09,2,0,0,0,0,0,Matches
68,Omar Alderete,PAR,DF,Getafe,La Liga,25,1996,22.7,24,1.06,22,0,0,2,0,0,3,0.13,3,0,0,0,0,0,Matches
69,Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,27,1995,14.6,40,2.75,27,3,3,5,2,0,0,0.0,0,0,0,0,0,0,Matches
70,Doğan Alemdar,TUR,GK,Rennes,Ligue 1,19,2002,4.5,1,0.22,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
71,Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,24,1998,23.5,44,1.87,30,2,1,2,9,0,4,0.17,4,0,0,0,0,0,Matches
72,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,23,1998,32.5,124,3.82,81,34,3,5,1,0,17,0.52,14,2,1,0,0,0,Matches
73,Alejandro Alfaro,ESP,MF,Elche,La Liga,20,2002,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
74,Ángel Algobia,ESP,MF,Getafe,La Liga,23,1999,12.6,16,1.27,13,0,1,2,0,0,1,0.08,1,0,0,0,0,0,Matches
75,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,18,2004,6.5,19,2.9,12,1,2,2,1,1,2,0.31,2,0,0,0,0,0,Matches
76,Faride Alidou,GER,"DF,MF",Eint Frankfurt,Bundesliga,21,2001,2.0,8,3.87,7,0,1,0,0,0,1,0.48,1,0,0,0,0,0,Matches
77,Alisson,BRA,GK,Liverpool,Premier League,29,1992,37.0,3,0.08,3,0,0,0,0,0,2,0.05,2,0,0,0,0,0,Matches
78,Jim Allevinah,GAB,"DF,FW",Clermont Foot,Ligue 1,27,1995,24.9,48,1.93,39,1,3,2,3,0,2,0.08,1,0,0,1,0,0,Matches
79,Dele Alli,ENG,MF,Everton,Premier League,26,1996,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
80,Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22,2000,28.2,91,3.22,67,17,1,1,2,3,5,0.18,3,2,0,0,0,0,Matches
81,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,28,1994,27.7,87,3.14,63,2,10,9,3,0,13,0.47,5,1,5,2,0,0,Matches
82,Marcos Alonso,ESP,DF,Barcelona,La Liga,31,1990,13.0,14,1.08,13,0,0,1,0,0,1,0.08,1,0,0,0,0,0,Matches
83,Mickaël Alphonse,GLP,DF,Ajaccio,Ligue 1,33,1989,15.1,19,1.25,15,1,1,1,0,1,0,0.0,0,0,0,0,0,0,Matches
84,Éder Álvarez Balanta,COL,"MF,FW",Schalke 04,Bundesliga,29,1993,2.6,8,3.03,6,1,0,0,0,1,1,0.38,1,0,0,0,0,0,Matches
85,Carlos Álvarez,ESP,MF,Sevilla,La Liga,18,2003,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
86,Gastón Álvarez,URU,DF,Getafe,La Liga,22,2000,16.7,16,0.96,9,5,0,1,0,1,1,0.06,1,0,0,0,0,0,Matches
87,Julián Álvarez,ARG,"FW,MF",Manchester City,Premier League,22,2000,16.3,52,3.2,39,0,6,5,2,0,5,0.31,2,0,1,1,1,0,Matches
88,Agustín Álvarez Martínez,URU,"FW,MF",Sassuolo,Serie A,21,2001,4.1,9,2.2,3,0,2,3,1,0,2,0.49,1,0,0,1,0,0,Matches
89,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,27,1995,25.9,28,1.08,24,1,0,1,1,1,2,0.08,2,0,0,0,0,0,Matches
90,Ibrahim Amadou,FRA,"DF,MF",Angers,Ligue 1,29,1993,4.7,3,0.64,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
91,Selim Amallah,MAR,"MF,FW",Valladolid,La Liga,25,1996,3.0,11,3.69,5,0,4,0,0,2,2,0.67,1,0,1,0,0,0,Matches
92,Daniel Amartey,GHA,DF,Leicester City,Premier League,27,1994,17.9,15,0.84,15,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
93,Amath,SEN,"MF,FW",Mallorca,La Liga,26,1996,13.6,24,1.76,11,0,5,4,3,1,3,0.22,1,0,1,0,1,0,Matches
94,Jordan Amavi,FRA,DF,Getafe,La Liga,28,1994,2.2,2,0.9,2,0,0,0,0,0,1,0.45,1,0,0,0,0,0,Matches
95,Lukáš Ambros,CZE,MF,Wolfsburg,Bundesliga,18,2004,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
96,Kelvin Amian,FRA,DF,Spezia,Serie A,24,1998,26.4,45,1.71,34,3,2,4,0,2,3,0.11,1,0,0,2,0,0,Matches
97,Bruno Amione,ARG,DF,Hellas Verona,Serie A,20,2002,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
98,Bruno Amione,ARG,DF,Sampdoria,Serie A,20,2002,23.2,12,0.52,6,1,0,4,1,0,2,0.09,1,0,0,1,0,0,Matches
99,Nadiem Amiri,GER,"MF,FW",Leverkusen,Bundesliga,25,1996,10.9,36,3.32,23,4,4,1,4,0,5,0.46,3,0,1,0,1,0,Matches
100,Samuel Amo-Ameyaw,ENG,MF,Southampton,Premier League,16,2006,0.0,1,22.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
101,Ethan Ampadu,WAL,"DF,MF",Spezia,Serie A,21,2000,29.3,40,1.36,33,0,0,4,2,1,4,0.14,4,0,0,0,0,0,Matches
102,Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,25,1996,22.2,44,1.98,38,0,0,0,2,4,4,0.18,3,0,0,0,0,1,Matches
103,Ayoub Amraoui,MAR,"DF,FW",Nice,Ligue 1,18,2004,3.3,4,1.22,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
104,Joachim Andersen,DEN,DF,Crystal Palace,Premier League,26,1996,30.9,25,0.81,20,3,0,0,1,1,1,0.03,0,1,0,0,0,0,Matches
105,Elliot Anderson,SCO,"MF,FW",Newcastle Utd,Premier League,19,2002,4.6,22,4.83,16,0,2,0,4,0,1,0.22,1,0,0,0,0,0,Matches
106,Felipe Anderson,BRA,FW,Lazio,Serie A,29,1993,32.9,99,3.01,79,1,10,6,3,0,15,0.46,8,0,4,2,1,0,Matches
107,Benjamin André,FRA,MF,Lille,Ligue 1,31,1990,32.4,70,2.16,62,0,0,3,3,2,6,0.19,5,0,0,0,1,0,Matches
108,Marcos André,BRA,"FW,MF",Valencia,La Liga,25,1996,5.0,12,2.42,8,0,3,1,0,0,0,0.0,0,0,0,0,0,0,Matches
109,Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,27,1995,16.1,32,1.99,26,0,2,2,2,0,4,0.25,2,0,0,2,0,0,Matches
110,Robert Andrich,GER,MF,Leverkusen,Bundesliga,27,1994,26.7,45,1.68,37,0,0,4,1,3,4,0.15,3,0,0,0,0,1,Matches
111,Angeliño,ESP,DF,Hoffenheim,Bundesliga,25,1997,29.1,88,3.03,61,20,1,2,3,1,10,0.34,8,1,0,1,0,0,Matches
112,Fabrizio Angileri,ARG,DF,Getafe,La Liga,28,1994,6.5,5,0.77,3,0,1,0,0,1,2,0.31,1,0,0,0,0,1,Matches
113,Jaidon Anthony,ENG,"MF,FW",Bournemouth,Premier League,22,1999,14.0,38,2.72,28,3,4,1,1,1,4,0.29,2,0,1,0,1,0,Matches
114,Janis Antiste,FRA,FW,Sassuolo,Serie A,19,2002,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
115,Waldemar Anton,GER,DF,Stuttgart,Bundesliga,26,1996,32.6,39,1.2,28,4,2,5,0,0,5,0.15,3,0,0,2,0,0,Matches
116,Josep Antoni Gayá,ESP,"DF,MF",Mallorca,La Liga,22,2000,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
117,José Antonio,ESP,"MF,DF",Cádiz,La Liga,18,2004,0.5,1,1.91,1,0,0,0,0,0,1,1.91,1,0,0,0,0,0,Matches
118,Marcos Antônio,BRA,MF,Lazio,Serie A,22,2000,6.6,9,1.37,7,0,1,0,1,0,3,0.46,2,0,1,0,0,0,Matches
119,Michail Antonio,JAM,FW,West Ham,Premier League,32,1990,20.3,39,1.92,24,0,6,4,5,0,9,0.44,6,0,2,1,0,0,Matches
120,Antony,BRA,FW,Manchester Utd,Premier League,22,2000,20.0,74,3.69,61,0,5,3,4,1,7,0.35,6,0,1,0,0,0,Matches
121,Valentin Antov,BUL,DF,Monza,Serie A,21,2000,3.4,2,0.59,2,0,0,0,0,0,1,0.29,1,0,0,0,0,0,Matches
122,Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,28,1994,22.0,79,3.59,46,16,5,3,9,0,12,0.54,7,1,2,0,2,0,Matches
123,Anuar,MAR,"MF,FW",Valladolid,La Liga,27,1995,2.3,4,1.71,2,0,1,0,0,1,1,0.43,0,0,1,0,0,0,Matches
124,Houssem Aouar,ALG,MF,Lyon,Ligue 1,24,1998,5.8,15,2.57,9,0,3,3,0,0,2,0.34,2,0,0,0,0,0,Matches
125,Adil Aouchiche,FRA,MF,Lorient,Ligue 1,20,2002,2.8,5,1.8,3,0,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
126,Dennis Appiah,FRA,"DF,MF",Nantes,Ligue 1,30,1992,8.8,11,1.25,8,1,2,0,0,0,1,0.11,1,0,0,0,0,0,Matches
127,Stredair Appuah,FRA,"DF,MF",Nantes,Ligue 1,18,2004,0.7,6,8.18,5,0,1,0,0,0,1,1.36,1,0,0,0,0,0,Matches
128,Mauro Arambarri,URU,MF,Getafe,La Liga,26,1995,11.0,25,2.27,8,14,1,1,0,1,3,0.27,2,1,0,0,0,0,Matches
129,Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,33,1989,5.5,10,1.83,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
130,Ronald Araújo,URU,DF,Barcelona,La Liga,23,1999,20.0,18,0.9,15,0,0,3,0,0,6,0.3,5,0,0,1,0,0,Matches
131,Cameron Archer,ENG,"FW,MF",Aston Villa,Premier League,21,2001,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
132,Taïryk Arconte,FRA,FW,Brest,Ligue 1,18,2003,1.4,3,2.11,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
133,Alphonse Areola,FRA,GK,West Ham,Premier League,29,1993,3.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
134,Adu Ares,ESP,"FW,MF",Athletic Club,La Liga,20,2001,0.9,12,13.01,7,0,2,1,2,0,0,0.0,0,0,0,0,0,0,Matches
135,Joe Aribo,NGA,"MF,FW",Southampton,Premier League,26,1996,13.6,27,1.99,23,0,1,1,1,1,2,0.15,1,0,1,0,0,0,Matches
136,Adam Armstrong,ENG,"FW,MF",Southampton,Premier League,25,1997,14.8,24,1.62,19,0,2,1,1,1,2,0.13,1,0,0,0,0,1,Matches
137,Stuart Armstrong,SCO,"MF,FW",Southampton,Premier League,30,1992,15.6,50,3.2,39,1,0,6,4,0,2,0.13,1,0,0,0,1,0,Matches
138,Marko Arnautović,AUT,FW,Bologna,Serie A,33,1989,17.0,44,2.58,36,0,3,2,3,0,5,0.29,3,0,1,0,1,0,Matches
139,Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,28,1994,30.7,82,2.67,41,35,1,3,2,0,10,0.33,5,3,0,1,1,0,Matches
140,Mohamed El Arouch,FRA,MF,Lyon,Ligue 1,18,2004,0.0,1,90.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
141,Sergio Arribas,ESP,"MF,FW",Real Madrid,La Liga,20,2001,0.2,3,14.21,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
142,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,27,1994,28.5,1,0.04,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
143,Roberto Arroyo,ESP,MF,Valladolid,La Liga,18,2003,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
144,Tolgay Arslan,GER,MF,Udinese,Serie A,31,1990,13.5,44,3.28,30,5,3,1,4,1,0,0.0,0,0,0,0,0,0,Matches
145,Ricard Artero,ESP,"MF,FW",Girona,La Liga,19,2003,1.5,1,0.68,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
146,Arthur,BRA,FW,Fiorentina,Serie A,24,1998,15.9,36,2.26,26,0,2,5,3,0,2,0.13,1,0,0,1,0,0,Matches
147,Santiago Arzamendia,PAR,"DF,MF",Cádiz,La Liga,24,1998,5.4,11,2.05,8,2,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
148,Takuma Asano,JPN,"FW,MF",Bochum,Bundesliga,27,1994,19.0,56,2.94,39,1,2,7,6,1,8,0.42,6,0,1,1,0,0,Matches
149,Santiago Ascacíbar,ARG,MF,Cremonese,Serie A,25,1997,8.1,25,3.09,17,1,0,7,0,0,3,0.37,1,0,0,2,0,0,Matches
150,Sergio Asenjo,ESP,GK,Valladolid,La Liga,33,1989,10.0,2,0.2,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
151,Marco Asensio,ESP,"FW,MF",Real Madrid,La Liga,26,1996,16.0,76,4.74,47,16,6,4,3,0,12,0.75,7,2,2,0,1,0,Matches
152,Kristoffer Askildsen,NOR,MF,Lecce,Serie A,21,2001,8.1,15,1.85,9,4,0,0,2,0,1,0.12,1,0,0,0,0,0,Matches
153,Fisnik Asllani,KVX,FW,Hoffenheim,Bundesliga,19,2002,1.9,8,4.29,6,0,0,0,1,1,1,0.54,1,0,0,0,0,0,Matches
154,Kristjan Asllani,ALB,MF,Inter,Serie A,20,2002,6.6,22,3.36,11,9,1,0,1,0,1,0.15,1,0,0,0,0,0,Matches
155,Iago Aspas,ESP,FW,Celta Vigo,La Liga,34,1987,31.9,141,4.42,110,8,5,8,9,1,8,0.25,8,0,0,0,0,0,Matches
156,Lorenz Assignon,TOG,DF,Rennes,Ligue 1,22,2000,2.9,4,1.37,3,1,0,0,0,0,1,0.34,1,0,0,0,0,0,Matches
157,Youcef Atal,ALG,"DF,MF",Nice,Ligue 1,26,1996,8.7,31,3.58,22,0,4,2,2,1,2,0.23,1,0,1,0,0,0,Matches
158,Valentin Atangana Edoa,FRA,MF,Reims,Ligue 1,16,2005,1.9,5,2.6,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
159,Pierre-Emerick Aubameyang,GAB,FW,Chelsea,Premier League,33,1989,6.2,8,1.3,6,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
160,Pierre-Emerick Aubameyang,GAB,FW,Barcelona,La Liga,33,1989,0.1,1,10.0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
161,Emil Audero,ITA,GK,Sampdoria,Serie A,25,1997,25.0,5,0.2,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
162,Tommaso Augello,ITA,DF,Sampdoria,Serie A,27,1994,34.0,77,2.26,54,16,2,1,3,1,7,0.21,6,1,0,0,0,0,Matches
163,Ludwig Augustinsson,SWE,DF,Aston Villa,Premier League,28,1994,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
164,Ludwig Augustinsson,SWE,DF,Mallorca,La Liga,28,1994,1.5,2,1.36,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
165,Serge Aurier,CIV,DF,Nott'ham Forest,Premier League,29,1992,21.6,26,1.2,21,2,0,0,2,1,1,0.05,0,1,0,0,0,0,Matches
166,Mathias Autret,FRA,"MF,FW",Auxerre,Ligue 1,31,1991,14.3,54,3.77,35,12,3,3,0,1,7,0.49,3,2,0,2,0,0,Matches
167,Ezequiel Ávila,ARG,"FW,MF",Osasuna,La Liga,28,1994,19.0,41,2.16,28,2,4,4,2,1,2,0.11,1,0,0,1,0,0,Matches
168,Cédric Avinel,GLP,DF,Ajaccio,Ligue 1,35,1986,19.9,3,0.15,1,1,0,1,0,0,1,0.05,0,0,0,1,0,0,Matches
169,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,24,1997,15.6,25,1.6,18,0,2,2,2,1,4,0.26,2,0,1,1,0,0,Matches
170,Yasin Ayari,SWE,MF,Brighton,Premier League,18,2003,0.7,4,5.37,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
