Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
333,Alexis Blin,FRA,MF,Lecce,Serie A,25,1996,26.4,1,22,4,18.2,0.83,0.15,0.05,0.25,12.9,0,0,0,2.8,2.8,0.13,-1.8,-1.8,Matches
334,Daley Blind,NED,"DF,MF",Bayern Munich,Bundesliga,32,1990,1.5,0,1,1,100.0,0.67,0.67,0.0,0.0,24.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
335,Myron Boadu,NED,FW,Monaco,Ligue 1,21,2001,3.3,3,7,5,71.4,2.14,1.53,0.43,0.6,11.5,0,0,0,2.6,2.6,0.37,0.4,0.4,Matches
336,Jérôme Boateng,GER,DF,Lyon,Ligue 1,33,1988,4.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
337,Kevin-Prince Boateng,GHA,MF,Hertha BSC,Bundesliga,35,1987,5.2,0,6,0,0.0,1.16,0.0,0.0,0.0,19.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
338,Antonin Bobichon,FRA,MF,Angers,Ligue 1,26,1995,0.2,0,1,1,100.0,5.0,5.0,0.0,0.0,31.2,1,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
339,Jean-Paul Boëtius,NED,MF,Hertha BSC,Bundesliga,28,1994,11.7,0,5,3,60.0,0.43,0.26,0.0,0.0,20.6,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
340,Jeremie Boga,CIV,"MF,FW",Atalanta,Serie A,25,1997,8.7,2,13,3,23.1,1.5,0.35,0.15,0.67,20.2,2,0,0,1.9,1.9,0.14,0.1,0.1,Matches
341,Emil Bohinen,NOR,MF,Salernitana,Serie A,23,1999,9.2,0,4,0,0.0,0.43,0.0,0.0,0.0,25.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
342,Quentin Boisgard,FRA,MF,Lorient,Ligue 1,25,1997,2.0,1,6,3,50.0,2.93,1.47,0.17,0.33,18.5,0,0,0,0.4,0.4,0.07,0.6,0.6,Matches
343,Willy Boly,CIV,DF,Nott'ham Forest,Premier League,31,1991,7.6,0,2,1,50.0,0.26,0.13,0.0,0.0,16.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
344,Giacomo Bonaventura,ITA,MF,Fiorentina,Serie A,32,1989,21.2,5,49,14,28.6,2.31,0.66,0.1,0.36,19.6,2,0,0,4.3,4.3,0.09,0.7,0.7,Matches
345,Federico Bonazzoli,ITA,"FW,MF",Salernitana,Serie A,25,1997,12.4,2,32,7,21.9,2.57,0.56,0.06,0.29,18.9,1,0,0,2.4,2.4,0.07,-0.4,-0.4,Matches
346,Warren Bondo,FRA,MF,Monza,Serie A,18,2003,0.7,0,1,0,0.0,1.5,0.0,0.0,0.0,21.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
347,Theo Bongonda,COD,"MF,FW",Cádiz,La Liga,26,1995,21.5,4,42,14,33.3,1.95,0.65,0.07,0.21,21.1,2,1,1,5.2,4.4,0.1,-1.2,-1.4,Matches
