Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1687,Roger Martínez,ESP,DF,Espanyol,La Liga,18,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Matches
1688,Gelson Martins,POR,"MF,FW",Monaco,Ligue 1,27,1995,3.8,0,0,0,6,4,2,5,3,8,0,0,0,25,2,7,22.2,Matches
1689,Adam Marušić,MNE,DF,Lazio,Serie A,29,1992,30.7,8,1,0,22,14,1,17,38,30,0,0,0,175,29,25,53.7,Matches
1690,Omar Mascarell,ESP,"MF,DF",Elche,La Liga,29,1993,27.2,6,0,0,21,17,0,22,45,26,0,0,0,157,27,21,56.3,Matches
1691,Adam Masina,MAR,DF,Udinese,Serie A,28,1994,8.8,2,0,0,11,1,0,10,10,7,0,1,0,44,26,11,70.3,Matches
1692,Jordi Masip,ESP,GK,Valladolid,La Liga,33,1989,27.9,4,0,0,0,5,0,0,1,0,0,0,0,31,6,2,75.0,Matches
1693,Erhan Mašović,SRB,"DF,MF",Bochum,Bundesliga,23,1998,24.2,3,0,0,24,5,0,2,27,31,0,1,1,146,46,54,46.0,Matches
1694,Han-Noah Massengo,FRA,MF,Auxerre,Ligue 1,21,2001,12.4,3,0,0,16,23,1,2,14,15,1,0,0,59,6,16,27.3,Matches
1695,Yanis Massolin,FRA,MF,Clermont Foot,Ligue 1,19,2002,0.7,0,0,0,0,1,0,0,2,1,0,0,0,11,2,2,50.0,Matches
1696,Jaime Mata,ESP,"FW,MF",Getafe,La Liga,33,1988,4.9,5,0,0,17,7,4,9,3,10,0,0,0,27,10,15,40.0,Matches
1697,Pape Matar Sarr,SEN,"MF,FW",Tottenham,Premier League,19,2002,2.4,1,0,0,4,3,0,0,6,6,0,1,0,22,3,5,37.5,Matches
1698,Eliot Matazo,BEL,MF,Monaco,Ligue 1,20,2002,13.1,2,0,0,18,12,0,2,15,12,0,1,0,86,10,18,35.7,Matches
1699,Jean-Philippe Mateta,FRA,FW,Crystal Palace,Premier League,25,1997,8.6,3,0,0,16,8,8,3,3,1,0,0,0,23,26,44,37.1,Matches
1700,Nemanja Matić,SRB,MF,Roma,Serie A,33,1988,20.6,5,0,0,19,17,1,12,25,27,0,0,0,171,19,14,57.6,Matches
1701,Joël Matip,CMR,DF,Liverpool,Premier League,30,1991,12.1,3,0,0,10,5,1,1,21,8,0,0,1,78,25,23,52.1,Matches
1702,Henning Matriciani,GER,DF,Schalke 04,Bundesliga,22,2000,20.7,1,0,0,19,11,0,20,23,23,0,0,0,120,32,24,57.1,Matches
1703,Chrislain Matsima,FRA,"DF,MF",Lorient,Ligue 1,20,2002,2.5,0,0,0,0,1,0,0,2,0,0,0,0,9,3,6,33.3,Matches
1704,Chrislain Matsima,FRA,DF,Monaco,Ligue 1,20,2002,5.0,0,0,0,4,2,0,2,9,6,0,0,0,32,17,3,85.0,Matches
1705,Jean Mattéo Bahoya,FRA,"FW,MF",Angers,Ligue 1,17,2005,3.0,0,0,0,4,7,0,2,0,3,0,0,0,14,2,5,28.6,Matches
1706,Azor Matusiwa,NED,MF,Reims,Ligue 1,24,1998,27.6,4,0,0,43,33,0,4,46,41,0,0,0,235,32,35,47.8,Matches
1707,Neal Maupay,FRA,FW,Everton,Premier League,25,1996,12.4,4,0,0,14,21,1,3,5,5,0,0,0,26,15,48,23.8,Matches
1708,Aïman Maurer,MAR,MF,Clermont Foot,Ligue 1,17,2004,5.6,0,0,0,5,15,2,19,3,1,0,0,0,21,3,7,30.0,Matches
1709,Stephy Mavididi,ENG,FW,Montpellier,Ligue 1,24,1998,14.3,1,1,0,20,18,3,10,4,19,0,0,0,59,10,22,31.3,Matches
1710,Konstantinos Mavropanos,GRE,DF,Stuttgart,Bundesliga,24,1997,25.4,9,1,1,24,23,1,6,63,27,0,0,0,183,81,34,70.4,Matches
1711,Christian Mawissa,FRA,DF,Toulouse,Ligue 1,17,2005,1.1,1,0,0,2,2,0,1,3,0,0,1,0,3,1,1,50.0,Matches
1712,Philipp Max,GER,DF,Eint Frankfurt,Bundesliga,28,1993,7.7,1,0,0,6,2,1,60,3,9,0,0,0,31,5,6,45.5,Matches
1713,Eric Maxim Choupo-Moting,CMR,FW,Bayern Munich,Bundesliga,33,1989,12.4,0,0,0,4,7,11,3,0,7,0,0,0,28,18,21,46.2,Matches
1714,Luís Maximiano,POR,GK,Lazio,Serie A,23,1999,0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
1715,Keke Maximilian Topp,GER,FW,Schalke 04,Bundesliga,18,2004,0.2,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,100.0,Matches
1716,Fernand Mayembo,CGO,DF,Ajaccio,Ligue 1,26,1996,7.9,1,0,0,9,15,0,0,11,5,1,0,0,50,15,5,75.0,Matches
1717,Borja Mayoral,ESP,FW,Getafe,La Liga,25,1997,30.7,4,0,0,16,38,11,37,3,4,1,0,0,105,36,84,30.0,Matches
1718,Ibrahim Maza,GER,"MF,FW",Hertha BSC,Bundesliga,16,2005,0.8,0,0,0,1,2,0,0,0,1,0,0,0,2,0,2,0.0,Matches
1719,Derek Mazou-Sacko,FRA,MF,Troyes,Ligue 1,17,2004,0.2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,100.0,Matches
1720,Noussair Mazraoui,MAR,DF,Bayern Munich,Bundesliga,24,1997,11.9,0,0,0,16,11,3,22,10,21,0,1,0,46,17,16,51.5,Matches
1721,Pasquale Mazzocchi,ITA,DF,Salernitana,Serie A,27,1995,21.8,2,0,0,27,17,5,90,10,18,1,0,0,129,12,14,46.2,Matches
1722,Kevin Mbabu,SUI,"DF,FW",Fulham,Premier League,27,1995,1.6,1,0,0,4,0,0,7,3,2,0,0,0,6,2,6,25.0,Matches
1723,Noah Mbamba,BEL,MF,Leverkusen,Bundesliga,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
1724,Kylian Mbappé,FRA,FW,Paris S-G,Ligue 1,23,1998,31.3,6,0,0,19,40,33,47,5,4,1,0,0,54,8,5,61.5,Matches
1725,Mamadou Mbaye,SEN,DF,Cádiz,La Liga,24,1998,8.4,2,0,0,6,2,4,0,7,7,0,1,0,31,26,20,56.5,Matches
1726,Chancel Mbemba,COD,DF,Marseille,Ligue 1,27,1994,31.7,2,0,0,19,19,0,40,42,26,1,0,0,165,72,35,67.3,Matches
1727,Bryan Mbeumo,CMR,FW,Brentford,Premier League,22,1999,32.3,5,0,0,27,23,6,156,13,18,0,0,0,135,35,63,35.7,Matches
1728,Jason Mbock,FRA,"MF,FW",Angers,Ligue 1,22,1999,0.3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0.0,Matches
1729,Jean-Manuel Mbom,GER,MF,Werder Bremen,Bundesliga,22,2000,0.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0.0,Matches
1730,Nathanael Mbuku,FRA,"FW,MF",Reims,Ligue 1,20,2002,0.7,0,0,0,0,7,0,2,0,1,0,0,0,7,0,2,0.0,Matches
1731,Nathanael Mbuku,FRA,"MF,FW",Augsburg,Bundesliga,20,2002,0.4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0.0,Matches
1732,James McArthur,SCO,MF,Crystal Palace,Premier League,34,1987,0.6,0,0,0,0,1,0,0,1,1,0,0,0,5,0,0,0.0,Matches
1733,Alex McCarthy,ENG,GK,Southampton,Premier League,32,1989,6.0,0,0,0,0,1,0,0,1,0,0,0,0,7,1,0,100.0,Matches
1734,John McGinn,SCO,"MF,FW",Aston Villa,Premier League,27,1994,29.9,7,0,0,41,66,0,50,24,36,2,0,0,176,22,21,51.2,Matches
1735,Scott McKenna,SCO,DF,Nott'ham Forest,Premier League,25,1996,17.5,4,0,0,8,4,0,2,12,7,0,1,0,68,36,23,61.0,Matches
1736,Weston McKennie,USA,MF,Leeds United,Premier League,23,1998,16.0,7,0,0,21,5,1,9,22,13,0,0,0,95,25,23,52.1,Matches
1737,Weston McKennie,USA,"MF,DF",Juventus,Serie A,23,1998,11.7,0,0,0,13,7,3,15,11,5,0,0,0,43,12,16,42.9,Matches
1738,Dwight McNeil,ENG,"FW,MF",Everton,Premier League,22,1999,27.8,5,0,0,22,21,1,194,31,41,1,0,0,175,14,18,43.8,Matches
1739,Scott McTominay,SCO,MF,Manchester Utd,Premier League,25,1996,12.9,8,0,0,28,16,0,4,14,19,0,1,0,78,34,23,59.6,Matches
1740,Gary Medel,CHI,"MF,DF",Bologna,Serie A,34,1987,16.4,5,0,0,19,16,0,4,28,15,0,0,0,141,15,15,50.0,Matches
1741,Facundo Medina,ARG,DF,Lens,Ligue 1,23,1999,30.9,7,0,0,34,18,0,22,26,20,0,0,0,212,37,43,46.3,Matches
1742,Fernando Medrano,ESP,DF,Celta Vigo,La Liga,22,2000,0.1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0.0,Matches
1743,Ben Mee,ENG,DF,Brentford,Premier League,32,1989,36.3,2,0,0,14,15,1,7,48,24,0,0,0,199,131,98,57.2,Matches
1744,Bamo Meïté,CIV,DF,Lorient,Ligue 1,21,2001,16.7,5,0,0,16,12,1,0,16,8,0,0,0,76,30,35,46.2,Matches
1745,Soualiho Meïté,FRA,MF,Cremonese,Serie A,28,1994,26.3,5,0,0,27,47,0,9,27,31,0,0,0,174,28,17,62.2,Matches
1746,Farid El Melali,ALG,"DF,FW",Angers,Ligue 1,25,1997,9.0,1,0,0,13,15,2,16,8,12,0,0,0,53,2,9,18.2,Matches
1747,Gonzalo Melero,ESP,MF,Almería,La Liga,28,1994,20.6,5,0,0,24,30,3,2,7,16,0,0,0,96,14,17,45.2,Matches
1748,Birger Meling,NOR,DF,Rennes,Ligue 1,27,1994,13.4,3,1,0,20,16,2,18,23,15,0,0,0,71,12,16,42.9,Matches
1749,Memphis,NED,FW,Barcelona,La Liga,28,1994,1.3,0,0,0,2,2,1,4,0,1,0,0,0,7,1,2,33.3,Matches
1750,Memphis,NED,FW,Atlético Madrid,La Liga,28,1994,3.0,1,0,0,2,6,0,5,0,0,0,0,0,3,1,5,16.7,Matches
1751,Houboulang Mendes,GNB,DF,Almería,La Liga,24,1998,9.8,2,0,0,13,4,0,31,7,11,0,1,0,37,1,1,50.0,Matches
1752,Nuno Mendes,POR,DF,Paris S-G,Ligue 1,20,2002,17.2,2,0,0,25,34,5,30,17,30,0,0,0,98,10,6,62.5,Matches
1753,Pedro Mendes,POR,DF,Montpellier,Ligue 1,31,1990,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,50.0,Matches
1754,Thiago Mendes,BRA,"MF,DF",Lyon,Ligue 1,30,1992,22.9,3,0,0,24,24,0,6,47,27,0,1,0,145,34,20,63.0,Matches
1755,Brais Méndez,ESP,MF,Real Sociedad,La Liga,25,1997,26.7,6,0,0,60,54,2,125,12,34,0,0,0,127,25,29,46.3,Matches
1756,Diego Méndez,ESP,MF,Rayo Vallecano,La Liga,18,2003,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0,Matches
1757,Antoine Mendy,FRA,DF,Nice,Ligue 1,18,2004,5.8,0,0,0,9,3,2,13,2,13,0,0,0,37,7,11,38.9,Matches
1758,Arial Mendy,SEN,DF,Clermont Foot,Ligue 1,27,1994,2.5,0,0,0,1,7,1,10,4,2,0,1,0,14,5,4,55.6,Matches
1759,Batista Mendy,FRA,"MF,DF",Angers,Ligue 1,22,2000,31.8,8,1,1,67,42,1,9,21,30,0,1,0,193,27,13,67.5,Matches
1760,Edouard Mendy,SEN,GK,Chelsea,Premier League,30,1992,9.5,1,0,0,0,2,0,0,0,0,0,0,0,15,3,0,100.0,Matches
1761,Ferland Mendy,FRA,DF,Real Madrid,La Liga,27,1995,15.0,2,0,0,4,18,0,7,14,12,0,0,0,77,7,8,46.7,Matches
1762,Nampalys Mendy,SEN,MF,Leicester City,Premier League,30,1992,8.4,1,0,0,9,10,0,1,13,9,0,0,0,46,4,6,40.0,Matches
1763,Gideon Mensah,GHA,DF,Auxerre,Ligue 1,24,1998,25.1,5,0,0,29,18,1,67,38,44,0,1,0,246,21,20,51.2,Matches
1764,Chris Mepham,WAL,DF,Bournemouth,Premier League,24,1997,24.4,7,0,0,16,7,0,0,30,22,0,0,2,85,53,31,63.1,Matches
1765,Jorge Meré,ESP,DF,Cádiz,La Liga,25,1997,6.7,0,0,0,1,3,0,0,6,7,0,0,0,27,15,8,65.2,Matches
1766,Alex Meret,ITA,GK,Napoli,Serie A,25,1997,34.0,0,0,0,0,0,0,0,0,0,0,0,0,66,4,0,100.0,Matches
1767,Mikel Merino,ESP,MF,Real Sociedad,La Liga,26,1996,27.7,5,1,0,74,48,4,25,20,49,0,0,0,218,112,59,65.5,Matches
1768,Quentin Merlin,FRA,DF,Nantes,Ligue 1,20,2002,19.9,2,0,0,12,14,0,113,24,19,0,0,0,112,16,15,51.6,Matches
1769,Yıldırım Mert Çetin,TUR,DF,Lecce,Serie A,25,1997,0.2,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0.0,Matches
1770,Roque Mesa,ESP,MF,Valladolid,La Liga,33,1989,18.0,11,1,1,38,25,1,12,13,15,0,1,0,145,11,23,32.4,Matches
