Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,TOAtt,TOSucc,TOSuccp,TOTkld,TOTkldp,Carries,CaTotDist,CaPrgDist,CaPrgC,CaFTC,CaCPA,CaMis,CaDis,Rec,PrgR
115,Waldemar Anton,GER,DF,Stuttgart,Bundesliga,26,1996,32.6,2435,244,1128,1083,249,36,2435,38,19,50,18,47.37,1383,8281,4557,56,34,4,24,17,1531,52
116,Josep Antoni Gayá,ESP,"DF,MF",Mallorca,La Liga,22,2000,1.1,19,10,15,3,1,0,19,0,0,#DIV/0!,0,#DIV/0!,6,32,2,0,0,0,1,1,4,0
117,José Antonio,ESP,"MF,DF",Cádiz,La Liga,18,2004,0.5,15,0,2,4,9,0,15,4,1,25,1,25,13,45,36,2,2,0,2,1,11,2
118,Marcos Antônio,BRA,MF,Lazio,Serie A,22,2000,6.6,493,29,117,331,49,1,493,5,4,80,0,0,296,1197,339,1,9,1,6,4,370,8
119,Michail Antonio,JAM,FW,West Ham,Premier League,32,1990,20.3,596,15,39,262,308,80,596,65,26,40,29,44.62,375,2589,1243,49,26,18,76,45,476,120
120,Antony,BRA,FW,Manchester Utd,Premier League,22,2000,20,1066,12,134,348,609,85,1066,77,30,38.96,38,49.35,763,4783,2569,95,60,32,37,12,813,168
121,Valentin Antov,BUL,DF,Monza,Serie A,21,2000,3.4,267,34,127,121,19,0,267,1,1,100,0,0,138,600,313,2,2,0,3,2,174,3
122,Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,28,1994,22,996,7,102,304,605,63,996,80,31,38.75,39,48.75,525,3766,1485,67,49,20,89,32,560,231
123,Anuar,MAR,"MF,FW",Valladolid,La Liga,27,1995,2.3,70,8,20,30,20,8,70,4,2,50,0,0,37,261,127,6,2,3,7,4,41,4
124,Houssem Aouar,ALG,MF,Lyon,Ligue 1,24,1998,5.8,461,6,51,279,134,28,461,23,10,43.48,11,47.83,365,1848,739,12,19,4,8,13,349,36
125,Adil Aouchiche,FRA,MF,Lorient,Ligue 1,20,2002,2.8,192,7,30,104,61,8,192,7,2,28.57,3,42.86,149,996,559,16,10,1,6,8,137,20
126,Dennis Appiah,FRA,"DF,MF",Nantes,Ligue 1,30,1992,8.8,554,37,158,292,113,4,554,18,6,33.33,10,55.56,372,2193,1173,15,13,0,12,10,339,51
127,Stredair Appuah,FRA,"DF,MF",Nantes,Ligue 1,18,2004,0.7,43,0,4,21,20,2,43,5,4,80,1,20,27,361,197,7,6,2,4,2,26,10
128,Mauro Arambarri,URU,MF,Getafe,La Liga,26,1995,11,514,30,118,304,102,3,514,4,4,100,0,0,234,1162,503,8,10,0,13,4,248,7
129,Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,33,1989,5.5,368,9,84,225,61,8,368,7,4,57.14,1,14.29,172,681,278,3,3,0,8,2,244,7
130,Ronald Araújo,URU,DF,Barcelona,La Liga,23,1999,20,1437,109,487,882,77,29,1437,14,10,71.43,3,21.43,957,5938,3727,29,13,1,9,6,1022,11
131,Cameron Archer,ENG,"FW,MF",Aston Villa,Premier League,21,2001,0.5,15,0,1,8,7,3,15,1,1,100,0,0,15,114,72,3,1,1,2,3,13,3
132,Taïryk Arconte,FRA,FW,Brest,Ligue 1,18,2003,1.4,35,1,4,10,22,5,35,5,3,60,2,40,22,171,32,1,1,2,4,2,23,8
133,Alphonse Areola,FRA,GK,West Ham,Premier League,29,1993,3.4,98,91,98,0,0,0,98,0,0,#DIV/0!,0,#DIV/0!,53,253,153,0,0,0,0,0,42,0
134,Adu Ares,ESP,"FW,MF",Athletic Club,La Liga,20,2001,0.9,69,2,5,18,46,3,69,9,5,55.56,2,22.22,51,410,246,8,4,1,1,3,49,19
135,Joe Aribo,NGA,"MF,FW",Southampton,Premier League,26,1996,13.6,566,14,87,269,222,46,566,39,17,43.59,21,53.85,294,1294,615,19,10,7,35,22,354,64
136,Adam Armstrong,ENG,"FW,MF",Southampton,Premier League,25,1997,14.8,458,11,71,176,222,46,458,43,13,30.23,25,58.14,255,2338,996,39,29,11,24,22,273,70
137,Stuart Armstrong,SCO,"MF,FW",Southampton,Premier League,30,1992,15.6,864,21,133,403,341,37,864,52,22,42.31,21,40.38,539,3859,1910,61,45,10,28,28,596,88
138,Marko Arnautović,AUT,FW,Bologna,Serie A,33,1989,17,618,14,44,325,255,57,615,27,13,48.15,11,40.74,361,1616,524,13,12,6,42,19,496,116
139,Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,28,1994,30.7,1927,113,470,1108,364,11,1922,17,8,47.06,5,29.41,974,4616,2330,29,25,1,18,22,1064,19
140,Mohamed El Arouch,FRA,MF,Lyon,Ligue 1,18,2004,0,4,0,3,1,1,0,4,1,0,0,1,100,2,34,33,1,0,0,0,0,0,0
141,Sergio Arribas,ESP,"MF,FW",Real Madrid,La Liga,20,2001,0.2,13,1,1,6,6,1,13,0,0,#DIV/0!,0,#DIV/0!,4,26,17,0,0,0,0,0,8,0
142,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,27,1994,28.5,1119,892,1103,16,0,0,1119,1,1,100,0,0,654,2894,1683,0,0,0,1,0,604,0
143,Roberto Arroyo,ESP,MF,Valladolid,La Liga,18,2003,0.2,7,0,1,3,3,1,7,1,1,100,0,0,8,38,25,1,0,1,1,2,8,4
144,Tolgay Arslan,GER,MF,Udinese,Serie A,31,1990,13.5,770,13,145,398,234,26,770,36,15,41.67,13,36.11,473,2944,1530,45,31,11,26,17,504,37
145,Ricard Artero,ESP,"MF,FW",Girona,La Liga,19,2003,1.5,68,2,14,36,20,6,68,4,3,75,0,0,45,217,106,4,4,0,4,3,54,9
146,Arthur,BRA,FW,Fiorentina,Serie A,24,1998,15.9,489,14,36,168,289,102,487,35,15,42.86,17,48.57,270,1438,397,11,14,9,60,24,361,86
147,Santiago Arzamendia,PAR,"DF,MF",Cádiz,La Liga,24,1998,5.4,290,23,90,135,70,5,290,6,2,33.33,4,66.67,140,668,349,8,9,2,8,4,142,22
148,Takuma Asano,JPN,"FW,MF",Bochum,Bundesliga,27,1994,19,556,12,65,213,289,80,556,35,13,37.14,16,45.71,343,2354,919,32,19,16,62,31,391,119
149,Santiago Ascacíbar,ARG,MF,Cremonese,Serie A,25,1997,8.1,553,26,177,280,100,4,553,9,4,44.44,4,44.44,254,976,442,1,3,0,8,4,314,6
150,Sergio Asenjo,ESP,GK,Valladolid,La Liga,33,1989,10,384,327,384,0,0,0,384,0,0,#DIV/0!,0,#DIV/0!,198,910,556,0,0,0,2,0,153,0
151,Marco Asensio,ESP,"FW,MF",Real Madrid,La Liga,26,1996,16,951,11,66,375,517,71,950,33,23,69.7,7,21.21,609,3688,1856,56,39,11,19,13,725,108
152,Kristoffer Askildsen,NOR,MF,Lecce,Serie A,21,2001,8.1,351,17,68,190,97,8,351,6,3,50,1,16.67,131,665,336,10,2,2,13,3,176,17
153,Fisnik Asllani,KVX,FW,Hoffenheim,Bundesliga,19,2002,1.9,95,3,8,36,53,16,95,3,1,33.33,2,66.67,56,182,103,4,3,3,7,2,75,19
154,Kristjan Asllani,ALB,MF,Inter,Serie A,20,2002,6.6,507,8,115,309,87,2,507,5,2,40,3,60,331,1588,634,6,9,1,3,2,389,6
