Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,TOAtt,TOSucc,TOSuccp,TOTkld,TOTkldp,Carries,CaTotDist,CaPrgDist,CaPrgC,CaFTC,CaCPA,CaMis,CaDis,Rec,PrgR
1617,Jean-Victor Makengo,FRA,MF,"Udinese,Lorient","Serie A,Ligue 1",24,1998,20.7,1045,38,216,628,221,12,1045,50,32,64,9,18,805,4998,2218,41,42,1,31,34,787,61
1619,Béni Makouana,CGO,"FW,MF",Montpellier,Ligue 1,19,2002,2.2,67,2,6,28,36,11,67,9,2,22.22,7,77.78,49,424,181,9,4,0,4,5,46,17
1620,Nemanja Maksimović,SRB,MF,Getafe,La Liga,27,1995,22.8,794,44,189,437,174,35,794,9,3,33.33,6,66.67,300,1251,545,13,12,4,17,7,346,29
1621,Tyrell Malacia,NED,DF,Manchester Utd,Premier League,22,1999,15.5,989,54,378,392,225,16,989,19,6,31.58,13,68.42,472,2127,1023,19,17,3,17,8,557,33
1622,Lorenzo Malagrida,ITA,"MF,DF",Sampdoria,Serie A,18,2003,1.2,51,0,6,27,18,5,51,2,2,100,0,0,22,106,53,1,0,1,0,1,34,10
1623,Daniel Maldini,ITA,"FW,MF",Spezia,Serie A,20,2001,7,289,7,40,121,132,15,289,46,23,50,18,39.13,158,978,417,13,8,4,24,8,183,34
1624,Youssef Maleh,MAR,MF,"Fiorentina,Lecce","Serie A,Serie A",23,1998,10.8,446,15,90,217,140,26,446,11,3,27.27,7,63.64,236,882,410,12,11,4,15,16,263,36
1626,Donyell Malen,NED,FW,Dortmund,Bundesliga,23,1999,19,869,10,64,321,498,101,869,115,51,44.35,51,44.35,628,4019,2138,87,37,38,38,40,715,182
1627,Ruslan Malinovskyi,UKR,"MF,FW","Atalanta,Marseille","Serie A,Ligue 1",29,1993,19.7,1123,14,141,531,475,34,1123,63,36,57.14,23,36.51,812,4830,2226,54,47,8,51,29,812,117
1629,Hugo Mallo,ESP,DF,Celta Vigo,La Liga,31,1991,24,1694,90,549,744,415,51,1694,17,5,29.41,9,52.94,853,3500,1784,27,22,2,19,7,999,108
1630,Mickael Malsa,MTQ,MF,Valladolid,La Liga,26,1995,0.8,31,4,12,18,1,0,31,1,1,100,0,0,17,77,9,0,0,0,2,2,15,0
1631,Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,21,2000,38,1180,973,1153,30,0,0,1180,0,0,#DIV/0!,0,#DIV/0!,604,3176,1830,0,0,0,2,1,470,0
1632,Hianga Mananga Mbock,FRA,MF,Brest,Ligue 1,22,1999,0.2,13,1,1,7,5,0,13,1,1,100,0,0,10,73,36,2,2,0,1,1,9,1
1633,Gianluca Mancini,ITA,DF,Roma,Serie A,26,1996,31.8,1865,189,855,885,139,30,1865,14,6,42.86,5,35.71,1124,5050,3089,17,21,0,16,7,1324,19
1634,Steve Mandanda,FRA,GK,Rennes,Ligue 1,37,1985,33.5,1267,922,1251,17,0,0,1267,1,1,100,0,0,916,4101,2479,0,0,0,2,0,649,0
1635,Reinildo Mandava,MOZ,DF,Atlético Madrid,La Liga,28,1994,20.6,1297,102,501,658,143,15,1297,24,6,25,12,50,708,3214,1819,28,20,9,20,9,770,41
1636,Aïssa Mandi,ALG,DF,Villarreal,La Liga,30,1991,16.2,1051,143,573,429,51,6,1051,3,1,33.33,1,33.33,614,2874,1516,7,7,0,3,2,726,9
1637,Rolando Mandragora,ITA,MF,Fiorentina,Serie A,25,1997,21.7,1190,33,175,670,356,37,1190,16,5,31.25,9,56.25,598,2489,1243,18,25,3,13,8,720,59
1638,Sadio Mané,SEN,"FW,MF",Bayern Munich,Bundesliga,30,1992,15.8,622,9,39,218,375,130,620,53,24,45.28,25,47.17,410,2602,1295,59,26,33,53,14,486,164
1639,Orel Mangala,BEL,MF,Nott'ham Forest,Premier League,24,1998,17.2,655,31,183,380,99,8,655,34,16,47.06,12,35.29,334,1742,808,14,6,2,11,9,383,8
1640,Thomas Mangani,FRA,MF,Ajaccio,Ligue 1,35,1987,14.8,1052,51,232,648,175,3,1050,6,4,66.67,1,16.67,640,3045,1283,9,17,1,9,3,585,15
1641,Vito Mannone,ITA,GK,Lorient,Ligue 1,34,1988,17.9,618,544,616,2,0,0,618,0,0,#DIV/0!,0,#DIV/0!,436,2037,1358,0,0,0,0,0,279,0
1642,Javier Manquillo,ESP,DF,Newcastle Utd,Premier League,28,1994,0.4,36,2,11,16,9,1,36,0,0,#DIV/0!,0,#DIV/0!,20,82,38,2,0,0,0,0,20,1
1643,Myziane Maolida,FRA,"MF,FW","Reims,Hertha BSC","Ligue 1,Bundesliga",23,1999,3.7,164,0,20,69,78,11,164,15,10,66.67,4,26.67,126,841,401,14,5,3,12,9,114,35
1645,Faitout Maouassa,FRA,"FW,DF",Montpellier,Ligue 1,24,1998,21.4,924,31,223,383,334,41,924,62,25,40.32,32,51.61,562,3630,1723,37,41,12,32,22,513,108
1646,Sekou Mara,FRA,"FW,MF",Southampton,Premier League,20,2002,6.2,221,5,27,99,103,26,221,29,13,44.83,16,55.17,129,727,288,7,9,2,28,18,151,27
1647,Marcão,BRA,DF,Sevilla,La Liga,26,1996,4.2,255,26,120,130,5,0,255,1,1,100,0,0,150,824,422,1,0,0,8,0,186,0
1648,Solly March,ENG,"FW,DF",Brighton,Premier League,28,1994,30.2,1659,46,191,521,962,138,1659,114,58,50.88,35,30.7,1024,6810,3074,110,48,47,55,32,1124,357
1649,Agustín Marchesín,ARG,GK,Celta Vigo,La Liga,34,1988,19,677,550,673,6,0,0,677,0,0,#DIV/0!,0,#DIV/0!,392,1729,1123,0,0,0,0,0,325,0
1650,Federico Marchetti,ITA,GK,Spezia,Serie A,39,1983,0.7,18,17,18,0,0,0,18,0,0,#DIV/0!,0,#DIV/0!,7,23,13,0,0,0,0,0,6,0
1651,Vincent Marchetti,FRA,MF,Ajaccio,Ligue 1,25,1997,27.2,1369,62,254,840,308,28,1369,79,45,56.96,27,34.18,1005,6603,3350,66,59,9,50,39,901,58
1652,Riccardo Marchizza,ITA,DF,Sassuolo,Serie A,24,1998,3.1,205,11,51,106,48,1,205,5,1,20,4,80,129,563,338,3,6,0,2,3,135,15
1653,Gian Marco Ferrari,ITA,DF,Sassuolo,Serie A,30,1992,24.7,1476,210,749,672,66,14,1476,2,0,0,1,50,858,4530,2799,11,10,0,10,2,938,4
1654,Emiliano Marcondes,DEN,MF,Bournemouth,Premier League,27,1995,0.1,3,1,1,2,0,0,3,1,0,0,0,0,2,11,7,0,0,0,0,0,2,0
1655,Óscar de Marcos,ESP,DF,Athletic Club,La Liga,33,1989,31.3,2218,93,525,1042,671,34,2218,31,12,38.71,17,54.84,1119,4785,2851,76,68,8,26,19,1245,153
1656,Alberto Marí,ESP,"FW,MF",Valencia,La Liga,21,2001,1,30,0,3,12,15,7,30,4,1,25,3,75,21,71,27,1,0,1,2,1,26,6
1657,José Mari,ESP,MF,Cádiz,La Liga,34,1987,4.4,260,15,82,153,29,2,260,6,3,50,3,50,129,694,321,5,1,0,6,7,146,4
1658,Pablo Marí,ESP,DF,Monza,Serie A,28,1993,27.6,1874,299,1090,750,37,15,1874,4,2,50,2,50,1049,5335,2820,6,8,1,10,5,1273,3
1659,José María Giménez,URU,DF,Atlético Madrid,La Liga,27,1995,26.9,1623,277,941,643,50,30,1623,10,6,60,4,40,861,3631,1867,9,5,0,9,1,1041,3
1660,Mariano,DOM,FW,Real Madrid,La Liga,28,1993,1.7,52,0,3,21,29,8,52,1,0,0,1,100,31,186,94,3,2,0,2,3,42,12
1661,Pablo Marín,ESP,"MF,FW",Real Sociedad,La Liga,19,2003,4,215,4,38,89,89,10,215,9,5,55.56,3,33.33,132,629,302,9,8,3,8,5,155,24
1662,Răzvan Marin,ROU,MF,Empoli,Serie A,26,1996,28.2,1805,76,428,971,425,16,1805,39,22,56.41,15,38.46,1051,5460,2560,35,41,3,24,22,1164,27
1663,Diego Mariño,ESP,GK,Almería,La Liga,32,1990,0.5,10,10,10,0,0,0,10,0,0,#DIV/0!,0,#DIV/0!,2,12,12,0,0,0,0,0,0,0
1664,Guillermo Maripán,CHI,DF,Monaco,Ligue 1,28,1994,24,1418,183,658,734,37,25,1418,6,1,16.67,4,66.67,1000,4754,2312,6,6,0,9,6,888,0
1665,Marlon,BRA,DF,Monza,Serie A,26,1995,17.7,1182,115,552,587,47,11,1182,5,2,40,3,60,683,3472,1874,19,9,1,6,1,851,12
1666,Omar Marmoush,EGY,FW,Wolfsburg,Bundesliga,23,1999,16.4,0,0,0,0,0,0,0,0,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0
1667,Marquinhos,BRA,MF,"Arsenal,Paris S-G","Premier League,Ligue 1",19,2003,30.2,2414,294,946,1361,118,39,2414,2,0,0,2,100,1976,9286,4748,4,18,2,12,6,1872,15
1669,Luca Marrone,ITA,DF,Monza,Serie A,32,1990,1.5,93,12,66,25,2,1,93,0,0,#DIV/0!,0,#DIV/0!,59,215,95,0,0,0,0,0,64,0
1670,Eric Martel,GER,MF,Köln,Bundesliga,20,2002,22.4,1196,72,333,661,213,35,1196,13,7,53.85,5,38.46,595,2557,839,17,20,1,35,25,651,46
1671,Roger Martí,ESP,FW,"Elche,Cádiz","La Liga,La Liga",31,1991,14.4,437,16,49,213,179,40,437,14,8,57.14,5,35.71,255,1040,333,15,11,9,54,18,289,84
1673,Anthony Martial,FRA,FW,Manchester Utd,Premier League,26,1995,10.9,443,10,31,166,249,49,442,26,14,53.85,9,34.62,297,1296,570,18,13,8,33,20,371,87
1674,Aarón Martín,ESP,DF,Mainz 05,Bundesliga,25,1997,20.5,1192,47,303,523,380,14,1191,21,10,47.62,8,38.1,582,2815,1217,25,19,3,15,14,621,61
1675,Ander Martin,ESP,"MF,FW",Real Sociedad,La Liga,21,2000,0.5,29,2,7,7,15,0,29,1,1,100,0,0,10,54,23,1,1,0,0,0,14,0
1676,Andrés Martín,ESP,"FW,MF",Rayo Vallecano,La Liga,23,1999,2.3,102,3,22,32,48,5,102,6,3,50,2,33.33,53,188,95,3,3,1,7,2,62,22
1677,Carlos Martín,ESP,"FW,MF",Atlético Madrid,La Liga,20,2002,0.3,14,0,0,9,5,1,14,0,0,#DIV/0!,0,#DIV/0!,6,20,8,0,0,0,0,0,9,3
1678,Iván Martín,ESP,MF,Girona,La Liga,23,1999,17.6,822,23,132,425,274,36,822,48,26,54.17,18,37.5,540,3377,1213,30,19,6,32,37,631,82
1679,Jonas Martin,FRA,MF,Lille,Ligue 1,32,1990,3.1,262,6,56,178,29,3,262,1,0,0,1,100,202,986,387,4,6,0,2,4,191,4
1680,Gabriel Martinelli,BRA,FW,Arsenal,Premier League,21,2001,31,1490,19,129,419,965,223,1490,132,59,44.7,55,41.67,1019,7180,3297,124,65,70,83,56,1115,350
1681,Arnau Martinez,ESP,DF,Girona,La Liga,19,2003,30.4,1902,98,631,861,427,53,1902,48,24,50,19,39.58,967,5242,3015,64,31,9,36,17,1116,98
1682,Emiliano Martínez,ARG,GK,Aston Villa,Premier League,29,1992,34.9,1479,1218,1463,17,0,0,1479,0,0,#DIV/0!,0,#DIV/0!,851,4474,2627,0,0,0,2,0,707,0
1683,Iñigo Martínez,ESP,DF,Athletic Club,La Liga,31,1991,14.9,914,117,451,430,38,15,914,0,0,#DIV/0!,0,#DIV/0!,495,3173,2165,11,10,0,4,2,529,4
1684,Lautaro Martínez,ARG,FW,Inter,Serie A,24,1997,28.6,1085,23,90,474,536,171,1083,72,29,40.28,31,43.06,619,2854,1336,49,33,22,75,48,793,172
1685,Lisandro Martínez,ARG,DF,Manchester Utd,Premier League,24,1998,23.5,1809,281,934,829,60,11,1809,16,14,87.5,0,0,1061,5256,2986,12,16,0,11,9,1138,2
1686,Lucas Martínez Quarta,ARG,DF,Fiorentina,Serie A,26,1996,24.1,1835,139,854,890,111,35,1835,16,12,75,3,18.75,1088,6689,3255,19,25,1,11,6,1131,6
1687,Roger Martínez,ESP,DF,Espanyol,La Liga,18,2004,0.1,6,0,0,1,5,1,6,0,0,#DIV/0!,0,#DIV/0!,3,10,4,0,0,0,0,0,4,0
1688,Gelson Martins,POR,"MF,FW",Monaco,Ligue 1,27,1995,3.8,218,3,30,74,118,22,218,13,4,30.77,8,61.54,168,1050,529,15,9,6,10,7,154,47
1689,Adam Marušić,MNE,DF,Lazio,Serie A,29,1992,30.7,2049,100,795,1005,260,17,2049,15,10,66.67,3,20,1065,4702,2669,38,39,4,13,13,1334,43
1690,Omar Mascarell,ESP,"MF,DF",Elche,La Liga,29,1993,27.2,1539,112,519,882,150,5,1539,33,21,63.64,10,30.3,839,5302,2337,27,21,1,14,11,929,6
1691,Adam Masina,MAR,DF,Udinese,Serie A,28,1994,8.8,496,55,243,219,41,6,496,4,3,75,0,0,297,1477,714,4,3,1,4,1,307,6
1692,Jordi Masip,ESP,GK,Valladolid,La Liga,33,1989,27.9,1025,947,1025,0,0,0,1025,0,0,#DIV/0!,0,#DIV/0!,539,2791,1785,0,0,0,0,0,427,0
1693,Erhan Mašović,SRB,"DF,MF",Bochum,Bundesliga,23,1998,24.2,1078,127,558,464,61,28,1078,5,2,40,3,60,522,2209,911,4,1,0,10,3,541,5
1694,Han-Noah Massengo,FRA,MF,Auxerre,Ligue 1,21,2001,12.4,588,11,107,358,134,20,588,38,17,44.74,14,36.84,446,2726,1184,21,26,6,19,8,403,29
1695,Yanis Massolin,FRA,MF,Clermont Foot,Ligue 1,19,2002,0.7,50,1,17,25,9,1,50,3,0,0,3,100,37,180,68,0,1,0,0,0,30,0
1696,Jaime Mata,ESP,"FW,MF",Getafe,La Liga,33,1988,4.9,190,8,29,73,90,20,190,5,2,40,3,60,102,369,104,2,6,0,16,7,131,33
1697,Pape Matar Sarr,SEN,"MF,FW",Tottenham,Premier League,19,2002,2.4,190,15,65,104,21,1,190,4,1,25,1,25,122,577,216,1,0,0,5,2,125,0
1698,Eliot Matazo,BEL,MF,Monaco,Ligue 1,20,2002,13.1,606,30,134,399,81,1,606,16,4,25,9,56.25,431,2218,889,5,13,0,9,12,363,10
1699,Jean-Philippe Mateta,FRA,FW,Crystal Palace,Premier League,25,1997,8.6,266,18,37,112,119,38,266,8,3,37.5,5,62.5,145,674,251,9,9,5,27,18,185,43
1700,Nemanja Matić,SRB,MF,Roma,Serie A,33,1988,20.6,1475,51,324,942,231,25,1475,33,24,72.73,5,15.15,913,5440,3060,50,44,7,22,19,1006,17
1701,Joël Matip,CMR,DF,Liverpool,Premier League,30,1991,12.1,1004,111,482,468,62,17,1004,7,4,57.14,3,42.86,657,4140,2907,28,22,1,14,1,720,2
1702,Henning Matriciani,GER,DF,Schalke 04,Bundesliga,22,2000,20.7,1089,101,505,463,137,6,1089,15,6,40,9,60,475,2263,1077,21,17,1,17,10,485,10
1703,Chrislain Matsima,FRA,"DF,MF","Lorient,Monaco","Ligue 1,Ligue 1",20,2002,7.5,421,56,191,189,42,9,421,1,1,100,0,0,296,1340,572,2,4,0,2,1,259,9
1705,Jean Mattéo Bahoya,FRA,"FW,MF",Angers,Ligue 1,17,2005,3,117,1,7,46,66,9,117,13,4,30.77,6,46.15,93,620,240,9,8,2,9,5,87,20
1706,Azor Matusiwa,NED,MF,Reims,Ligue 1,24,1998,27.6,1915,100,541,1138,260,2,1915,23,16,69.57,5,21.74,1383,6842,3122,15,26,0,24,12,1203,18
1707,Neal Maupay,FRA,FW,Everton,Premier League,25,1996,12.4,387,1,27,172,194,49,387,19,7,36.84,12,63.16,219,864,306,8,7,3,38,16,280,61
1708,Aïman Maurer,MAR,MF,Clermont Foot,Ligue 1,17,2004,5.6,195,4,29,81,90,24,195,30,17,56.67,10,33.33,148,1220,592,21,9,10,21,5,133,40
1709,Stephy Mavididi,ENG,FW,Montpellier,Ligue 1,24,1998,14.3,530,15,78,231,244,51,530,74,32,43.24,37,50,392,2852,1175,34,37,11,39,32,356,91
1710,Konstantinos Mavropanos,GRE,DF,Stuttgart,Bundesliga,24,1997,25.4,1875,217,874,875,157,47,1875,40,16,40,16,40,982,4958,2663,34,26,2,31,5,1099,13
1711,Christian Mawissa,FRA,DF,Toulouse,Ligue 1,17,2005,1.1,56,5,11,34,11,0,56,1,0,0,1,100,39,195,113,1,2,0,0,0,35,1
1712,Philipp Max,GER,DF,Eint Frankfurt,Bundesliga,28,1993,7.7,541,20,107,230,206,16,541,7,3,42.86,3,42.86,275,1159,546,14,7,0,8,3,329,52
1713,Eric Maxim Choupo-Moting,CMR,FW,Bayern Munich,Bundesliga,33,1989,12.4,407,6,19,175,214,68,406,29,20,68.97,6,20.69,252,960,247,11,5,7,32,16,317,77
1714,Luís Maximiano,POR,GK,Lazio,Serie A,23,1999,0.1,4,4,4,0,0,0,4,0,0,#DIV/0!,0,#DIV/0!,3,4,0,0,0,0,0,0,3,0
1715,Keke Maximilian Topp,GER,FW,Schalke 04,Bundesliga,18,2004,0.2,10,0,0,2,8,1,10,2,0,0,2,100,5,52,38,1,1,0,0,0,6,1
1716,Fernand Mayembo,CGO,DF,Ajaccio,Ligue 1,26,1996,7.9,394,67,233,153,10,6,394,6,4,66.67,1,16.67,255,1301,630,2,1,0,4,1,217,1
1717,Borja Mayoral,ESP,FW,Getafe,La Liga,25,1997,30.7,1040,15,106,495,449,118,1038,70,27,38.57,35,50,639,3327,1531,58,35,25,63,54,763,166
1718,Ibrahim Maza,GER,"MF,FW",Hertha BSC,Bundesliga,16,2005,0.8,24,1,11,6,8,3,24,1,0,0,0,0,12,70,52,2,1,1,2,0,12,1
1719,Derek Mazou-Sacko,FRA,MF,Troyes,Ligue 1,17,2004,0.2,8,2,3,4,1,1,8,0,0,#DIV/0!,0,#DIV/0!,5,30,16,1,0,0,0,1,4,1
1720,Noussair Mazraoui,MAR,DF,Bayern Munich,Bundesliga,24,1997,11.9,977,26,252,449,282,27,977,27,18,66.67,6,22.22,569,2683,1478,39,26,8,11,5,680,81
1721,Pasquale Mazzocchi,ITA,DF,Salernitana,Serie A,27,1995,21.8,1196,59,348,469,398,36,1196,103,58,56.31,36,34.95,654,4495,2330,70,55,15,54,34,680,102
1722,Kevin Mbabu,SUI,"DF,FW",Fulham,Premier League,27,1995,1.6,114,4,38,40,38,0,114,6,4,66.67,2,33.33,57,273,159,4,2,0,1,2,59,11
1723,Noah Mbamba,BEL,MF,Leverkusen,Bundesliga,17,2005,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0
1724,Kylian Mbappé,FRA,FW,Paris S-G,Ligue 1,23,1998,31.3,1771,10,46,594,1149,302,1766,201,74,36.82,109,54.23,1583,9810,4725,165,126,86,63,42,1575,468
1725,Mamadou Mbaye,SEN,DF,Cádiz,La Liga,24,1998,8.4,393,68,232,150,15,11,393,5,5,100,0,0,176,777,299,2,2,0,6,1,204,1
1726,Chancel Mbemba,COD,DF,Marseille,Ligue 1,27,1994,31.7,2042,171,669,1043,339,45,2042,24,14,58.33,5,20.83,1496,8249,4441,47,66,10,24,10,1374,49
1727,Bryan Mbeumo,CMR,FW,Brentford,Premier League,22,1999,32.3,1335,24,177,425,755,125,1334,88,45,51.14,37,42.05,776,4292,1862,66,33,26,72,54,862,235
1728,Jason Mbock,FRA,"MF,FW",Angers,Ligue 1,22,1999,0.3,11,0,0,5,6,0,11,1,0,0,1,100,7,34,5,0,0,0,0,0,7,2
1729,Jean-Manuel Mbom,GER,MF,Werder Bremen,Bundesliga,22,2000,0.1,3,0,0,3,0,0,3,0,0,#DIV/0!,0,#DIV/0!,1,2,0,0,0,0,0,0,3,0
1730,Nathanael Mbuku,FRA,"FW,MF","Reims,Augsburg","Ligue 1,Bundesliga",20,2002,1.1,49,2,8,24,18,3,49,2,1,50,1,50,35,251,143,5,2,2,4,2,30,6
1732,James McArthur,SCO,MF,Crystal Palace,Premier League,34,1987,0.6,60,5,22,29,9,0,60,2,1,50,0,0,36,168,84,0,2,0,1,3,40,0
1733,Alex McCarthy,ENG,GK,Southampton,Premier League,32,1989,6,261,205,260,1,0,0,261,0,0,#DIV/0!,0,#DIV/0!,139,546,264,0,0,0,0,0,133,0
1734,John McGinn,SCO,"MF,FW",Aston Villa,Premier League,27,1994,29.9,1348,37,218,756,388,45,1348,70,45,64.29,14,20,804,4072,1799,34,35,8,58,35,888,66
1735,Scott McKenna,SCO,DF,Nott'ham Forest,Premier League,25,1996,17.5,877,151,501,333,45,21,877,7,5,71.43,1,14.29,430,1885,929,5,1,0,2,2,508,2
1736,Weston McKennie,USA,MF,"Leeds United,Juventus","Premier League,Serie A",23,1998,27.7,1333,66,303,650,392,39,1333,25,18,72,6,24,631,2909,1469,33,27,2,48,37,794,87
1738,Dwight McNeil,ENG,"FW,MF",Everton,Premier League,22,1999,27.8,1358,52,266,505,614,61,1357,108,54,50,51,47.22,738,5432,2144,76,44,16,53,45,762,128
1739,Scott McTominay,SCO,MF,Manchester Utd,Premier League,25,1996,12.9,618,69,205,287,132,25,618,26,13,50,9,34.62,315,1610,782,20,16,3,24,19,359,19
1740,Gary Medel,CHI,"MF,DF",Bologna,Serie A,34,1987,16.4,1226,123,520,656,60,0,1226,6,4,66.67,2,33.33,643,2305,983,1,3,0,6,4,803,5
1741,Facundo Medina,ARG,DF,Lens,Ligue 1,23,1999,30.9,2728,164,806,1714,237,23,2728,38,24,63.16,9,23.68,2278,14430,8259,81,63,1,22,21,2100,30
1742,Fernando Medrano,ESP,DF,Celta Vigo,La Liga,22,2000,0.1,6,1,5,1,0,0,6,0,0,#DIV/0!,0,#DIV/0!,4,34,9,0,0,0,0,0,2,0
1743,Ben Mee,ENG,DF,Brentford,Premier League,32,1989,36.3,2122,272,1089,887,156,71,2122,13,12,92.31,1,7.69,1146,4790,2581,8,11,3,18,2,1179,14
1744,Bamo Meïté,CIV,DF,Lorient,Ligue 1,21,2001,16.7,1107,184,614,472,22,9,1107,11,8,72.73,2,18.18,858,4901,2649,10,2,0,14,4,801,1
1745,Soualiho Meïté,FRA,MF,Cremonese,Serie A,28,1994,26.3,1282,72,363,759,176,13,1282,60,28,46.67,18,30,719,3526,1612,26,20,4,30,30,811,22
1746,Farid El Melali,ALG,"DF,FW",Angers,Ligue 1,25,1997,9,422,13,91,198,153,22,422,54,26,48.15,22,40.74,295,2534,1253,42,26,14,27,14,251,54
1747,Gonzalo Melero,ESP,MF,Almería,La Liga,28,1994,20.6,943,44,204,526,221,35,942,36,17,47.22,18,50,573,2999,1408,31,28,4,37,19,672,37
1748,Birger Meling,NOR,DF,Rennes,Ligue 1,27,1994,13.4,925,37,196,480,253,20,925,22,5,22.73,15,68.18,629,4173,2046,37,27,4,11,9,566,74
1749,Memphis,NED,FW,"Barcelona,Atlético Madrid","La Liga,La Liga",28,1994,4.3,223,0,12,72,141,40,223,18,7,38.89,9,50,137,601,272,6,4,7,23,13,191,41
1751,Houboulang Mendes,GNB,DF,Almería,La Liga,24,1998,9.8,436,29,160,183,97,1,436,21,9,42.86,9,42.86,201,1270,704,18,10,1,16,10,227,30
1752,Nuno Mendes,POR,DF,Paris S-G,Ligue 1,20,2002,17.2,1139,47,242,417,495,58,1139,66,27,40.91,34,51.52,876,4893,2466,51,35,19,30,17,794,195
1753,Pedro Mendes,POR,DF,Montpellier,Ligue 1,31,1990,0.1,4,1,2,2,0,0,4,0,0,#DIV/0!,0,#DIV/0!,2,20,16,0,0,0,1,0,1,0
1754,Thiago Mendes,BRA,"MF,DF",Lyon,Ligue 1,30,1992,22.9,1913,112,502,1225,188,9,1913,11,6,54.55,5,45.45,1500,7166,3378,10,22,2,25,16,1383,20
1755,Brais Méndez,ESP,MF,Real Sociedad,La Liga,25,1997,26.7,1608,25,170,776,675,60,1608,53,15,28.3,34,64.15,886,3755,1653,41,44,5,49,29,1093,138
1756,Diego Méndez,ESP,MF,Rayo Vallecano,La Liga,18,2003,0,3,0,2,1,0,0,3,0,0,#DIV/0!,0,#DIV/0!,1,0,0,0,0,0,0,0,2,0
1757,Antoine Mendy,FRA,DF,Nice,Ligue 1,18,2004,5.8,394,22,122,186,88,9,394,4,3,75,1,25,266,1269,580,2,5,0,11,5,235,37
1758,Arial Mendy,SEN,DF,Clermont Foot,Ligue 1,27,1994,2.5,147,7,45,57,46,5,147,5,0,0,2,40,92,499,211,6,4,0,2,2,81,22
1759,Batista Mendy,FRA,"MF,DF",Angers,Ligue 1,22,2000,31.8,1700,69,414,1033,277,16,1700,61,38,62.3,18,29.51,1324,7161,3195,27,42,2,24,27,1201,49
1760,Edouard Mendy,SEN,GK,Chelsea,Premier League,30,1992,9.5,307,265,304,3,0,0,307,1,0,0,1,100,171,790,423,0,0,0,0,0,157,0
1761,Ferland Mendy,FRA,DF,Real Madrid,La Liga,27,1995,15,971,42,265,426,287,8,971,29,19,65.52,8,27.59,591,3059,1427,23,25,2,20,17,697,73
1762,Nampalys Mendy,SEN,MF,Leicester City,Premier League,30,1992,8.4,490,12,139,310,45,2,490,11,7,63.64,3,27.27,283,1352,468,2,5,0,7,1,333,4
1763,Gideon Mensah,GHA,DF,Auxerre,Ligue 1,24,1998,25.1,1734,90,531,852,384,9,1734,59,26,44.07,28,47.46,1140,7390,3334,56,63,1,44,13,945,110
1764,Chris Mepham,WAL,DF,Bournemouth,Premier League,24,1997,24.4,1336,285,852,455,36,14,1336,7,3,42.86,3,42.86,650,3099,1628,2,6,2,4,3,788,1
1765,Jorge Meré,ESP,DF,Cádiz,La Liga,25,1997,6.7,283,45,148,127,11,6,283,0,0,#DIV/0!,0,#DIV/0!,142,474,182,1,0,0,3,1,146,0
1766,Alex Meret,ITA,GK,Napoli,Serie A,25,1997,34,974,828,972,2,0,0,974,0,0,#DIV/0!,0,#DIV/0!,544,2256,1190,0,0,0,0,0,476,0
1767,Mikel Merino,ESP,MF,Real Sociedad,La Liga,26,1996,27.7,1861,86,356,1024,496,79,1860,42,22,52.38,16,38.1,1020,3933,1763,30,42,4,48,37,1263,107
1768,Quentin Merlin,FRA,DF,Nantes,Ligue 1,20,2002,19.9,1356,54,326,664,387,16,1356,39,22,56.41,14,35.9,886,5051,2457,43,40,7,25,10,793,96
1769,Yıldırım Mert Çetin,TUR,DF,Lecce,Serie A,25,1997,0.2,8,2,5,3,0,0,8,0,0,#DIV/0!,0,#DIV/0!,3,12,1,0,0,0,2,0,2,0
1770,Roque Mesa,ESP,MF,Valladolid,La Liga,33,1989,18,1134,62,286,683,181,9,1134,31,15,48.39,14,45.16,748,4717,2201,29,23,3,21,21,772,24
1771,Illan Meslier,FRA,GK,Leeds United,Premier League,22,2000,34,1122,903,1116,5,2,1,1122,0,0,#DIV/0!,0,#DIV/0!,596,3396,1969,0,0,0,1,1,424,0
1772,Lionel Messi,ARG,"FW,MF",Paris S-G,Ligue 1,35,1987,31.5,2401,5,98,1201,1132,159,2401,184,102,55.43,71,38.59,2053,11482,5063,114,126,42,52,77,2042,220
1773,Junior Messias,BRA,"FW,DF",Milan,Serie A,31,1991,16.6,765,32,122,336,323,54,765,68,34,50,21,30.88,466,3060,1659,45,42,18,32,14,530,137
1774,Amine Messoussa,FRA,FW,Lille,Ligue 1,17,2004,0,1,0,0,0,1,0,1,0,0,#DIV/0!,0,#DIV/0!,1,4,0,0,0,0,1,0,1,1
1775,Thomas Meunier,BEL,DF,Dortmund,Bundesliga,30,1991,6.5,503,25,131,213,162,11,503,10,4,40,4,40,273,1150,556,9,7,1,8,5,306,45
1776,Alexander Meyer,GER,GK,Dortmund,Bundesliga,31,1991,7,335,230,327,7,1,1,335,0,0,#DIV/0!,0,#DIV/0!,216,1193,669,0,0,0,0,0,186,0
