Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCAPL,SCAPD,SCATO,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPL,GCAPD,GCATO,GCASh,GCAFld,GCADef,Matches
65,Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,13.9,41,2.95,33,0,3,1,1,3,2,0.14,2,0,0,0,0,0,0
66,Carlos Alcaraz,ARG,"MF,FW",Southampton,Premier League,19,2002,11.4,22,1.93,14,0,2,3,2,1,4,0.35,3,0,0,1,0,0,0
67,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,1991,22.7,47,2.07,34,9,1,1,2,0,2,0.09,2,0,0,0,0,0,0
68,Omar Alderete,PAR,DF,Getafe,La Liga,25,1996,22.7,24,1.06,22,0,0,2,0,0,3,0.13,3,0,0,0,0,0,0
69,Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,27,1995,14.6,40,2.74,27,3,3,5,2,0,0,0,0,0,0,0,0,0,0
70,Doğan Alemdar,TUR,GK,Rennes,Ligue 1,19,2002,4.5,1,0.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,24,1998,23.5,44,1.87,30,2,1,2,9,0,4,0.17,4,0,0,0,0,0,0
72,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,23,1998,32.5,124,3.82,81,34,3,5,1,0,17,0.52,14,2,1,0,0,0,0
73,Alejandro Alfaro,ESP,MF,Elche,La Liga,20,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Ángel Algobia,ESP,MF,Getafe,La Liga,23,1999,12.6,16,1.27,13,0,1,2,0,0,1,0.08,1,0,0,0,0,0,0
75,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,18,2004,6.5,19,2.92,12,1,2,2,1,1,2,0.31,2,0,0,0,0,0,0
76,Faride Alidou,GER,"DF,MF",Eint Frankfurt,Bundesliga,21,2001,2,8,4,7,0,1,0,0,0,1,0.5,1,0,0,0,0,0,0
77,Alisson,BRA,GK,Liverpool,Premier League,29,1992,37,3,0.08,3,0,0,0,0,0,2,0.05,2,0,0,0,0,0,0
78,Jim Allevinah,GAB,"DF,FW",Clermont Foot,Ligue 1,27,1995,24.9,48,1.93,39,1,3,2,3,0,2,0.08,1,0,0,1,0,0,0
79,Dele Alli,ENG,MF,Everton,Premier League,26,1996,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22,2000,28.2,91,3.23,67,17,1,1,2,3,5,0.18,3,2,0,0,0,0,0
81,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,28,1994,27.7,87,3.14,63,2,10,9,3,0,13,0.47,5,1,5,2,0,0,0
82,Marcos Alonso,ESP,DF,Barcelona,La Liga,31,1990,13,14,1.08,13,0,0,1,0,0,1,0.08,1,0,0,0,0,0,0
83,Mickaël Alphonse,GLP,DF,Ajaccio,Ligue 1,33,1989,15.1,19,1.26,15,1,1,1,0,1,0,0,0,0,0,0,0,0,0
84,Éder Álvarez Balanta,COL,"MF,FW",Schalke 04,Bundesliga,29,1993,2.6,8,3.08,6,1,0,0,0,1,1,0.38,1,0,0,0,0,0,0
85,Carlos Álvarez,ESP,MF,Sevilla,La Liga,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Gastón Álvarez,URU,DF,Getafe,La Liga,22,2000,16.7,16,0.96,9,5,0,1,0,1,1,0.06,1,0,0,0,0,0,0
87,Julián Álvarez,ARG,"FW,MF",Manchester City,Premier League,22,2000,16.3,52,3.19,39,0,6,5,2,0,5,0.31,2,0,1,1,1,0,0
88,Agustín Álvarez Martínez,URU,"FW,MF",Sassuolo,Serie A,21,2001,4.1,9,2.2,3,0,2,3,1,0,2,0.49,1,0,0,1,0,0,0
89,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,27,1995,25.9,28,1.08,24,1,0,1,1,1,2,0.08,2,0,0,0,0,0,0
90,Ibrahim Amadou,FRA,"DF,MF",Angers,Ligue 1,29,1993,4.7,3,0.64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Selim Amallah,MAR,"MF,FW",Valladolid,La Liga,25,1996,3,11,3.67,5,0,4,0,0,2,2,0.67,1,0,1,0,0,0,0
92,Daniel Amartey,GHA,DF,Leicester City,Premier League,27,1994,17.9,15,0.84,15,0,0,0,0,0,1,0.06,1,0,0,0,0,0,0
93,Amath,SEN,"MF,FW",Mallorca,La Liga,26,1996,13.6,24,1.76,11,0,5,4,3,1,3,0.22,1,0,1,0,1,0,0
94,Jordan Amavi,FRA,DF,Getafe,La Liga,28,1994,2.2,2,0.91,2,0,0,0,0,0,1,0.45,1,0,0,0,0,0,0
95,Lukáš Ambros,CZE,MF,Wolfsburg,Bundesliga,18,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Kelvin Amian,FRA,DF,Spezia,Serie A,24,1998,26.4,45,1.7,34,3,2,4,0,2,3,0.11,1,0,0,2,0,0,0
97,Bruno Amione,ARG,DF,"Hellas Verona,Sampdoria","Serie A,Serie A",20,2002,23.8,12,0.5,6,1,0,4,1,0,2,0.08,1,0,0,1,0,0,0
99,Nadiem Amiri,GER,"MF,FW",Leverkusen,Bundesliga,25,1996,10.9,36,3.3,23,4,4,1,4,0,5,0.46,3,0,1,0,1,0,0
100,Samuel Amo-Ameyaw,ENG,MF,Southampton,Premier League,16,2006,0,1,#DIV/0!,1,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
101,Ethan Ampadu,WAL,"DF,MF",Spezia,Serie A,21,2000,29.3,40,1.37,33,0,0,4,2,1,4,0.14,4,0,0,0,0,0,0
102,Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,25,1996,22.2,44,1.98,38,0,0,0,2,4,4,0.18,3,0,0,0,0,1,0
103,Ayoub Amraoui,MAR,"DF,FW",Nice,Ligue 1,18,2004,3.3,4,1.21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Joachim Andersen,DEN,DF,Crystal Palace,Premier League,26,1996,30.9,25,0.81,20,3,0,0,1,1,1,0.03,0,1,0,0,0,0,0
105,Elliot Anderson,SCO,"MF,FW",Newcastle Utd,Premier League,19,2002,4.6,22,4.78,16,0,2,0,4,0,1,0.22,1,0,0,0,0,0,0
106,Felipe Anderson,BRA,FW,Lazio,Serie A,29,1993,32.9,99,3.01,79,1,10,6,3,0,15,0.46,8,0,4,2,1,0,0
107,Benjamin André,FRA,MF,Lille,Ligue 1,31,1990,32.4,70,2.16,62,0,0,3,3,2,6,0.19,5,0,0,0,1,0,0
108,Marcos André,BRA,"FW,MF",Valencia,La Liga,25,1996,5,12,2.4,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0
109,Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,27,1995,16.1,32,1.99,26,0,2,2,2,0,4,0.25,2,0,0,2,0,0,0
110,Robert Andrich,GER,MF,Leverkusen,Bundesliga,27,1994,26.7,45,1.69,37,0,0,4,1,3,4,0.15,3,0,0,0,0,1,0
111,Angeliño,ESP,DF,Hoffenheim,Bundesliga,25,1997,29.1,88,3.02,61,20,1,2,3,1,10,0.34,8,1,0,1,0,0,0
112,Fabrizio Angileri,ARG,DF,Getafe,La Liga,28,1994,6.5,5,0.77,3,0,1,0,0,1,2,0.31,1,0,0,0,0,1,0
113,Jaidon Anthony,ENG,"MF,FW",Bournemouth,Premier League,22,1999,14,38,2.71,28,3,4,1,1,1,4,0.29,2,0,1,0,1,0,0
114,Janis Antiste,FRA,FW,Sassuolo,Serie A,19,2002,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Waldemar Anton,GER,DF,Stuttgart,Bundesliga,26,1996,32.6,39,1.2,28,4,2,5,0,0,5,0.15,3,0,0,2,0,0,0
116,Josep Antoni Gayá,ESP,"DF,MF",Mallorca,La Liga,22,2000,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,José Antonio,ESP,"MF,DF",Cádiz,La Liga,18,2004,0.5,1,2,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0
118,Marcos Antônio,BRA,MF,Lazio,Serie A,22,2000,6.6,9,1.36,7,0,1,0,1,0,3,0.45,2,0,1,0,0,0,0
119,Michail Antonio,JAM,FW,West Ham,Premier League,32,1990,20.3,39,1.92,24,0,6,4,5,0,9,0.44,6,0,2,1,0,0,0
120,Antony,BRA,FW,Manchester Utd,Premier League,22,2000,20,74,3.7,61,0,5,3,4,1,7,0.35,6,0,1,0,0,0,0
121,Valentin Antov,BUL,DF,Monza,Serie A,21,2000,3.4,2,0.59,2,0,0,0,0,0,1,0.29,1,0,0,0,0,0,0
122,Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,28,1994,22,79,3.59,46,16,5,3,9,0,12,0.55,7,1,2,0,2,0,0
123,Anuar,MAR,"MF,FW",Valladolid,La Liga,27,1995,2.3,4,1.74,2,0,1,0,0,1,1,0.43,0,0,1,0,0,0,0
124,Houssem Aouar,ALG,MF,Lyon,Ligue 1,24,1998,5.8,15,2.59,9,0,3,3,0,0,2,0.34,2,0,0,0,0,0,0
125,Adil Aouchiche,FRA,MF,Lorient,Ligue 1,20,2002,2.8,5,1.79,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
126,Dennis Appiah,FRA,"DF,MF",Nantes,Ligue 1,30,1992,8.8,11,1.25,8,1,2,0,0,0,1,0.11,1,0,0,0,0,0,0
127,Stredair Appuah,FRA,"DF,MF",Nantes,Ligue 1,18,2004,0.7,6,8.57,5,0,1,0,0,0,1,1.43,1,0,0,0,0,0,0
128,Mauro Arambarri,URU,MF,Getafe,La Liga,26,1995,11,25,2.27,8,14,1,1,0,1,3,0.27,2,1,0,0,0,0,0
129,Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,33,1989,5.5,10,1.82,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Ronald Araújo,URU,DF,Barcelona,La Liga,23,1999,20,18,0.9,15,0,0,3,0,0,6,0.3,5,0,0,1,0,0,0
131,Cameron Archer,ENG,"FW,MF",Aston Villa,Premier League,21,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Taïryk Arconte,FRA,FW,Brest,Ligue 1,18,2003,1.4,3,2.14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Alphonse Areola,FRA,GK,West Ham,Premier League,29,1993,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Adu Ares,ESP,"FW,MF",Athletic Club,La Liga,20,2001,0.9,12,13.33,7,0,2,1,2,0,0,0,0,0,0,0,0,0,0
135,Joe Aribo,NGA,"MF,FW",Southampton,Premier League,26,1996,13.6,27,1.99,23,0,1,1,1,1,2,0.15,1,0,1,0,0,0,0
136,Adam Armstrong,ENG,"FW,MF",Southampton,Premier League,25,1997,14.8,24,1.62,19,0,2,1,1,1,2,0.14,1,0,0,0,0,1,0
137,Stuart Armstrong,SCO,"MF,FW",Southampton,Premier League,30,1992,15.6,50,3.21,39,1,0,6,4,0,2,0.13,1,0,0,0,1,0,0
138,Marko Arnautović,AUT,FW,Bologna,Serie A,33,1989,17,44,2.59,36,0,3,2,3,0,5,0.29,3,0,1,0,1,0,0
139,Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,28,1994,30.7,82,2.67,41,35,1,3,2,0,10,0.33,5,3,0,1,1,0,0
140,Mohamed El Arouch,FRA,MF,Lyon,Ligue 1,18,2004,0,1,#DIV/0!,1,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
141,Sergio Arribas,ESP,"MF,FW",Real Madrid,La Liga,20,2001,0.2,3,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,27,1994,28.5,1,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Roberto Arroyo,ESP,MF,Valladolid,La Liga,18,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Tolgay Arslan,GER,MF,Udinese,Serie A,31,1990,13.5,44,3.26,30,5,3,1,4,1,0,0,0,0,0,0,0,0,0
145,Ricard Artero,ESP,"MF,FW",Girona,La Liga,19,2003,1.5,1,0.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Arthur,BRA,FW,Fiorentina,Serie A,24,1998,15.9,36,2.26,26,0,2,5,3,0,2,0.13,1,0,0,1,0,0,0
147,Santiago Arzamendia,PAR,"DF,MF",Cádiz,La Liga,24,1998,5.4,11,2.04,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0
148,Takuma Asano,JPN,"FW,MF",Bochum,Bundesliga,27,1994,19,56,2.95,39,1,2,7,6,1,8,0.42,6,0,1,1,0,0,0
149,Santiago Ascacíbar,ARG,MF,Cremonese,Serie A,25,1997,8.1,25,3.09,17,1,0,7,0,0,3,0.37,1,0,0,2,0,0,0
150,Sergio Asenjo,ESP,GK,Valladolid,La Liga,33,1989,10,2,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Marco Asensio,ESP,"FW,MF",Real Madrid,La Liga,26,1996,16,76,4.75,47,16,6,4,3,0,12,0.75,7,2,2,0,1,0,0
152,Kristoffer Askildsen,NOR,MF,Lecce,Serie A,21,2001,8.1,15,1.85,9,4,0,0,2,0,1,0.12,1,0,0,0,0,0,0
153,Fisnik Asllani,KVX,FW,Hoffenheim,Bundesliga,19,2002,1.9,8,4.21,6,0,0,0,1,1,1,0.53,1,0,0,0,0,0,0
154,Kristjan Asllani,ALB,MF,Inter,Serie A,20,2002,6.6,22,3.33,11,9,1,0,1,0,1,0.15,1,0,0,0,0,0,0
155,Iago Aspas,ESP,FW,Celta Vigo,La Liga,34,1987,31.9,141,4.42,110,8,5,8,9,1,8,0.25,8,0,0,0,0,0,0
156,Lorenz Assignon,TOG,DF,Rennes,Ligue 1,22,2000,2.9,4,1.38,3,1,0,0,0,0,1,0.34,1,0,0,0,0,0,0
157,Youcef Atal,ALG,"DF,MF",Nice,Ligue 1,26,1996,8.7,31,3.56,22,0,4,2,2,1,2,0.23,1,0,1,0,0,0,0
158,Valentin Atangana Edoa,FRA,MF,Reims,Ligue 1,16,2005,1.9,5,2.63,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
159,Pierre-Emerick Aubameyang,GAB,FW,"Chelsea,Barcelona","Premier League,La Liga",33,1989,6.3,9,1.43,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0
161,Emil Audero,ITA,GK,Sampdoria,Serie A,25,1997,25,5,0.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Tommaso Augello,ITA,DF,Sampdoria,Serie A,27,1994,34,77,2.26,54,16,2,1,3,1,7,0.21,6,1,0,0,0,0,0
163,Ludwig Augustinsson,SWE,DF,"Aston Villa,Mallorca","Premier League,La Liga",28,1994,2.4,2,0.83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Serge Aurier,CIV,DF,Nott'ham Forest,Premier League,29,1992,21.6,26,1.2,21,2,0,0,2,1,1,0.05,0,1,0,0,0,0,0
166,Mathias Autret,FRA,"MF,FW",Auxerre,Ligue 1,31,1991,14.3,54,3.78,35,12,3,3,0,1,7,0.49,3,2,0,2,0,0,0
167,Ezequiel Ávila,ARG,"FW,MF",Osasuna,La Liga,28,1994,19,41,2.16,28,2,4,4,2,1,2,0.11,1,0,0,1,0,0,0
168,Cédric Avinel,GLP,DF,Ajaccio,Ligue 1,35,1986,19.9,3,0.15,1,1,0,1,0,0,1,0.05,0,0,0,1,0,0,0
169,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,24,1997,15.6,25,1.6,18,0,2,2,2,1,4,0.26,2,0,1,1,0,0,0
170,Yasin Ayari,SWE,MF,Brighton,Premier League,18,2003,0.7,4,5.71,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
171,Mehmet Aydin,GER,"DF,FW",Schalke 04,Bundesliga,20,2002,6.3,13,2.06,10,1,0,2,0,0,0,0,0,0,0,0,0,0,0
172,André Ayew,GHA,"FW,MF",Nott'ham Forest,Premier League,32,1989,3.5,3,0.86,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,30,1991,30.2,78,2.58,53,0,9,6,7,3,8,0.26,5,0,1,1,1,0,0
174,Kaan Ayhan,TUR,DF,Sassuolo,Serie A,27,1994,6.1,5,0.82,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Luke Ayling,ENG,DF,Leeds United,Premier League,30,1991,22.8,40,1.75,33,0,0,3,2,2,1,0.04,1,0,0,0,0,0,0
176,Ayman Azhil,MAR,MF,Leverkusen,Bundesliga,21,2001,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
177,Sardar Azmoun,IRN,"FW,MF",Leverkusen,Bundesliga,27,1995,10.3,33,3.2,27,0,1,2,1,2,4,0.39,1,0,1,1,0,1,0
178,César Azpilicueta,ESP,DF,Chelsea,Premier League,32,1989,17,25,1.47,25,0,0,0,0,0,1,0.06,1,0,0,0,0,0,0
179,Sanoussy Ba,GER,DF,RB Leipzig,Bundesliga,18,2004,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
180,Iddrisu Baba,GHA,"MF,DF",Mallorca,La Liga,26,1996,18.9,13,0.69,10,0,0,1,1,1,1,0.05,0,0,0,1,0,0,0
181,Srđan Babić,SRB,DF,Almería,La Liga,26,1996,33.3,20,0.6,18,0,0,2,0,0,1,0.03,0,0,0,1,0,0,0
182,Loïc Bade,FRA,DF,"Sevilla,Rennes","La Liga,Ligue 1",22,2000,17.1,4,0.23,2,1,0,1,0,0,2,0.12,0,1,0,1,0,0,0
