,Player,Position,90s,TCmp,LFTP,LPrgP,LPPA,LxA,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,CaFTC,CaCPA,Att_Pen,SSh,npxG,SDist,PTTB
196,Lars Stindl,attacking midfield,19.3,624,67,77,17,3.5,127,554,301,980,8,22,89,21,2,47,50,5.0,3.0,6
197,Kevin Stöger,attacking midfield,28.9,1114,153,214,46,7.8,281,1081,571,1914,22,43,98,40,3,37,45,4.4,-0.1,9
198,Denis Suárez,attacking midfield,10.5,331,36,43,14,1.5,79,302,167,541,19,26,34,20,2,12,4,0.5,-0.5,2
199,Yuito Suzuki,attacking midfield,0.4,11,1,3,1,0.0,2,10,12,23,2,3,6,1,2,4,2,0.1,0.9,0
200,Williot Swedberg,attacking midfield,0.6,14,1,4,2,0.1,5,12,11,27,1,1,5,2,0,1,0,0.0,0.0,0
201,Waniss Taibi,attacking midfield,2.1,134,12,16,2,0.3,35,98,39,171,2,8,7,3,1,2,1,0.3,-0.3,1
202,Adrien Thomasson,attacking midfield,24.6,869,69,90,28,3.5,212,647,495,1347,20,32,171,35,5,97,38,4.5,0.5,2
203,Adrien Thomasson,attacking midfield,24.6,869,69,90,28,3.5,212,647,495,1347,20,32,171,35,5,97,38,4.5,0.5,2
204,Kristian Thorstvedt,attacking midfield,12.6,372,44,60,6,1.2,97,366,178,629,7,31,54,19,7,36,20,2.1,-0.1,2
205,Roberto Torres,attacking midfield,0.1,12,0,0,0,0.2,1,6,8,14,1,2,1,3,0,0,0,0.0,0.0,0
206,Óscar Trejo,attacking midfield,23.8,811,107,123,23,2.9,120,694,550,1336,57,56,110,59,13,72,23,3.4,0.2,7
207,Simone Verdi,attacking midfield,12.2,270,38,46,12,1.5,50,281,250,566,35,34,57,23,3,25,29,2.6,2.2,5
208,Valerio Verre,attacking midfield,7.5,282,30,45,14,0.9,64,285,153,493,10,16,27,13,6,16,14,0.6,-0.6,3
209,Fabio Vieira,attacking midfield,5.7,234,26,35,7,1.4,27,162,170,356,6,8,40,8,1,27,15,0.8,0.2,2
210,Samuele Vignato,attacking midfield,0.7,30,0,1,1,0.1,2,19,24,45,3,4,6,1,3,8,1,0.1,-0.1,0
211,Nikola Vlašić,attacking midfield,30.3,775,70,106,26,3.3,131,548,641,1296,30,85,210,59,28,116,53,4.3,0.7,2
212,Cristian Volpato,attacking midfield,2.5,83,9,18,5,0.3,13,64,63,138,4,8,24,8,3,11,4,0.4,0.6,1
213,Paul Wanner,attacking midfield,0.3,7,0,1,1,0.1,3,6,4,13,2,1,4,1,1,2,0,0.0,0.0,0
214,Florian Wirtz,attacking midfield,12.1,473,43,80,26,3.1,73,411,315,787,48,36,86,26,9,35,7,0.8,0.2,15
215,Hannes Wolf,attacking midfield,5.0,146,8,13,2,0.2,41,119,95,251,6,12,37,7,5,17,8,1.4,-0.4,1
216,Yusuf Yazıcı,attacking midfield,2.2,73,9,17,6,0.2,15,48,54,116,1,5,18,6,0,6,5,0.2,0.8,0
217,Mattia Zaccagni,attacking midfield,30.8,841,44,76,27,3.2,162,628,636,1401,60,118,282,62,42,120,56,6.7,3.1,2
218,Rodrigo Zalazar,attacking midfield,14.7,253,20,34,18,4.6,94,304,296,667,35,26,47,20,4,40,38,3.1,-2.1,6
219,Nicolò Zaniolo,attacking midfield,9.9,125,10,19,7,0.6,36,153,165,344,10,34,69,27,10,45,28,2.9,-1.9,3
220,Piotr Zieliński,attacking midfield,25.4,1300,122,128,45,7.5,183,822,765,1755,22,62,129,75,9,54,53,3.5,-0.5,2
221,Hakim Ziyech,attacking midfield,7.3,258,20,42,19,1.5,74,184,251,505,14,20,69,17,7,17,16,0.6,-0.6,4
222,Martin Ødegaard,attacking midfield,34.7,1449,135,266,91,7.9,199,864,1060,2100,48,83,193,60,26,122,93,10.0,5.0,23
223,Filip Đuričić,attacking midfield,24.1,586,50,77,18,1.6,145,488,380,992,31,39,83,42,3,34,26,2.7,0.3,3
