,Player,Position,90s,TCmp,LFTP,LPrgP,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,BTklInt,CTkl%,BClr,ADWon,ADWonp
124,Fernando,defensive midfield,17.5,768,52,67,369,532,131,1025,3,6,13,1,0.0,20,2,66.66666666666666
125,Fernando,defensive midfield,17.5,768,52,67,369,532,131,1025,3,6,13,1,0.0,20,20,60.60606060606061
126,Fernando,defensive midfield,17.5,768,52,67,369,532,131,1025,3,6,13,58,60.0,29,2,66.66666666666666
127,Fernando,defensive midfield,17.5,768,52,67,369,532,131,1025,3,6,13,58,60.0,29,20,60.60606060606061
128,Florian Flick,defensive midfield,5.7,129,13,12,86,135,26,244,1,2,2,16,28.57142857142857,18,14,66.66666666666666
129,Bartol Franjić,defensive midfield,2.5,61,6,4,35,64,17,114,1,3,1,9,0.0,4,5,62.5
130,Pablo Galdames Millán,defensive midfield,8.2,211,27,33,93,211,89,389,2,5,17,24,15.151515151515152,13,4,40.0
131,James Garner,defensive midfield,8.9,256,22,33,97,201,150,441,7,8,18,28,47.368421052631575,13,12,54.54545454545454
132,Johan Gastien,defensive midfield,28.9,1743,193,219,628,1426,325,2358,9,13,27,98,34.23423423423424,25,10,50.0
133,João Gomes,defensive midfield,7.3,250,18,19,118,212,80,409,8,7,8,33,56.52173913043478,11,7,63.63636363636363
134,Maxime Gonalons,defensive midfield,16.1,736,80,99,259,657,97,997,15,10,3,72,47.16981132075472,7,15,62.5
135,Jacek Góralski,defensive midfield,1.6,31,0,3,22,33,4,59,0,1,0,9,66.66666666666666,5,0,0.0
136,Christian Groß,defensive midfield,21.0,695,63,67,290,672,114,1067,15,22,17,79,48.333333333333336,38,26,46.42857142857143
137,Ilia Gruev,defensive midfield,17.6,673,53,61,247,616,106,956,5,26,12,66,58.06451612903226,21,16,43.24324324324324
138,Carlos Gruezo,defensive midfield,10.7,199,25,29,132,196,37,360,5,2,5,31,56.25,15,9,40.909090909090914
139,Nemanja Gudelj,defensive midfield,30.9,1445,113,110,837,910,169,1911,3,29,6,77,60.60606060606061,102,47,67.14285714285714
140,Pape Gueye,defensive midfield,18.5,718,74,90,216,668,214,1087,15,9,40,86,47.91666666666667,12,30,57.692307692307686
141,Josuha Guilavogui,defensive midfield,13.1,678,63,64,354,542,55,949,3,4,6,41,35.294117647058826,52,43,57.333333333333336
142,Bruno Guimarães,defensive midfield,30.3,1387,147,222,392,1076,575,2014,45,41,42,114,58.46153846153847,22,19,59.375
143,Gerard Gumbau,defensive midfield,30.4,1112,124,145,336,955,433,1709,7,18,52,72,35.294117647058826,40,22,42.30769230769231
144,Makoto Hasebe,defensive midfield,14.5,887,51,57,542,569,24,1131,0,9,2,35,31.818181818181817,45,15,38.46153846153847
145,Morten Hjulmand,defensive midfield,32.9,1040,152,159,472,982,225,1665,17,9,16,162,55.223880597014926,54,41,58.57142857142858
146,Joseph Hodge,defensive midfield,1.9,80,9,8,26,56,36,118,0,1,5,5,75.0,2,1,33.33333333333333
147,Nicolas Höfler,defensive midfield,31.3,1149,88,110,474,1027,202,1690,17,12,10,124,44.26229508196721,49,69,56.55737704918032
148,Martin Hongla,defensive midfield,20.3,686,51,74,399,513,100,1003,17,6,15,40,61.53846153846154,55,12,33.33333333333333
149,Asier Illarramendi,defensive midfield,12.0,545,53,48,160,477,156,790,7,10,24,54,36.36363636363637,20,16,44.44444444444444
150,Bonke Innocent,defensive midfield,13.1,515,30,31,252,424,47,718,6,3,0,54,30.55555555555556,31,9,31.03448275862069
151,Mato Jajalo,defensive midfield,0.7,23,1,4,7,14,16,36,1,0,1,0,0.0,2,1,100.0
152,Kristijan Jakić,defensive midfield,16.2,741,39,59,469,550,121,1129,8,16,19,47,53.65853658536586,49,29,49.15254237288136
153,Vitaly Janelt,defensive midfield,24.5,812,75,82,335,675,242,1244,9,14,28,83,42.85714285714285,26,32,58.18181818181818
154,Jorginho,defensive midfield,23.7,1390,171,179,432,1053,353,1831,8,28,18,90,38.57142857142858,15,18,48.64864864864865
155,Boubacar Kamara,defensive midfield,19.7,798,61,84,362,662,132,1145,16,16,8,77,48.21428571428572,24,22,56.41025641025641
156,N'Golo Kanté,defensive midfield,5.8,271,23,34,53,195,163,404,12,19,36,22,50.0,2,2,33.33333333333333
157,Atakan Karazor,defensive midfield,21.8,945,73,79,415,802,147,1349,14,5,12,80,51.06382978723404,44,49,59.7560975609756
158,Yannik Keitel,defensive midfield,7.6,189,18,26,68,177,73,313,4,12,16,24,60.0,8,14,40.0
159,Rani Khedira,defensive midfield,32.0,778,63,69,368,738,218,1308,10,14,26,100,50.0,33,44,59.45945945945946
160,Joshua Kimmich,defensive midfield,31.2,2333,272,315,618,1669,809,3072,13,42,56,119,52.77777777777778,39,16,33.33333333333333
161,Geoffrey Kondogbia,defensive midfield,11.2,567,45,42,196,498,66,751,5,6,5,66,68.0,12,12,54.54545454545454
162,Teun Koopmeiners,defensive midfield,31.8,1271,154,186,476,916,691,2052,28,60,106,65,50.90909090909091,36,38,62.29508196721312
163,Alex Král,defensive midfield,26.2,586,73,100,273,610,241,1108,23,41,70,51,45.94594594594595,53,48,48.97959183673469
164,Christoph Kramer,defensive midfield,24.7,1020,61,79,450,769,277,1482,21,26,60,61,40.0,40,24,46.15384615384615
165,Roméo Lavia,defensive midfield,24.7,859,101,102,298,828,177,1288,28,22,14,93,39.62264150943396,23,7,41.17647058823529
166,Mario Lemina,defensive midfield,23.7,1135,75,88,496,881,154,1518,11,20,19,95,57.14285714285714,44,22,70.96774193548387
167,Johann Lepenant,defensive midfield,21.5,1163,115,125,315,932,309,1543,21,20,44,86,37.2093023255814,17,16,48.48484848484848
168,Jefferson Lerma,defensive midfield,36.1,1317,126,142,587,1030,338,1934,13,22,30,97,44.44444444444444,91,62,60.78431372549019
169,Dejan Ljubicic,defensive midfield,19.0,445,39,65,116,376,334,808,19,37,95,33,32.5,8,9,29.03225806451613
170,Stanislav Lobotka,defensive midfield,34.5,2163,214,172,523,1653,379,2536,18,51,39,106,58.9041095890411,16,12,41.37931034482759
171,Manuel Locatelli,defensive midfield,27.2,1114,144,134,466,939,283,1671,15,25,37,86,56.60377358490566,59,34,53.125
172,Maxime Lopez,defensive midfield,25.5,1471,179,210,456,1070,345,1855,11,54,40,64,28.57142857142857,21,4,57.14285714285714
173,Dion Lopy,defensive midfield,15.3,627,82,101,209,533,211,935,16,17,38,67,37.096774193548384,18,15,68.18181818181817
174,Anthony Losilla,defensive midfield,30.2,650,62,93,366,705,234,1286,9,13,42,113,49.35064935064935,67,92,54.761904761904766
175,Douglas Luiz,defensive midfield,32.5,1494,123,148,534,1161,443,2117,24,48,35,113,47.61904761904761,27,25,53.191489361702125
176,Soungoutou Magassa,defensive midfield,0.9,27,3,3,12,31,5,47,1,0,1,5,50.0,1,2,66.66666666666666
177,Yohann Magnin,defensive midfield,26.7,1121,88,121,430,999,226,1643,7,14,56,114,50.943396226415096,46,27,36.48648648648648
178,Mickael Malsa,defensive midfield,0.8,13,3,5,12,18,1,31,1,0,0,4,25.0,3,1,50.0
179,Rolando Mandragora,defensive midfield,21.7,790,115,142,175,670,356,1190,5,18,59,58,44.230769230769226,21,35,60.3448275862069
180,Vincent Marchetti,defensive midfield,27.2,837,107,143,254,840,308,1369,45,66,58,74,36.76470588235294,31,5,27.77777777777778
