,Player,Position,90s,PSxG,PSxG/SoT,PSxG-GA,LCmp,LAtt,PaAtt,PaThr,PaAvgLen,GKAtt,GKAvgLen,COpp,CStp,SwOPA,SoTA,Saves,Savep,CS,PKsv
50,Wladimiro Falcone,goalkeeper,38.0,43.2,0.24,0.2,194.0,721.0,876.0,143.0,42.1,282.0,53.5,534.0,23.0,42.0,156.0,112.0,71.79487179,6.0,1.0
51,Aitor Fernández,goalkeeper,21.0,17.7,0.24,-0.3,191.0,438.0,615.0,87.0,41.1,174.0,54.2,319.0,14.0,37.0,77.0,59.0,76.62337662,8.0,0.0
52,Álvaro Fernández,goalkeeper,11.0,15.2,0.31,-1.8,104.0,221.0,253.0,37.0,42.5,103.0,54.8,153.0,5.0,15.0,50.0,33.0,66.0,2.0,0.0
53,Vincenzo Fiorillo,goalkeeper,1.0,1.9,0.49,-0.1,7.0,15.0,19.0,3.0,37.9,5.0,56.2,7.0,1.0,0.0,4.0,2.0,50.0,0.0,0.0
54,Mark Flekken,goalkeeper,34.0,46.4,0.28,2.4,271.0,665.0,1231.0,121.0,37.6,231.0,58.0,434.0,32.0,43.0,150.0,106.0,70.66666667,13.0,0.0
55,Yahia Fofana,goalkeeper,11.0,16.4,0.27,-1.6,33.0,125.0,256.0,70.0,33.6,69.0,41.7,143.0,17.0,9.0,54.0,35.0,64.81481481,1.0,1.0
56,Fraser Forster,goalkeeper,13.5,21.3,0.34,-2.7,36.0,124.0,269.0,71.0,30.2,93.0,37.6,193.0,5.0,16.0,55.0,30.0,54.54545455,3.0,1.0
57,Gauthier Gallon,goalkeeper,29.6,54.9,0.29,-8.1,107.0,391.0,707.0,144.0,33.2,241.0,44.4,496.0,33.0,9.0,177.0,114.0,64.40677966,0.0,0.0
58,Joan García,goalkeeper,1.0,1.8,0.21,-1.2,2.0,6.0,27.0,4.0,21.7,3.0,47.3,16.0,2.0,1.0,4.0,1.0,25.0,0.0,0.0
59,Paulo Gazzaniga,goalkeeper,28.0,45.3,0.33,8.3,146.0,400.0,822.0,141.0,32.4,242.0,47.9,477.0,37.0,38.0,125.0,87.0,69.6,4.0,1.0
60,David de Gea,goalkeeper,38.0,41.3,0.27,-0.7,141.0,449.0,1032.0,128.0,32.3,179.0,47.1,526.0,15.0,32.0,142.0,99.0,69.71830986,17.0,1.0
61,Rafał Gikiewicz,goalkeeper,23.0,41.3,0.28,0.3,185.0,452.0,916.0,127.0,33.0,234.0,48.9,363.0,21.0,45.0,136.0,93.0,68.38235294,5.0,2.0
