,Player,Position,90s,TCmp,LFTP,LPrgP,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,TOAtt,BTklInt,PTTB
229,Aïssa Laïdouni,central midfield,9.7,236,29,40,94,220,129,433,14,10,25,30,23,4
230,Konrad Laimer,central midfield,16.3,596,63,93,203,553,249,985,32,51,52,56,78,7
231,Danny Latza,central midfield,9.5,310,21,33,142,257,111,503,4,11,15,13,22,2
232,Paolo Lebas,central midfield,0.6,12,2,2,2,12,4,18,1,0,0,1,0,0
233,Pierre Lees-Melou,central midfield,30.7,1198,150,179,576,1000,300,1840,22,33,45,44,149,8
234,Félix Lemaréchal,central midfield,3.2,89,6,14,21,67,58,143,3,5,9,10,6,0
235,Léo Leroy,central midfield,13.2,387,34,61,184,401,123,692,11,14,25,30,67,4
236,Dimitri Liénard,central midfield,17.1,728,49,67,291,514,379,1169,10,24,111,27,62,0
237,Karol Linetty,central midfield,21.0,832,77,73,213,708,260,1175,7,27,32,22,51,3
238,Marcos Llorente,central midfield,18.9,660,30,88,216,378,415,997,12,64,139,27,49,1
239,Giovani Lo Celso,central midfield,12.5,578,51,97,113,366,388,853,22,35,70,44,38,11
240,Ruben Loftus-Cheek,central midfield,17.1,782,78,90,185,576,322,1068,30,56,86,60,37,1
241,Sean Longstaff,central midfield,28.0,943,80,116,278,742,420,1433,8,21,115,27,58,7
242,Unai López,central midfield,13.9,745,102,98,142,633,311,1076,12,17,43,27,47,0
243,Sandi Lovrić,central midfield,25.9,767,86,105,210,646,438,1272,14,42,90,38,66,4
244,Pol Lozano,central midfield,0.2,5,0,0,7,4,1,12,0,0,0,0,0,0
245,Jean Lucas,central midfield,3.2,134,19,20,29,136,32,191,9,5,6,14,13,1
246,Saša Lukić,central midfield,17.9,819,74,57,178,692,242,1102,5,34,38,12,47,0
247,Saša Lukić,central midfield,17.9,819,74,57,178,692,242,1102,5,34,38,12,47,1
248,Giulio Maggiore,central midfield,9.9,351,35,53,138,351,93,580,1,7,13,4,28,3
249,Hugo Magnetti,central midfield,18.8,634,64,70,215,541,186,931,23,32,27,35,68,0
250,Arne Maier,central midfield,21.8,421,41,66,167,380,320,862,16,32,77,37,46,6
251,Kobbie Mainoo,central midfield,0.1,7,1,1,2,4,5,11,0,2,1,1,0,0
252,Jean-Victor Makengo,central midfield,20.7,739,52,78,216,628,221,1045,32,41,61,50,51,0
253,Jean-Victor Makengo,central midfield,20.7,739,52,78,216,628,221,1045,32,41,61,50,51,2
254,Nemanja Maksimović,central midfield,22.8,439,28,42,189,437,174,794,3,13,29,9,75,0
255,Youssef Maleh,central midfield,10.8,241,24,30,90,217,140,446,3,12,36,11,26,0
256,Youssef Maleh,central midfield,10.8,241,24,30,90,217,140,446,3,12,36,11,26,0
257,Hianga Mananga Mbock,central midfield,0.2,8,0,0,1,7,5,13,1,2,1,1,0,0
258,Orel Mangala,central midfield,17.2,411,35,43,183,380,99,655,16,14,8,34,51,1
259,Thomas Mangani,central midfield,14.8,634,78,92,232,648,175,1050,4,9,15,6,56,2
260,Răzvan Marin,central midfield,28.2,1260,113,118,428,971,425,1805,22,35,27,39,58,4
261,Han-Noah Massengo,central midfield,12.4,385,43,48,107,358,134,588,17,21,29,38,41,5
262,Yanis Massolin,central midfield,0.7,30,3,4,17,25,9,50,0,0,0,3,4,0
263,Eliot Matazo,central midfield,13.1,399,50,60,134,399,81,606,4,5,10,16,41,0
264,Jean-Manuel Mbom,central midfield,0.1,2,2,1,0,3,0,3,0,0,0,0,0,0
265,James McArthur,central midfield,0.6,41,0,1,22,29,9,60,1,0,0,2,2,1
266,John McGinn,central midfield,29.9,805,114,140,218,756,388,1348,45,34,66,70,90,11
267,Weston McKennie,central midfield,27.7,808,73,121,303,650,392,1333,18,33,87,25,77,4
268,Weston McKennie,central midfield,27.7,808,73,121,303,650,392,1333,18,33,87,25,77,1
269,Soualiho Meïté,central midfield,26.3,863,77,82,363,759,176,1282,28,26,22,60,74,3
270,Gonzalo Melero,central midfield,20.6,652,72,97,204,526,221,942,17,31,37,36,39,1
271,Mikel Merino,central midfield,27.7,1145,154,172,356,1024,496,1860,22,30,107,42,97,11
272,Roque Mesa,central midfield,18.0,790,106,116,286,683,181,1134,15,29,24,31,40,4
273,Tommaso Milanese,central midfield,0.3,10,3,2,1,7,12,19,1,2,1,2,0,0
274,Sergej Milinković-Savić,central midfield,33.6,1465,138,166,442,1341,652,2411,39,47,129,80,86,15
275,Luis Milla,central midfield,20.6,756,99,104,238,704,202,1132,12,15,7,15,80,1
276,Enzo Millot,central midfield,9.9,311,22,29,94,264,196,545,21,23,58,46,35,2
277,James Milner,central midfield,10.1,563,61,70,196,390,264,848,11,21,78,21,38,2
278,Fabio Miretti,central midfield,13.7,364,39,60,109,346,249,694,19,33,85,43,28,2
279,Luka Modrić,central midfield,19.4,1336,153,182,213,885,592,1680,19,50,87,47,29,7
280,Jon Moncayola,central midfield,27.2,1136,170,175,387,949,379,1698,4,34,50,8,72,2
281,Monchu,central midfield,22.6,833,98,111,319,693,270,1276,10,17,25,20,68,5
282,Ilaix Moriba,central midfield,11.2,403,53,67,123,339,197,654,12,16,30,30,39,4
283,Manu Morlanes,central midfield,9.6,226,26,32,99,197,71,363,9,11,7,14,31,0
284,Manu Morlanes,central midfield,9.6,226,26,32,99,197,71,363,9,11,7,14,31,2
285,João Moutinho,central midfield,19.8,850,105,132,243,658,325,1218,8,23,32,15,69,7
286,João Moutinho,central midfield,19.8,850,105,132,243,658,325,1218,8,23,32,15,69,0
287,João Moutinho,central midfield,19.8,850,105,132,243,658,325,1218,8,23,32,15,7,7
288,João Moutinho,central midfield,19.8,850,105,132,243,658,325,1218,8,23,32,15,7,0
289,João Moutinho,central midfield,19.8,850,105,132,11,20,20,51,0,0,2,0,69,7
290,João Moutinho,central midfield,19.8,850,105,132,11,20,20,51,0,0,2,0,69,0
291,João Moutinho,central midfield,19.8,850,105,132,11,20,20,51,0,0,2,0,7,7
292,João Moutinho,central midfield,19.8,850,105,132,11,20,20,51,0,0,2,0,7,0
293,João Moutinho,central midfield,19.8,30,4,1,243,658,325,1218,8,23,32,15,69,7
294,João Moutinho,central midfield,19.8,30,4,1,243,658,325,1218,8,23,32,15,69,0
