,Player,Position,PTCrs,PTTB,LxA,LKP,LFTP,LPPA,LPrgP,Att_Pen,TOAtt,TOSucc,CaPrgC,CaCPA,PrgR,90s,npxG,npxG/Sh,SSh_p90,SSoT_90,Off
464,Facundo Pellistri,right winger,0,0,0.0,0,1,0,1,1,3,2,1,0,2,0.7,0.0,0.0,0.0,0.0,0
465,Nicolas Pépé,right winger,42,2,3.1,28,29,19,53,90,76,34,48,26,151,16.6,8.1,5.8,2.7710843373493974,1.0240963855421683,6
466,Alberto Perea,left winger,1,0,0.0,0,0,0,2,0,6,2,0,0,2,0.5,0.0,0.0,0.0,0.0,0
467,Mathias Pereira Lage,right winger,34,1,1.3,14,25,3,30,41,26,9,20,7,98,14.0,1.4,1.4,1.5,0.6428571428571429,1
468,Carles Pérez,right winger,36,4,1.7,23,33,19,66,71,110,44,93,41,185,23.8,2.8,2.8,2.26890756302521,0.8403361344537815,9
469,Francisco Perez,right winger,8,0,0.1,0,2,3,8,3,9,5,7,3,15,1.6,0.0,0.0,0.625,0.0,3
470,Gaëtan Perrin,right winger,30,3,1.5,25,39,18,69,37,93,59,55,15,81,15.5,3.0,2.2,1.6774193548387095,0.5806451612903226,4
471,Lukas Petkov,right winger,0,0,0.1,0,3,0,2,7,4,1,1,0,2,1.6,0.0,0.0,1.25,0.0,0
472,Yeremi Pino,left winger,20,5,4.5,44,18,24,62,149,93,48,65,38,256,27.2,8.0,8.0,1.8382352941176472,0.698529411764706,18
473,Marko Pjaca,left winger,25,0,0.5,11,16,8,18,17,38,23,22,9,33,5.8,0.7,0.7,2.586206896551724,0.3448275862068966,1
474,Óscar Plano,right winger,23,5,1.4,16,56,17,73,46,33,13,30,4,95,22.6,2.8,2.8,1.327433628318584,0.4424778761061946,7
475,Gonzalo Plata,right winger,54,3,2.6,37,28,19,54,102,172,66,97,45,213,25.6,3.7,3.7,1.4453125,0.5078125,4
476,Daniel Podence,right winger,56,9,2.2,36,35,39,95,70,61,24,43,20,148,19.7,3.9,3.9,2.182741116751269,0.8629441624365483,4
477,Matteo Politano,right winger,82,2,2.4,34,34,27,72,57,55,23,81,27,138,13.0,4.1,1.7,2.3076923076923075,0.4615384615384615,1
478,Francisco Portillo,right winger,12,6,1.9,13,49,18,74,13,17,9,16,0,37,8.0,0.7,0.7,0.625,0.25,2
479,Portu,right winger,91,1,2.6,27,30,26,40,35,43,13,42,4,130,19.7,1.7,1.7,0.7614213197969544,0.2538071065989847,10
480,Manuel Pozo,right winger,1,0,0.0,1,1,0,1,0,3,1,0,0,1,0.2,0.1,0.1,5.0,0.0,0
481,Javi Puado,left winger,36,0,2.0,25,15,21,58,91,56,23,60,21,117,26.0,7.8,7.8,2.1923076923076925,0.8846153846153846,4
482,Christian Pulisic,right winger,18,1,0.4,12,14,3,23,43,44,13,35,14,76,9.1,1.7,1.7,2.087912087912088,0.6593406593406593,0
483,Ignacio Pussetto,right winger,5,0,0.1,2,2,0,1,5,3,1,2,0,17,1.7,0.2,0.2,1.1764705882352942,1.1764705882352942,0
484,Nemanja Radonjić,left winger,76,2,2.4,18,20,19,42,90,120,50,86,52,163,16.2,5.0,5.0,3.2098765432098766,1.0493827160493827,12
485,Largie Ramazani,left winger,20,3,1.8,13,22,11,30,51,68,32,59,24,94,15.6,4.2,3.4,2.5641025641025643,1.153846153846154,12
486,Raphinha,right winger,172,12,9.3,57,48,74,104,131,106,45,97,53,339,23.0,9.3,9.3,3.4347826086956523,1.0869565217391304,15
487,Elba Rashani,left winger,58,2,2.8,20,34,15,54,93,56,22,55,22,172,24.0,4.7,4.7,1.4583333333333333,0.5416666666666666,4
488,Marcus Rashford,left winger,24,2,2.8,30,38,53,88,183,138,54,85,55,245,32.0,15.4,15.4,3.375,1.53125,15
489,Rafael Ratão,left winger,52,5,3.8,30,46,33,83,72,85,38,61,16,216,20.6,5.1,5.1,1.5048543689320388,0.5339805825242718,2
490,Ante Rebić,left winger,39,4,1.9,13,12,12,29,56,31,15,17,5,92,10.9,3.5,3.5,2.477064220183486,1.1926605504587156,8
491,Nathan Redmond,left winger,1,0,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0
492,Nico Ribaudo,left winger,44,3,1.2,25,44,10,57,39,53,20,40,10,92,13.9,3.7,3.7,2.3741007194244603,0.7913669064748201,3
493,Franck Ribéry,left winger,0,0,0.0,0,2,0,1,0,3,0,1,0,4,0.4,0.0,0.0,0.0,0.0,0
494,Marco Richter,right winger,82,1,2.7,20,38,26,68,44,88,36,38,8,102,20.4,3.7,3.7,2.401960784313726,0.7352941176470589,6
495,Rodrigo Riquelme,right winger,78,4,3.8,33,42,28,85,89,143,57,116,42,171,24.2,4.0,4.0,2.31404958677686,0.9090909090909092,5
