,Player,Position,BTklInt,CTkl%,PTCrs,PTTB,SCA,LPrgP,LFTP,LxA,CaFTC,CaPrgC,Def_3rd,Mid_3rd,Att_3rd,Live,90s,PrgR
229,Junior Firpo,left-back,71,52.17391304347826,12,1,21,54,38,0.7,16,20,286,368,146,792,15.2,34
230,Kilian Fischer,right-back,14,54.54545454545454,12,0,7,23,19,0.3,5,6,113,137,78,327,5.6,21
231,Alessandro Florenzi,right-back,10,57.14285714285714,22,0,9,10,8,1.1,1,1,42,82,71,195,2.3,19
232,Thomas Foket,right-back,68,36.95652173913043,57,0,39,94,67,2.9,38,56,368,657,429,1442,22.0,154
233,Timothy Fosu-Mensah,right-back,7,100.0,4,0,5,7,2,0.2,2,3,34,65,39,138,2.1,8
234,Dimitri Foulquier,right-back,45,71.42857142857143,86,0,29,70,61,2.0,34,51,306,491,332,1116,19.3,84
235,Juan Foyth,right-back,93,71.9298245614035,10,4,29,100,90,1.4,36,47,516,783,264,1545,21.8,18
236,Raphael Framberger,right-back,12,60.0,4,0,1,3,2,0.1,0,0,32,37,21,88,2.0,3
237,Przemysław Frankowski,left wingback,118,48.75,255,2,123,132,92,6.9,49,51,428,815,904,2126,31.5,237
238,Ryan Fredericks,right-back,4,25.0,15,0,5,15,5,0.3,9,13,88,109,84,279,5.9,28
239,Iván Fresneda,right-back,63,61.70212765957447,59,1,39,62,55,1.2,26,48,390,497,284,1163,19.4,101
240,Jeremie Frimpong,right-back,69,52.27272727272727,70,0,103,62,39,6.3,103,155,349,670,636,1621,30.1,250
241,Javi Galán,left-back,145,48.97959183673469,162,2,93,125,76,4.2,104,141,712,1045,788,2506,35.1,244
242,Antonino Gallo,left-back,69,66.66666666666666,89,0,64,154,121,2.1,44,71,472,646,415,1509,27.6,65
243,Cristian Gamboa,right-back,58,67.74193548387096,43,1,28,56,57,0.7,9,10,295,393,147,830,16.4,21
244,Fran Garcia,left-back,128,57.29166666666666,156,1,71,147,139,2.0,142,183,645,1109,728,2441,37.9,167
245,Rubén García,right-back,32,29.166666666666668,79,6,54,40,23,2.2,13,16,100,277,339,711,12.9,92
246,Valentin Gendrey,right-back,125,56.33802816901409,74,1,49,112,72,1.8,34,47,616,778,436,1811,34.5,107
247,Paolo Ghiglione,right wingback,20,43.47826086956522,39,0,19,19,17,0.6,7,5,106,135,122,359,7.9,35
248,Faouzi Ghoulam,left-back,7,60.0,38,0,17,19,11,0.5,6,4,114,162,89,364,5.3,20
249,Niko Gießelmann,left-back,30,41.935483870967744,88,0,47,50,36,1.9,8,14,254,322,319,889,14.5,50
250,Óscar Gil,right-back,94,52.459016393442624,38,1,33,47,29,1.9,24,39,406,570,371,1334,28.4,111
251,Sergio Gómez,left-back,11,62.5,8,0,7,18,24,1.1,10,10,75,198,87,358,3.9,20
252,Giovanni González,right-back,23,40.909090909090914,20,0,12,28,19,0.6,7,10,170,228,111,506,10.3,39
253,Andoni Gorosabel,right-back,58,60.46511627906976,41,0,30,68,42,1.7,30,42,288,589,335,1205,19.0,75
254,Robin Gosens,left wingback,57,60.0,43,1,41,41,34,2.9,18,29,194,309,314,813,13.2,102
255,Gabriel Gudmundsson,left-back,29,54.54545454545454,33,0,22,31,22,1.5,25,44,142,247,180,563,9.3,57
256,Raphaël Guerreiro,left-back,72,61.76470588235294,114,5,111,191,135,7.8,59,85,433,951,666,2028,25.4,163
257,Frederic Guilbert,right-back,90,58.13953488372093,55,0,32,52,35,1.3,25,21,251,571,264,1065,16.2,52
258,Robert Gumny,right-back,60,40.74074074074074,27,0,31,56,30,0.9,20,23,383,432,233,1036,22.4,59
259,Christian Günter,left-back,45,30.23255813953488,198,1,101,77,55,5.3,33,43,337,680,576,1583,30.5,128
260,Malo Gusto,right-back,70,48.837209302325576,116,1,50,82,85,4.1,73,66,351,772,513,1617,17.7,147
261,Miguel Gutiérrez,left-back,59,62.16216216216216,104,2,55,125,92,3.1,43,81,466,697,482,1628,26.6,148
262,Jaouen Hadjam,left-back,39,64.0,28,0,23,45,30,0.4,20,22,161,303,141,593,8.9,39
263,Massadio Haïdara,left-back,60,50.0,26,1,18,85,62,1.5,29,23,345,611,237,1188,18.6,58
264,Achraf Hakimi,right-back,70,52.54237288135594,42,1,75,99,49,5.3,66,85,361,716,713,1772,22.8,229
265,Lewis Hall,left-back,34,68.18181818181817,34,0,26,25,25,1.4,9,19,165,207,168,534,7.3,41
266,Marcel Halstenberg,left-back,61,56.09756097560976,45,0,37,59,49,1.8,19,22,408,653,282,1330,17.3,66
267,Mathis Hamdi,left-back,1,0.0,2,0,0,1,1,0.0,0,0,14,16,14,44,0.8,7
268,Hans Hateboer,right-back,33,40.74074074074074,23,2,22,55,28,1.4,14,16,220,343,263,823,15.5,73
269,Jonas Hector,left-back,151,58.4070796460177,114,1,74,129,86,4.3,44,54,668,1061,545,2247,31.4,122
270,Benjamin Henrichs,right-back,108,65.15151515151516,47,4,55,109,92,3.5,36,48,520,872,479,1856,24.3,149
271,Henrique,left-back,14,46.15384615384615,4,0,3,11,8,0.2,4,3,66,150,46,260,4.0,4
272,Rico Henry,left-back,87,53.65853658536586,87,4,51,107,73,2.9,41,55,478,647,482,1582,36.0,111
273,Javi Hernández,left-back,28,61.90476190476191,16,0,24,78,56,0.6,24,41,289,432,157,870,12.4,25
274,Mario Hernández,right-back,5,42.85714285714285,1,2,2,3,3,0.0,0,4,9,27,12,48,1.1,0
275,Theo Hernández,left-back,64,57.89473684210527,92,1,87,128,90,2.9,80,108,495,1026,584,2077,30.8,146
276,Aaron Hickey,left-back,55,56.25,27,2,20,81,62,0.6,17,41,328,499,211,1028,21.3,47
277,Omar El Hilali,right-back,4,50.0,2,0,2,0,0,0.0,0,0,30,15,10,55,1.0,5
278,Emil Holm,right-back,35,51.61290322580645,50,1,36,40,30,1.1,24,41,179,318,318,804,15.5,82
279,Jannes Horn,left-back,5,100.0,0,0,0,0,0,0.0,0,0,22,3,2,27,0.7,0
280,Elseid Hysaj,right-back,59,56.09756097560976,16,2,38,103,101,1.1,27,36,542,825,235,1589,22.2,60
281,Iago,left-back,51,37.93103448275862,43,1,40,53,33,1.7,12,27,301,396,259,948,17.8,49
282,Iglesias,right-back,82,50.76923076923077,86,2,40,50,41,1.4,34,39,381,545,349,1259,23.8,100
283,Ismaily,left-back,62,53.125,15,1,42,95,67,2.2,45,40,325,668,379,1359,19.8,116
284,Ismail Jakobs,left-back,20,41.66666666666667,61,1,30,46,36,1.4,31,39,145,311,299,749,12.4,109
285,Reece James,right-back,43,78.94736842105263,91,0,47,90,60,2.9,26,52,256,543,395,1187,13.8,115
286,Saidy Janko,right-back,34,60.0,22,0,5,29,26,0.2,22,23,204,305,100,600,12.6,27
287,Léo Jardim,left-back,0,0.0,0,0,0,0,0,0.0,0,0,159,0,0,159,6.0,0
288,Dany Jean,left wingback,0,0.0,0,0,1,2,0,0.1,1,1,1,4,8,13,0.1,2
289,Ben Johnson,right-back,29,66.66666666666666,16,0,8,37,27,0.4,6,15,256,289,87,627,9.6,22
290,Paul Joly,right-back,57,54.285714285714285,36,1,18,41,34,0.6,27,19,283,328,179,783,9.6,48
291,Anthony Jung,left-back,68,53.44827586206896,46,0,40,73,56,1.7,21,28,569,767,361,1687,29.1,109
292,Josip Juranović,right-back,15,38.88888888888889,74,0,30,27,22,1.7,3,11,154,215,194,552,10.4,33
293,James Justin,right-back,35,64.28571428571429,21,0,21,47,48,0.5,19,20,296,475,216,980,13.9,50
294,Issa Kaboré,right-back,45,65.625,48,0,35,54,23,1.3,27,39,155,290,299,734,11.4,130
295,Pavel Kadeřábek,right-back,40,65.21739130434783,74,1,38,61,46,3.9,25,30,231,429,371,1024,18.5,114
296,Gedeon Kalulu,right-back,92,62.5,29,0,41,106,82,1.2,48,58,609,745,314,1653,27.1,82
