Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG-GA,PSxG-GA_p90,LCmp,LAtt,LCmp%,PaAtt,PaThr,PaAvgLen,GKAtt,GKLp,GKAvgLen,COpp,CStp,CStpp,SwOPA,SwOPA_p90,SwAvgDist
66,Pierluigi Gollini,ITA,GK,"Fiorentina,Napoli","Serie A,Serie A",27,1995,7.0,6,0,0,2,0,4.8,0.4,-1.2,-0.33,28,74,37.84,243,41,31.0,42,95.9,41.25,80,3,3.75,4,1.0,14.55
68,Antonio Gomis,ESP,GK,Atlético Madrid,La Liga,19,2003,0.1,1,0,0,0,0,0.6,0.64,-0.4,-5.35,0,3,0.0,2,0,58.5,1,100.0,94.0,3,0,0.0,0,0.0,1.0
69,Ivo Grbić,CRO,GK,Atlético Madrid,La Liga,26,1996,10.2,12,3,0,4,0,13.8,0.23,1.8,0.17,46,148,31.08,230,50,34.1,99,62.6,47.4,214,23,10.75,7,0.68,9.2
70,Dominik Greif,SVK,GK,Mallorca,La Liga,25,1997,1.0,3,0,0,0,0,2.2,0.28,-0.8,-0.76,19,34,55.88,23,2,54.9,15,93.3,64.5,19,2,10.53,0,0.0,4.0
71,Lennart Grill,GER,GK,Union Berlin,Bundesliga,23,1999,5.0,11,2,0,1,0,9.0,0.28,-2.0,-0.41,48,108,44.44,197,28,37.1,17,76.5,55.2,47,8,17.02,7,1.4,15.1
72,Vicente Guaita,ESP,GK,Crystal Palace,Premier League,35,1987,27.0,34,2,0,4,2,32.4,0.26,0.4,0.01,115,320,35.94,635,140,32.3,206,49.0,37.4,410,26,6.34,26,0.96,13.1
73,Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,32,1990,6.0,10,1,0,2,1,10.1,0.37,1.1,0.19,11,37,29.73,179,37,26.4,36,25.0,29.6,61,3,4.92,10,1.67,19.4
74,Samir Handanović,SVN,GK,Inter,Serie A,38,1984,13.7,18,1,0,1,1,15.0,0.27,-2.0,-0.14,45,87,51.72,508,71,24.7,71,11.3,25.5,149,2,1.34,10,0.73,15.4
75,Dean Henderson,ENG,GK,Nott'ham Forest,Premier League,25,1997,18.0,31,2,1,5,0,26.9,0.28,-4.1,-0.23,108,334,32.34,513,107,38.5,156,59.0,45.3,291,20,6.87,27,1.5,15.6
76,Wayne Hennessey,WAL,GK,Nott'ham Forest,Premier League,35,1987,3.0,5,0,0,1,0,3.9,0.28,-1.1,-0.36,23,58,39.66,72,13,43.2,25,76.0,54.5,35,1,2.86,2,0.66,17.0
77,Sergio Herrera,ESP,GK,Osasuna,La Liga,29,1993,17.0,23,1,1,3,1,21.4,0.28,-0.6,-0.04,151,351,43.02,475,58,42.7,135,63.0,48.3,215,16,7.44,20,1.18,18.5
78,Lukáš Hrádecký,FIN,GK,Leverkusen,Bundesliga,32,1989,33.0,47,7,1,5,2,41.3,0.25,-3.7,-0.11,117,373,31.37,899,148,32.0,202,45.5,38.7,404,27,6.68,26,0.79,14.1
79,Daniel Iversen,DEN,GK,Leicester City,Premier League,25,1997,12.0,22,2,2,2,1,18.9,0.29,-2.1,-0.18,38,194,19.59,261,49,37.2,114,62.3,46.2,203,16,7.88,6,0.5,10.3
80,Léo Jardim,BRA,GK,Lille,Ligue 1,27,1995,6.0,13,2,0,2,0,8.6,0.4,-4.4,-0.73,6,34,17.65,138,27,26.8,15,26.7,26.7,65,5,7.69,9,1.5,16.0
81,Sam Johnstone,ENG,GK,Crystal Palace,Premier League,29,1993,9.0,10,2,0,4,1,10.0,0.24,1.0,0.11,30,99,30.3,233,41,31.8,46,54.3,42.8,104,2,1.92,11,1.22,15.4
82,Filip Jørgensen,DEN,GK,Villarreal,La Liga,20,2002,2.0,3,0,0,0,0,2.3,0.39,-0.7,-0.34,0,4,0.0,44,9,22.8,11,0.0,17.5,18,2,11.11,4,2.0,13.3
83,Bingourou Kamara,SEN,GK,Montpellier,Ligue 1,25,1996,4.5,11,1,0,2,0,9.1,0.29,-1.9,-0.41,18,57,31.58,95,19,35.4,35,48.6,39.9,52,3,5.77,2,0.44,11.2
84,Caoimhín Kelleher,IRL,GK,Liverpool,Premier League,23,1998,1.0,4,0,0,0,0,2.9,0.34,-1.1,-1.06,2,2,100.0,22,7,24.3,2,0.0,20.5,3,0,0.0,0,0.0,9.0
85,Gregor Kobel,SUI,GK,Dortmund,Bundesliga,24,1997,27.0,32,1,0,5,1,33.8,0.29,2.8,0.1,100,252,39.68,855,122,28.9,192,38.0,36.5,295,15,5.08,37,1.37,17.1
86,Tomáš Koubek,CZE,GK,Augsburg,Bundesliga,29,1992,11.0,22,0,1,0,2,22.0,0.36,2.0,0.19,77,225,34.22,414,48,36.5,96,70.8,52.5,176,10,5.68,22,2.0,16.8
87,Alban Lafont,FRA,GK,Nantes,Ligue 1,23,1999,37.0,54,9,1,6,4,54.8,0.26,4.8,0.13,189,516,36.63,942,202,35.5,247,67.2,49.3,493,42,8.52,39,1.05,12.3
88,Jean-Louis Leca,FRA,GK,Lens,Ligue 1,36,1985,1.0,1,0,0,0,0,1.6,0.4,0.6,0.6,9,14,64.29,29,5,36.8,10,10.0,20.4,20,1,5.0,0,0.0,8.2
89,Benjamin Lecomte,FRA,GK,"Espanyol,Montpellier","La Liga,Ligue 1",31,1991,29.0,36,2,0,4,1,39.9,0.55,4.9,0.14,188,482,39.0,667,97,40.5,245,122.5,45.5,419,19,4.53,24,1.78,13.55
91,Jeremías Ledesma,ARG,GK,Cádiz,La Liga,29,1993,34.0,48,8,1,6,0,47.1,0.22,-0.9,-0.03,236,735,32.11,824,135,44.9,285,88.8,64.1,595,42,7.06,26,0.76,10.8
92,Bernd Leno,GER,GK,Fulham,Premier League,30,1992,36.0,51,7,1,8,2,58.0,0.27,9.0,0.25,124,391,31.71,1153,190,30.0,242,37.6,36.0,464,35,7.54,46,1.28,15.0
93,Donovan Léon,GUF,GK,Auxerre,Ligue 1,29,1992,2.0,2,1,0,0,0,1.9,0.13,-0.1,-0.03,19,57,33.33,55,8,46.4,24,91.7,66.1,41,0,0.0,2,1.0,12.9
94,Benjamin Leroy,FRA,GK,Ajaccio,Ligue 1,33,1989,31.1,60,8,1,10,1,47.7,0.3,-11.3,-0.36,213,522,40.8,657,77,38.5,212,84.0,52.1,389,18,4.63,54,1.74,16.9
95,Alexandre Letellier,FRA,GK,Paris S-G,Ligue 1,31,1990,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,3,0,19.0,1,0.0,11.0,1,0,0.0,0,0.0,0.0
96,Mateusz Lis,POL,GK,Troyes,Ligue 1,25,1997,8.3,16,2,0,2,0,16.4,0.28,0.4,0.05,39,127,30.71,235,41,35.2,78,46.2,37.4,154,12,7.79,13,1.56,14.4
97,Hugo Lloris,FRA,GK,Tottenham,Premier League,35,1986,24.5,39,1,0,3,1,33.9,0.29,-4.1,-0.17,77,218,35.32,539,109,31.4,186,25.3,25.8,322,20,6.21,29,1.18,13.8
98,Anthony Lopes,POR,GK,Lyon,Ligue 1,31,1990,31.3,39,7,2,5,2,41.4,0.27,4.4,0.14,114,317,35.96,838,134,31.9,183,30.1,31.8,358,19,5.31,25,0.8,13.9
99,Diego López,ESP,GK,Rayo Vallecano,La Liga,40,1981,1.1,4,0,0,2,0,1.7,0.33,-2.3,-2.19,2,8,25.0,21,5,30.3,8,25.0,35.3,12,0,0.0,2,1.88,17.0
100,Pau López,ESP,GK,Marseille,Ligue 1,27,1994,32.5,34,5,0,6,1,33.8,0.24,0.8,0.02,112,324,34.57,941,132,31.0,172,51.2,40.4,370,22,5.95,37,1.14,15.4
101,Andriy Lunin,UKR,GK,Real Madrid,La Liga,23,1999,7.0,7,0,0,1,1,4.5,0.25,-1.5,-0.21,14,27,51.85,190,36,23.3,37,32.4,35.6,54,1,1.85,11,1.57,21.7
102,Andrey Lunyov,RUS,GK,Leverkusen,Bundesliga,30,1991,1.0,2,0,0,0,0,1.4,0.35,-0.6,-0.61,4,10,40.0,41,7,30.3,3,0.0,15.3,6,1,16.67,1,1.0,13.0
103,Mike Maignan,FRA,GK,Milan,Serie A,27,1995,22.0,21,2,1,2,0,20.3,0.28,-0.7,-0.03,76,193,39.38,725,119,29.8,85,32.9,35.1,221,15,6.79,32,1.46,17.8
104,Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,21,2000,38.0,45,2,0,7,2,42.9,0.28,-0.1,0.0,177,522,33.91,843,142,35.1,239,74.5,54.2,457,35,7.66,47,1.24,16.3
105,Steve Mandanda,FRA,GK,Rennes,Ligue 1,37,1985,33.5,31,2,0,5,1,32.4,0.28,2.4,0.07,163,420,38.81,1022,166,31.5,192,55.7,41.5,382,35,9.16,51,1.52,16.7
106,Vito Mannone,ITA,GK,Lorient,Ligue 1,34,1988,17.9,24,1,2,2,0,25.2,0.29,1.2,0.07,56,176,31.82,471,101,29.5,112,48.2,37.5,344,12,3.49,9,0.5,10.6
107,Agustín Marchesín,ARG,GK,Celta Vigo,La Liga,34,1988,19.0,29,2,1,4,1,20.7,0.24,-7.3,-0.38,103,267,38.58,500,75,35.3,131,51.9,42.9,253,14,5.53,25,1.32,18.1
108,Federico Marchetti,ITA,GK,Spezia,Serie A,39,1983,0.7,2,0,0,0,0,1.5,0.48,-0.5,-0.74,2,4,50.0,10,2,24.3,8,37.5,32.4,8,0,0.0,1,1.36,22.0
109,Diego Mariño,ESP,GK,Almería,La Liga,32,1990,0.5,2,0,0,0,0,1.4,0.28,-0.6,-1.25,2,3,66.67,3,1,35.7,5,40.0,45.6,12,0,0.0,0,0.0,7.0
110,Emiliano Martínez,ARG,GK,Aston Villa,Premier League,29,1992,34.9,38,4,1,6,4,36.6,0.24,2.6,0.07,199,523,38.05,1171,135,33.0,212,50.5,40.7,483,60,12.42,73,2.09,16.6
111,Jordi Masip,ESP,GK,Valladolid,La Liga,33,1989,27.9,42,5,0,0,1,45.8,0.27,4.8,0.17,133,389,34.19,722,121,35.9,239,51.5,41.9,396,15,3.79,14,0.5,12.7
112,Luís Maximiano,POR,GK,Lazio,Serie A,23,1999,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,66.67,0,1,0.0,0,0.0,0.0,0,0,,0,0.0,19.0
113,Alex McCarthy,ENG,GK,Southampton,Premier League,32,1989,6.0,17,1,0,1,1,10.9,0.34,-5.1,-0.84,22,113,19.47,194,29,36.5,52,36.5,31.0,92,6,6.52,7,1.17,13.5
114,Edouard Mendy,SEN,GK,Chelsea,Premier League,30,1992,9.5,14,0,0,4,0,11.9,0.33,-2.1,-0.22,27,77,35.06,226,47,27.6,63,42.9,34.4,128,9,7.03,11,1.16,13.7
115,Alex Meret,ITA,GK,Napoli,Serie A,25,1997,34.0,24,1,0,1,0,25.0,0.25,1.0,0.03,56,145,38.62,733,121,26.1,198,20.2,26.9,335,11,3.28,39,1.15,17.0
116,Illan Meslier,FRA,GK,Leeds United,Premier League,22,2000,34.0,67,3,1,7,1,53.6,0.32,-12.4,-0.36,106,449,23.61,794,194,33.7,242,56.2,43.5,432,34,7.87,66,1.94,15.8
117,Alexander Meyer,GER,GK,Dortmund,Bundesliga,31,1991,7.0,12,0,0,2,0,7.9,0.25,-4.1,-0.58,24,60,40.0,278,35,27.3,44,34.1,35.0,91,8,8.79,18,2.57,19.8
118,Vanja Milinković-Savić,SRB,GK,Torino,Serie A,25,1997,38.0,41,5,0,6,0,35.8,0.23,-5.2,-0.14,285,939,30.35,1506,185,39.7,286,91.3,70.0,469,36,7.68,70,1.84,16.2
119,Antonio Mirante,ITA,GK,Milan,Serie A,39,1983,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,3,0,27.0,1,0.0,15.0,0,0,,0,0.0,0.0
120,Lorenzo Montipò,ITA,GK,Hellas Verona,Serie A,26,1996,37.0,59,1,1,4,3,49.6,0.27,-6.4,-0.17,360,775,46.45,905,124,44.3,284,72.5,52.1,496,26,5.24,55,1.49,15.3
121,Florian Müller,GER,GK,Stuttgart,Bundesliga,24,1997,19.0,34,1,2,3,0,27.2,0.3,-6.8,-0.36,98,212,46.23,599,98,29.2,133,38.3,36.6,260,6,2.31,28,1.47,18.9
122,Juan Musso,ARG,GK,Atalanta,Serie A,28,1994,23.1,27,2,0,3,2,21.7,0.23,-3.3,-0.14,109,276,39.49,547,152,32.1,157,62.4,48.6,253,14,5.53,24,1.04,15.6
123,Yvon Mvogo,SUI,GK,Lorient,Ligue 1,28,1994,20.1,29,1,0,4,1,27.1,0.27,-0.9,-0.04,86,228,37.72,473,85,32.1,145,46.2,36.6,381,21,5.51,7,0.35,8.5
124,Keylor Navas,CRC,GK,Nott'ham Forest,Premier League,35,1986,17.0,32,4,1,3,0,29.3,0.32,-2.7,-0.16,106,320,33.13,378,65,41.3,151,70.9,48.1,295,14,4.75,9,0.53,9.2
