Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TCmp,TAtt,TCmpp,TTD,TPD,SCmp,SAtt,SCmpp,MCmp,MAtt,MCmpp,LCmp,LAtt,LCmpp,LAst,LxAG,LxA,LAxAG,LKP,LFTP,LPPA,LCrsPA,LPrgP
1722,Kevin Mbabu,SUI,"DF,FW",Fulham,Premier League,27,1995,1.6,68,94,72.3,1051,383,40,43,93.02325581395348,24,35,68.57142857142857,4,9,44.44444444444444,1,0.4,0.4,0.6,2,4,5,3,8
1723,Noah Mbamba,BEL,MF,Leverkusen,Bundesliga,17,2005,0.0,0,0,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
1724,Kylian Mbappé,FRA,FW,Paris S-G,Ligue 1,23,1998,31.3,1096,1355,80.9,14622,3137,677,789,85.80481622306718,299,371,80.59299191374663,42,65,64.61538461538461,5,7.4,9.4,-2.4,55,81,76,10,128
1725,Mamadou Mbaye,SEN,DF,Cádiz,La Liga,24,1998,8.4,219,294,74.5,4345,1613,79,96,82.29166666666666,113,136,83.08823529411765,24,47,51.06382978723404,0,0.2,0.1,-0.2,2,12,2,0,13
1726,Chancel Mbemba,COD,DF,Marseille,Ligue 1,27,1994,31.7,1441,1742,82.7,26456,7943,537,597,89.9497487437186,744,853,87.22157092614302,126,211,59.71563981042654,0,0.5,1.3,-0.5,5,127,23,6,183
1727,Bryan Mbeumo,CMR,FW,Brentford,Premier League,22,1999,32.3,655,991,66.1,10466,3238,376,456,82.45614035087719,185,287,64.45993031358886,71,151,47.019867549668874,8,7.6,5.6,0.4,51,37,45,13,88
1728,Jason Mbock,FRA,"MF,FW",Angers,Ligue 1,22,1999,0.3,6,10,60.0,107,55,3,3,100.0,2,5,40.0,1,1,100.0,0,0.3,0.2,-0.3,1,0,0,0,1
1729,Jean-Manuel Mbom,GER,MF,Werder Bremen,Bundesliga,22,2000,0.1,2,3,66.7,47,39,0,1,0.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,1
1730,Nathanael Mbuku,FRA,"FW,MF","Reims,Augsburg","Ligue 1,Bundesliga",20,2002,1.1,25,34,124.4,345,95,14,16,87.5,9,12,75.0,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,4
1732,James McArthur,SCO,MF,Crystal Palace,Premier League,34,1987,0.6,41,52,78.8,596,129,24,29,82.75862068965517,16,18,88.88888888888889,1,3,33.33333333333333,0,0.0,0.0,0.0,0,0,0,0,1
1733,Alex McCarthy,ENG,GK,Southampton,Premier League,32,1989,6.0,150,249,60.2,3585,2452,45,47,95.74468085106383,64,66,96.96969696969697,40,132,30.303030303030305,0,0.0,0.0,0.0,0,5,0,0,0
1734,John McGinn,SCO,"MF,FW",Aston Villa,Premier League,27,1994,29.9,805,1028,78.3,14385,4830,374,430,86.9767441860465,309,373,82.84182305630027,101,165,61.212121212121204,3,2.6,3.3,0.4,18,114,20,5,140
1735,Scott McKenna,SCO,DF,Nott'ham Forest,Premier League,25,1996,17.5,569,727,78.3,11331,4319,163,195,83.58974358974359,334,394,84.77157360406092,66,122,54.09836065573771,0,1.0,0.4,-1.0,8,35,3,1,35
1736,Weston McKennie,USA,MF,"Leeds United,Juventus","Premier League,Serie A",23,1998,27.7,808,1046,155.60000000000002,13033,4202,421,509,82.71119842829077,279,344,81.1046511627907,75,117,64.1025641025641,1,0.7,1.4,0.3,21,73,21,7,121
1738,Dwight McNeil,ENG,"FW,MF",Everton,Premier League,22,1999,27.8,656,987,66.5,11288,3797,335,391,85.6777493606138,208,278,74.82014388489209,87,212,41.0377358490566,3,6.1,5.4,-3.1,49,45,27,14,69
1739,Scott McTominay,SCO,MF,Manchester Utd,Premier League,25,1996,12.9,355,432,82.2,5433,1549,194,224,86.60714285714286,122,141,86.52482269503547,25,36,69.44444444444444,0,0.6,1.0,-0.6,8,32,5,1,33
1740,Gary Medel,CHI,"MF,DF",Bologna,Serie A,34,1987,16.4,986,1102,89.5,17960,6023,399,427,93.44262295081968,454,481,94.38669438669439,107,155,69.03225806451613,1,0.4,0.4,0.6,7,61,5,0,58
1741,Facundo Medina,ARG,DF,Lens,Ligue 1,23,1999,30.9,2260,2506,90.2,37270,14504,1045,1099,95.08644222020018,953,1032,92.34496124031007,162,246,65.85365853658537,4,1.8,1.8,2.2,15,239,17,8,238
1742,Fernando Medrano,ESP,DF,Celta Vigo,La Liga,22,2000,0.1,3,3,100.0,53,39,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
1743,Ben Mee,ENG,DF,Brentford,Premier League,32,1989,36.3,1348,1761,76.5,25834,10693,520,609,85.38587848932676,648,784,82.6530612244898,169,316,53.48101265822785,1,1.3,0.8,-0.3,8,86,7,1,84
1744,Bamo Meïté,CIV,DF,Lorient,Ligue 1,21,2001,16.7,838,936,89.5,14114,5481,340,360,94.44444444444444,424,449,94.43207126948775,42,85,49.411764705882355,0,0.1,0.1,-0.1,1,25,1,0,32
1745,Soualiho Meïté,FRA,MF,Cremonese,Serie A,28,1994,26.3,863,1026,84.1,14666,3741,423,476,88.8655462184874,340,380,89.47368421052632,80,125,64.0,2,0.7,0.5,1.3,14,77,18,3,82
1746,Farid El Melali,ALG,"DF,FW",Angers,Ligue 1,25,1997,9.0,196,282,69.5,3348,952,95,125,76.0,80,107,74.76635514018692,15,27,55.55555555555556,0,0.2,0.3,-0.2,4,13,4,1,24
1747,Gonzalo Melero,ESP,MF,Almería,La Liga,28,1994,20.6,652,755,86.4,10427,2627,329,365,90.13698630136986,243,276,88.04347826086956,52,63,82.53968253968253,3,1.8,1.3,1.2,19,72,13,0,97
1748,Birger Meling,NOR,DF,Rennes,Ligue 1,27,1994,13.4,671,787,85.3,11341,3382,304,345,88.1159420289855,307,345,88.98550724637681,47,65,72.3076923076923,1,0.9,1.8,0.1,7,57,15,4,91
1749,Memphis,NED,FW,"Barcelona,Atlético Madrid",La Liga,28,1994,4.3,121,156,155.89999999999998,1600,430,83,99,83.83838383838383,30,36,83.33333333333334,5,12,41.66666666666667,0,0.6,0.8999999999999999,-0.6,8,7,5,0,15
1751,Houboulang Mendes,GNB,DF,Almería,La Liga,24,1998,9.8,239,335,71.3,3634,1451,137,152,90.13157894736842,78,117,66.66666666666666,17,47,36.17021276595745,1,0.3,0.2,0.7,4,14,6,3,18
1752,Nuno Mendes,POR,DF,Paris S-G,Ligue 1,20,2002,17.2,793,932,85.1,11300,3442,450,500,90.0,266,303,87.78877887788778,30,43,69.76744186046511,6,2.8,3.6,3.2,24,56,18,6,77
1753,Pedro Mendes,POR,DF,Montpellier,Ligue 1,31,1990,0.1,1,3,33.3,10,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
1754,Thiago Mendes,BRA,"MF,DF",Lyon,Ligue 1,30,1992,22.9,1445,1672,86.4,26348,9319,568,619,91.76090468497577,658,709,92.80677009873061,163,263,61.97718631178707,1,0.6,1.8,0.4,10,156,13,0,170
1755,Brais Méndez,ESP,MF,Real Sociedad,La Liga,25,1997,26.7,1010,1312,77.0,16082,4201,546,618,88.3495145631068,303,383,79.11227154046998,110,206,53.398058252427184,4,3.8,4.8,0.2,48,92,29,3,137
1756,Diego Méndez,ESP,MF,Rayo Vallecano,La Liga,18,2003,0.0,1,2,50.0,13,2,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
1757,Antoine Mendy,FRA,DF,Nice,Ligue 1,18,2004,5.8,262,325,80.6,4265,1050,125,138,90.57971014492753,112,132,84.84848484848484,18,40,45.0,1,0.4,0.3,0.6,6,11,7,3,21
1758,Arial Mendy,SEN,DF,Clermont Foot,Ligue 1,27,1994,2.5,82,120,68.3,1347,382,42,55,76.36363636363637,32,45,71.11111111111111,7,14,50.0,0,0.1,0.3,-0.1,1,7,4,2,7
1759,Batista Mendy,FRA,"MF,DF",Angers,Ligue 1,22,2000,31.8,1234,1432,86.2,22322,7144,471,532,88.53383458646617,608,670,90.74626865671642,112,161,69.56521739130434,0,1.2,1.8,-1.2,17,159,22,2,195
1760,Edouard Mendy,SEN,GK,Chelsea,Premier League,30,1992,9.5,233,289,80.6,5287,3583,79,79,100.0,97,98,98.9795918367347,53,108,49.074074074074076,0,0.0,0.0,0.0,0,4,0,0,0
1761,Ferland Mendy,FRA,DF,Real Madrid,La Liga,27,1995,15.0,794,862,92.1,10969,2745,507,532,95.30075187969925,223,246,90.65040650406505,34,38,89.47368421052632,1,0.6,0.6,0.4,13,54,9,0,56
1762,Nampalys Mendy,SEN,MF,Leicester City,Premier League,30,1992,8.4,362,413,87.7,5580,1124,189,204,92.64705882352942,143,156,91.66666666666666,20,27,74.07407407407408,0,0.0,0.1,0.0,2,20,3,0,28
1763,Gideon Mensah,GHA,DF,Auxerre,Ligue 1,24,1998,25.1,1126,1457,77.3,19117,7266,558,635,87.8740157480315,454,558,81.36200716845879,89,193,46.1139896373057,0,2.0,2.1,-2.0,25,97,20,12,116
1764,Chris Mepham,WAL,DF,Bournemouth,Premier League,24,1997,24.4,870,1041,83.6,16273,5694,309,346,89.30635838150289,478,525,91.04761904761904,75,142,52.816901408450704,0,0.2,0.6,-0.2,4,42,2,0,42
1765,Jorge Meré,ESP,DF,Cádiz,La Liga,25,1997,6.7,179,215,83.3,3641,1350,55,64,85.9375,100,112,89.28571428571429,23,36,63.888888888888886,0,0.0,0.0,0.0,0,8,0,0,14
1766,Alex Meret,ITA,GK,Napoli,Serie A,25,1997,34.0,818,931,87.9,18824,11619,189,189,100.0,438,441,99.31972789115646,188,298,63.08724832214765,0,0.0,0.0,0.0,0,1,0,0,0
1767,Mikel Merino,ESP,MF,Real Sociedad,La Liga,26,1996,27.7,1145,1502,76.2,18019,6014,607,715,84.89510489510491,408,517,78.91682785299807,83,161,51.5527950310559,9,5.4,5.0,3.6,44,154,36,5,172
1768,Quentin Merlin,FRA,DF,Nantes,Ligue 1,20,2002,19.9,857,1169,73.3,16268,5919,345,409,84.3520782396088,382,495,77.17171717171716,111,221,50.2262443438914,2,3.3,3.3,-1.3,34,73,23,13,94
1769,Yıldırım Mert Çetin,TUR,DF,Lecce,Serie A,25,1997,0.2,2,3,66.7,38,8,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
1770,Roque Mesa,ESP,MF,Valladolid,La Liga,33,1989,18.0,790,963,82.0,15512,4724,301,343,87.75510204081633,342,382,89.52879581151832,121,187,64.70588235294117,1,1.0,1.2,0.0,18,106,18,4,116
1771,Illan Meslier,FRA,GK,Leeds United,Premier League,22,2000,34.0,664,1039,63.9,16770,10937,144,148,97.2972972972973,354,359,98.60724233983287,162,523,30.975143403441685,0,0.0,0.0,0.0,0,13,1,0,0
1772,Lionel Messi,ARG,"FW,MF",Paris S-G,Ligue 1,35,1987,31.5,1641,2050,80.0,25475,8767,908,1034,87.81431334622823,495,597,82.91457286432161,154,235,65.53191489361701,16,13.4,16.2,2.6,93,223,120,2,300
1773,Junior Messias,BRA,"FW,DF",Milan,Serie A,31,1991,16.6,430,563,76.4,6793,1803,232,277,83.75451263537906,156,191,81.67539267015707,30,57,52.63157894736842,2,0.8,1.6,1.2,13,33,8,2,54
1774,Amine Messoussa,FRA,FW,Lille,Ligue 1,17,2004,0.0,0,0,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
1775,Thomas Meunier,BEL,DF,Dortmund,Bundesliga,30,1991,6.5,322,435,74.0,5628,2069,146,173,84.39306358381504,130,170,76.47058823529412,34,59,57.6271186440678,0,0.6,0.8,-0.6,6,27,11,5,30
1776,Alexander Meyer,GER,GK,Dortmund,Bundesliga,31,1991,7.0,280,323,86.7,6953,4124,56,57,98.24561403508771,145,146,99.31506849315068,79,117,67.52136752136752,0,0.0,0.0,0.0,0,4,0,0,1
1777,Sven Michel,GER,"FW,MF",Union Berlin,Bundesliga,32,1990,5.5,100,181,55.2,1279,290,66,93,70.96774193548387,19,39,48.717948717948715,6,18,33.33333333333333,1,0.9,0.3,0.1,7,9,4,2,12
1778,Alex Mighten,ENG,FW,Nott'ham Forest,Premier League,20,2002,0.1,1,1,100.0,11,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
1779,Tommaso Milanese,ITA,MF,Cremonese,Serie A,20,2002,0.3,10,14,71.4,182,41,4,5,80.0,3,5,60.0,2,3,66.66666666666666,0,0.2,0.1,-0.2,3,3,0,0,2
1780,Nikola Milenković,SRB,DF,Fiorentina,Serie A,24,1997,23.7,1107,1292,85.7,21399,6777,397,443,89.61625282167043,570,634,89.90536277602523,129,182,70.87912087912088,1,0.5,0.9,0.5,6,62,3,0,78
1781,Lewis Miley,ENG,MF,Newcastle Utd,Premier League,16,2006,0.2,5,6,83.3,49,6,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
1782,Arkadiusz Milik,POL,FW,"Juventus,Marseille","Serie A,Ligue 1",28,1994,19.0,374,487,152.60000000000002,5235,853,221,271,81.54981549815497,119,143,83.21678321678321,14,23,60.86956521739131,1,2.3000000000000003,0.7,-1.3,18,19,9,0,35
1784,Sergej Milinković-Savić,SRB,MF,Lazio,Serie A,27,1995,33.6,1465,1930,75.9,22950,6133,813,978,83.12883435582822,479,600,79.83333333333333,117,216,54.166666666666664,8,7.1,4.9,0.9,42,138,43,3,166
1785,Vanja Milinković-Savić,SRB,GK,Torino,Serie A,25,1997,38.0,1113,1806,61.6,35389,25444,158,160,98.75,551,558,98.74551971326166,401,1070,37.47663551401869,0,0.5,0.2,-0.5,1,94,2,0,0
1786,Éder Militão,BRA,DF,Real Madrid,La Liga,24,1998,30.0,1660,1881,88.3,31882,10563,648,691,93.77713458755427,794,862,92.11136890951276,188,273,68.86446886446886,0,0.6,0.8,-0.6,6,138,5,1,98
1787,Luka Milivojević,SRB,MF,Crystal Palace,Premier League,31,1991,5.7,207,260,79.6,3587,1136,89,101,88.11881188118812,89,107,83.17757009345794,20,37,54.054054054054056,0,0.2,0.2,-0.2,2,17,2,1,20
1788,Luis Milla,ESP,MF,Getafe,La Liga,27,1994,20.6,756,974,77.6,13767,4551,351,400,87.75,278,333,83.48348348348348,101,183,55.19125683060109,3,1.3,1.6,1.7,29,99,6,3,104
1789,Pere Milla,ESP,"FW,MF",Elche,La Liga,29,1992,20.5,410,585,70.1,6190,1742,224,283,79.15194346289752,127,169,75.14792899408283,34,63,53.96825396825397,1,1.2,1.5,-0.2,14,53,10,2,65
1790,Enzo Millot,FRA,MF,Stuttgart,Bundesliga,20,2002,9.9,311,396,78.5,4366,1069,176,207,85.02415458937197,107,122,87.70491803278688,13,28,46.42857142857143,1,1.6,2.2,-0.6,12,22,12,4,29
1791,James Milner,ENG,"MF,DF",Liverpool,Premier League,36,1986,10.1,563,727,77.4,9891,3403,261,291,89.69072164948454,238,279,85.30465949820788,52,112,46.42857142857143,1,0.9,1.6,0.1,13,61,15,5,70
1792,Marko Milovanović,SRB,FW,Almería,La Liga,18,2003,0.2,4,9,44.4,53,7,1,2,50.0,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
1793,Kim Min-jae,KOR,DF,Napoli,Serie A,25,1996,33.9,2552,2812,90.8,46165,17303,1026,1090,94.12844036697248,1269,1347,94.20935412026726,214,295,72.54237288135593,2,1.9,0.9,0.1,10,201,8,2,169
1794,Yerry Mina,COL,DF,Everton,Premier League,27,1994,6.6,286,325,88.0,4935,1808,117,125,93.60000000000001,146,161,90.6832298136646,17,27,62.96296296296296,0,0.1,0.2,-0.1,1,15,1,0,13
1795,Takumi Minamino,JPN,"MF,FW",Monaco,Ligue 1,27,1995,8.0,168,259,64.9,2530,689,80,109,73.39449541284404,57,75,76.0,13,37,35.13513513513514,3,1.4,1.9,1.6,10,13,12,0,28
1796,Tyrone Mings,ENG,DF,Aston Villa,Premier League,29,1993,35.0,1617,1899,85.2,30932,11677,532,586,90.78498293515358,913,984,92.78455284552845,153,286,53.4965034965035,2,1.4,0.9,0.6,5,106,6,0,111
1797,Óscar Mingueza,ESP,DF,Celta Vigo,La Liga,23,1999,14.3,721,908,79.4,12216,4925,370,408,90.68627450980392,285,338,84.31952662721893,58,126,46.03174603174603,0,1.4,1.3,-1.4,11,70,13,4,69
1798,Rafa Mir,ESP,FW,Sevilla,La Liga,25,1997,14.4,176,262,67.2,2380,325,107,145,73.79310344827587,52,76,68.42105263157895,6,14,42.857142857142854,0,1.0,0.9,-1.0,9,7,0,0,11
1799,Aleksei Miranchuk,RUS,MF,Torino,Serie A,26,1995,23.2,653,821,79.5,10323,2484,345,398,86.68341708542714,219,263,83.26996197718631,54,100,54.0,5,4.2,3.3,0.8,43,73,32,7,99
1800,Juan Miranda,ESP,DF,Betis,La Liga,22,2000,16.4,588,830,70.8,9875,5120,277,325,85.23076923076923,210,293,71.67235494880546,67,142,47.183098591549296,2,2.9,2.4,-0.9,21,55,28,9,73
1801,Antonio Mirante,ITA,GK,Milan,Serie A,39,1983,0.0,4,4,100.0,96,57,0,0,,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
1802,Fabio Miretti,ITA,"MF,FW",Juventus,Serie A,18,2003,13.7,364,511,71.2,5842,1673,192,236,81.35593220338984,135,170,79.41176470588235,25,60,41.66666666666667,2,1.3,1.3,0.7,16,39,17,4,60
1803,Filippo Missori,ITA,DF,Roma,Serie A,18,2004,2.0,41,61,67.2,688,291,18,24,75.0,21,28,75.0,1,5,20.0,0,0.0,0.0,0.0,0,1,0,0,0
1804,Tyrick Mitchell,ENG,DF,Crystal Palace,Premier League,22,1999,32.1,1152,1607,71.7,18235,8262,600,710,84.50704225352112,483,635,76.06299212598425,53,169,31.360946745562128,2,1.2,1.2,0.8,15,90,21,9,106
1805,Kaoru Mitoma,JPN,"FW,MF",Brighton,Premier League,25,1997,25.8,780,977,79.8,10673,2356,507,570,88.94736842105263,214,268,79.8507462686567,30,53,56.60377358490566,5,6.4,4.9,-1.4,41,45,28,1,90
1806,Aleksandar Mitrović,SRB,FW,Fulham,Premier League,27,1994,22.3,299,496,60.3,4671,970,172,257,66.9260700389105,85,132,64.39393939393939,31,52,59.61538461538461,1,2.3,1.3,-1.3,16,26,10,1,44
1807,Stefan Mitrović,SRB,DF,Getafe,La Liga,32,1990,18.7,403,512,78.7,8685,3574,106,126,84.12698412698413,228,260,87.6923076923077,63,111,56.75675675675676,0,0.0,0.1,0.0,0,14,0,0,17
1808,Maximilian Mittelstädt,GER,"DF,MF",Hertha BSC,Bundesliga,25,1997,9.4,326,472,69.1,5021,2310,182,206,88.3495145631068,113,168,67.26190476190477,21,74,28.37837837837838,0,0.8,1.2,-0.8,11,29,7,4,37
1809,Henrikh Mkhitaryan,ARM,MF,Inter,Serie A,33,1989,22.1,924,1058,87.3,15228,3797,454,497,91.34808853118712,361,408,88.48039215686273,79,96,82.29166666666666,2,2.1,2.4,-0.1,19,93,32,8,133
1810,Anthony Modeste,FRA,FW,Dortmund,Bundesliga,34,1988,9.0,73,127,57.5,940,170,40,60,66.66666666666666,22,44,50.0,2,4,50.0,1,1.1,0.5,-0.1,7,5,5,1,8
1811,Luka Modrić,CRO,MF,Real Madrid,La Liga,36,1985,19.4,1336,1521,87.8,20964,6451,740,786,94.14758269720102,414,467,88.6509635974304,127,179,70.94972067039106,3,4.5,4.2,-1.5,42,153,22,3,182
1812,Terem Moffi,NGA,FW,"Nice,Lorient",Ligue 1,23,1999,30.200000000000003,340,440,154.2,4540,907,200,251,79.6812749003984,112,131,85.49618320610686,7,5,140.0,3,3.4,1.8,-0.4,36,21,12,1,20
1814,Mostafa Mohamed,EGY,FW,Nantes,Ligue 1,24,1997,21.5,215,351,61.3,3003,648,116,183,63.387978142076506,65,95,68.42105263157895,15,24,62.5,2,1.7,1.1,0.3,15,17,5,1,22
1815,Tobias Mohr,GER,"DF,MF",Schalke 04,Bundesliga,26,1995,9.3,308,506,60.9,6380,2809,108,135,80.0,137,193,70.98445595854922,55,139,39.568345323741006,3,1.6,2.0,1.4,20,24,13,8,28
1816,Johan Mojica,COL,DF,"Villarreal,Elche",La Liga,29,1992,10.1,445,573,151.8,7251,2051,214,237,90.29535864978902,187,222,84.23423423423422,32,66,48.484848484848484,0,1.2,1.2,-1.2,12,23,7,4,28
1818,Clinton Mola,ENG,DF,Stuttgart,Bundesliga,21,2001,0.2,3,6,50.0,52,24,1,1,100.0,2,3,66.66666666666666,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
1819,Nahuel Molina,ARG,DF,Atlético Madrid,La Liga,24,1998,31.9,1452,1930,75.2,21725,8461,840,930,90.32258064516128,466,653,71.36294027565084,94,205,45.85365853658537,2,3.9,4.0,-1.9,38,74,49,17,112
1820,Salvatore Molina,ITA,DF,Monza,Serie A,30,1992,2.5,86,114,75.4,1260,424,49,55,89.0909090909091,36,45,80.0,1,8,12.5,0,0.1,0.3,-0.1,2,4,5,4,7
1821,Florent Mollet,FRA,MF,"Nantes,Schalke 04","Ligue 1,Bundesliga",30,1991,16.7,557,717,152.89999999999998,9006,2725,260,296,87.83783783783784,217,255,85.09803921568627,48,105,45.714285714285715,2,3.1999999999999997,2.7,-1.2000000000000002,27,53,13,5,87
1823,Jon Moncayola,ESP,"MF,DF",Osasuna,La Liga,24,1998,27.2,1136,1461,77.8,22841,7870,433,490,88.36734693877551,516,609,84.72906403940887,176,315,55.87301587301587,3,1.8,2.2,1.2,27,170,22,10,175
1824,Monchu,ESP,MF,Valladolid,La Liga,22,1999,22.6,833,1054,79.0,16192,4815,369,410,90.0,303,375,80.80000000000001,144,231,62.33766233766234,2,2.0,1.7,0.0,25,98,5,2,111
1825,César Montes,MEX,DF,Espanyol,La Liga,25,1997,17.7,624,799,78.1,12344,4658,223,251,88.84462151394422,312,367,85.01362397820164,81,158,51.26582278481012,0,0.0,0.7,0.0,0,46,1,1,41
1826,Daniele Montevago,ITA,FW,Sampdoria,Serie A,19,2003,2.6,23,40,57.5,228,22,14,20,70.0,4,8,50.0,0,3,0.0,0,0.2,0.3,-0.2,4,1,0,0,0
1827,Gonzalo Montiel,ARG,DF,Sevilla,La Liga,25,1997,16.9,661,851,77.7,10029,3892,359,402,89.30348258706468,250,322,77.63975155279503,34,78,43.58974358974359,3,2.1,2.5,0.9,20,53,13,7,57
1828,Lorenzo Montipò,ITA,GK,Hellas Verona,Serie A,26,1996,37.0,745,1192,62.5,29263,24967,75,76,98.68421052631578,246,251,98.00796812749005,421,859,49.0104772991851,0,0.0,0.2,0.0,0,65,1,0,0
1829,Martín Montoya,ESP,DF,Betis,La Liga,31,1991,5.0,190,244,77.9,2765,1133,107,116,92.24137931034483,60,77,77.92207792207793,12,31,38.70967741935484,0,0.7,0.6,-0.7,4,12,3,2,16
1830,Kieffer Moore,WAL,FW,Bournemouth,Premier League,29,1992,14.2,212,360,58.9,2944,495,119,193,61.6580310880829,62,95,65.26315789473685,11,20,55.00000000000001,0,0.3,0.5,-0.3,5,16,6,0,23
1831,Andrew Moran,IRL,FW,Brighton,Premier League,18,2003,0.1,1,2,50.0,13,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
1832,Álvaro Morata,ESP,FW,Atlético Madrid,La Liga,29,1992,21.1,270,422,64.0,3678,551,169,231,73.16017316017316,69,117,58.97435897435898,17,30,56.666666666666664,2,2.0,1.2,0.0,17,6,5,1,17
1833,Jon Morcillo,ESP,"FW,MF",Athletic Club,La Liga,23,1998,0.8,32,44,72.7,525,156,18,20,90.0,10,13,76.92307692307693,3,7,42.857142857142854,1,0.3,0.2,0.7,4,0,3,1,2
1834,Alberto Moreno,ESP,DF,Villarreal,La Liga,30,1992,14.4,605,730,82.9,9845,2768,298,329,90.5775075987842,252,283,89.04593639575971,36,64,56.25,1,1.4,1.9,-0.4,12,18,24,6,47
1835,Álex Moreno,ESP,DF,"Aston Villa,Betis","Premier League,La Liga",29,1993,29.8,1106,1440,153.5,16322,6081,617,705,87.51773049645391,397,514,77.23735408560312,55,111,49.549549549549546,3,4.5,4.0,1.5,31,53,43,18,81
1837,Diego Moreno,ESP,DF,Osasuna,La Liga,21,2001,7.1,216,324,66.7,3805,1315,90,106,84.90566037735849,96,133,72.18045112781954,26,65,40.0,0,0.2,0.3,-0.2,3,17,3,1,14
1838,Gerard Moreno,ESP,FW,Villarreal,La Liga,30,1992,13.7,353,483,73.1,5825,1500,169,216,78.24074074074075,129,167,77.24550898203593,39,48,81.25,3,2.7,1.4,0.3,19,35,25,1,68
1839,Marlos Moreno,COL,"MF,DF",Troyes,Ligue 1,25,1996,0.1,3,4,75.0,40,10,2,2,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1
1840,Tete Morente,ESP,"MF,DF",Elche,La Liga,25,1996,23.0,571,785,72.7,8632,2680,342,395,86.58227848101265,166,228,72.80701754385966,44,87,50.57471264367817,0,1.1,1.6,-1.1,16,44,19,9,63
1841,Ilaix Moriba,GUI,MF,Valencia,La Liga,19,2003,11.2,403,501,80.4,6210,1890,222,259,85.71428571428571,142,169,84.02366863905326,27,39,69.23076923076923,2,1.0,1.1,1.0,12,53,12,2,67
1842,Manu Morlanes,ESP,MF,"Villarreal,Mallorca",La Liga,23,1999,9.6,226,272,162.39999999999998,3717,1013,114,132,86.36363636363636,80,90,88.88888888888889,23,31,74.19354838709677,0,0.7,0.5,-0.7,3,26,5,0,32
1844,Nikola Moro,CRO,MF,Bologna,Serie A,24,1998,13.6,643,806,79.8,11678,3780,284,341,83.28445747800586,259,302,85.76158940397352,91,126,72.22222222222221,5,2.2,1.3,2.8,18,85,13,3,102
1845,Loren Morón,ESP,FW,Betis,La Liga,28,1993,0.2,3,4,75.0,29,0,3,3,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
1846,Cristhian Mosquera,COL,DF,Valencia,La Liga,18,2004,1.6,53,65,81.5,828,314,29,33,87.87878787878788,20,23,86.95652173913044,4,9,44.44444444444444,0,0.0,0.0,0.0,0,0,0,0,1
1847,Dany Mota,POR,"FW,MF",Monza,Serie A,24,1998,21.2,425,610,69.7,6145,958,240,299,80.2675585284281,138,194,71.1340206185567,21,35,60.0,1,2.1,1.8,-1.1,27,21,14,5,34
1848,Lebo Mothiba,RSA,"FW,MF",Strasbourg,Ligue 1,26,1996,4.8,75,98,76.5,969,140,42,49,85.71428571428571,25,32,78.125,1,6,16.666666666666664,0,0.1,0.1,-0.1,1,5,1,0,7
1849,Youssoufa Moukoko,GER,FW,Dortmund,Bundesliga,17,2004,12.7,142,202,70.3,1813,340,72,92,78.26086956521739,38,48,79.16666666666666,8,12,66.66666666666666,3,1.8,1.0,1.2,12,6,8,2,11
1850,Steve Mounié,BEN,FW,Brest,Ligue 1,27,1994,18.4,253,458,55.2,3503,841,139,238,58.40336134453782,89,147,60.544217687074834,5,15,33.33333333333333,0,0.8,1.3,-0.8,13,26,3,0,32
1851,Mason Mount,ENG,"MF,FW",Chelsea,Premier League,23,1999,18.3,585,778,75.2,8688,2236,350,409,85.57457212713936,165,216,76.38888888888889,44,84,52.38095238095239,2,3.0,2.8,-1.0,30,55,27,5,98
1852,Lucas Moura,BRA,"MF,DF",Tottenham,Premier League,29,1992,1.7,62,89,69.7,831,264,39,50,78.0,21,26,80.76923076923077,0,3,0.0,0,0.3,0.4,-0.3,4,3,5,1,13
1853,Bevic Moussiti-Oko,CGO,FW,Ajaccio,Ligue 1,27,1995,7.8,90,163,55.2,1205,235,52,82,63.41463414634146,23,50,46.0,5,10,50.0,0,0.8,0.4,-0.8,5,10,2,0,10
