Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,GA,npg,PK,PKatt,CrdY,CrdR,xG,NPxG,xAG,NPxG+xAG,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,GA_p90,npg_p90,npG+A_p90,xG_p90,xAG_p90,xG+xAG_p90,NPxG_p90,NPxG+xAG_p90,
37,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,20,14,1172,13,0,0,0,0,0,0,3,0,0.2,0.2,0.9,1.1,29,102,78,0,0,0,0,0,0.015384615,0.069230769,0.084615385,0.015384615,0.084615385,Matches
38,Naouirou Ahamada,FRA,"MF,FW","Crystal Palace,Stuttgart","Premier League,Bundesliga",20,2002,25,17,1492,16.5,2,2,4,2,0,0,5,1,1,1,1.3,2.3,44,58,65,0.121212121,0.121212121,0.242424242,0.121212121,0.242424242,0.060606061,0.078787879,0.139393939,0.060606061,0.139393939,Matches
40,Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,Matches
41,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,30,16,1300,14.4,3,1,4,3,0,0,4,1,1.2,1.2,0.9,2.1,25,50,37,0.208333333,0.069444444,0.277777778,0.208333333,0.277777778,0.083333333,0.0625,0.145833333,0.083333333,0.145833333,Matches
42,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,35,35,3119,34.7,3,0,3,3,0,0,6,1,1,1,0.1,1.1,15,95,2,0.086455331,0,0.086455331,0.086455331,0.086455331,0.028818444,0.002881844,0.031700288,0.028818444,0.031700288,Matches
43,Ola Aina,NGA,DF,Torino,Serie A,25,1996,19,9,876,9.7,1,1,2,1,0,0,5,0,0.8,0.8,2.1,2.9,35,43,43,0.103092784,0.103092784,0.206185567,0.103092784,0.206185567,0.082474227,0.216494845,0.298969072,0.082474227,0.298969072,Matches
44,Rayan Aït Nouri,ALG,DF,Wolves,Premier League,21,2001,21,9,1076,12,1,0,1,1,0,0,4,0,0.7,0.7,1,1.7,30,43,76,0.083333333,0,0.083333333,0.083333333,0.083333333,0.058333333,0.083333333,0.141666667,0.058333333,0.141666667,Matches
45,Emanuel Aiwum,AUT,DF,Cremonese,Serie A,21,2000,23,17,1653,18.4,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.6,19,46,7,0,0,0,0,0,0.010869565,0.02173913,0.032608696,0.010869565,0.032608696,Matches
46,Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0,0,0,0.1,10,31,12,0,0,0,0,0,0,0,0,0,0.011764706,Matches
47,Ludovic Ajorque,FRA,FW,"Strasbourg,Mainz 05","Ligue 1,Bundesliga",28,1994,30,24,1982,22.1,7,1,8,6,1,1,6,0,8,7.2,2.6,9.9,7,44,140,0.316742081,0.045248869,0.36199095,0.271493213,0.316742081,0.36199095,0.117647059,0.479638009,0.325791855,0.447963801,Matches
