Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SGls,SSh,SSoT,SSoTp,SSh_p90,SSoT_90,SG_Sh,SG_SoT,SFK,SPK,SPKatt,xG,npxG,npxG/Sh,G-xG,npG-xG,SDist
63,Raúl Albiol,ESP,DF,Villarreal,La Liga,36,1985,23.5,0,2,1,50.0,0.0851063829787234,0.0425531914893617,0.0,0.0,25.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
64,Marc Albrighton,ENG,"FW,MF",Leicester City,Premier League,32,1989,2.6,1,2,1,50.0,0.7692307692307692,0.3846153846153846,0.5,1.0,8.0,0,0,0,0.3,0.3,0.15,0.7,0.7
65,Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,13.9,0,10,1,10.0,0.7194244604316546,0.07194244604316546,0.0,0.0,24.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4
66,Carlos Alcaraz,ARG,"MF,FW",Southampton,Premier League,19,2002,11.4,4,24,10,41.66666666666667,2.1052631578947367,0.8771929824561403,0.17,0.4,20.0,0,0,0,1.9,1.9,0.07916666666666666,2.1,2.1
67,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,1991,22.7,3,31,4,12.903225806451612,1.3656387665198237,0.1762114537444934,0.03,0.25,23.5,3,2,3,4.0,1.6,0.05161290322580645,-1.0,-0.6
68,Omar Alderete,PAR,DF,Getafe,La Liga,25,1996,22.7,1,17,8,47.05882352941176,0.748898678414097,0.3524229074889868,0.06,0.13,17.6,0,0,0,0.6,0.6,0.03529411764705882,0.4,0.4
69,Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,27,1995,14.6,0,23,6,26.08695652173913,1.5753424657534247,0.4109589041095891,0.0,0.0,21.3,0,0,0,1.2,1.2,0.05217391304347826,-1.2,-1.2
70,Doğan Alemdar,TUR,GK,Rennes,Ligue 1,19,2002,4.5,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
71,Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,24,1998,23.5,2,33,10,30.303030303030305,1.4042553191489362,0.425531914893617,0.06,0.2,22.3,0,0,0,2.3,2.3,0.06969696969696969,-0.3,-0.3
72,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,23,1998,32.5,2,40,8,20.0,1.2307692307692308,0.24615384615384617,0.05,0.25,23.8,5,0,0,2.4,2.4,0.06,-0.4,-0.4
73,Alejandro Alfaro,ESP,MF,Elche,La Liga,20,2002,0.2,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
74,Ángel Algobia,ESP,MF,Getafe,La Liga,23,1999,12.6,0,7,1,14.285714285714285,0.5555555555555556,0.07936507936507936,0.0,0.0,24.9,0,0,0,0.3,0.3,0.04285714285714286,-0.3,-0.3
