Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCAPL,SCAPD,SCATO,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPL,GCAPD,GCATO,GCASh,GCAFld,GCADef
82,Marcos Alonso,ESP,DF,Barcelona,La Liga,31,1990,13,14,1.076923077,13,0,0,1,0,0,1,0.076923077,1,0,0,0,0,0
83,Mickaël Alphonse,GLP,DF,Ajaccio,Ligue 1,33,1989,15.1,19,1.258278146,15,1,1,1,0,1,0,0,0,0,0,0,0,0
84,Éder Álvarez Balanta,COL,"MF,FW",Schalke 04,Bundesliga,29,1993,2.6,8,3.076923077,6,1,0,0,0,1,1,0.384615385,1,0,0,0,0,0
85,Carlos Álvarez,ESP,MF,Sevilla,La Liga,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Gastón Álvarez,URU,DF,Getafe,La Liga,22,2000,16.7,16,0.958083832,9,5,0,1,0,1,1,0.05988024,1,0,0,0,0,0
87,Julián Álvarez,ARG,"FW,MF",Manchester City,Premier League,22,2000,16.3,52,3.190184049,39,0,6,5,2,0,5,0.306748466,2,0,1,1,1,0
88,Agustín Álvarez Martínez,URU,"FW,MF",Sassuolo,Serie A,21,2001,4.1,9,2.195121951,3,0,2,3,1,0,2,0.487804878,1,0,0,1,0,0
89,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,27,1995,25.9,28,1.081081081,24,1,0,1,1,1,2,0.077220077,2,0,0,0,0,0
90,Ibrahim Amadou,FRA,"DF,MF",Angers,Ligue 1,29,1993,4.7,3,0.638297872,3,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Selim Amallah,MAR,"MF,FW",Valladolid,La Liga,25,1996,3,11,3.666666667,5,0,4,0,0,2,2,0.666666667,1,0,1,0,0,0
92,Daniel Amartey,GHA,DF,Leicester City,Premier League,27,1994,17.9,15,0.837988827,15,0,0,0,0,0,1,0.055865922,1,0,0,0,0,0
93,Amath,SEN,"MF,FW",Mallorca,La Liga,26,1996,13.6,24,1.764705882,11,0,5,4,3,1,3,0.220588235,1,0,1,0,1,0
94,Jordan Amavi,FRA,DF,Getafe,La Liga,28,1994,2.2,2,0.909090909,2,0,0,0,0,0,1,0.454545455,1,0,0,0,0,0
95,Lukáš Ambros,CZE,MF,Wolfsburg,Bundesliga,18,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Kelvin Amian,FRA,DF,Spezia,Serie A,24,1998,26.4,45,1.704545455,34,3,2,4,0,2,3,0.113636364,1,0,0,2,0,0
97,Bruno Amione,ARG,DF,"Hellas Verona,Sampdoria",Serie A,20,2002,23.8,12,0.504201681,6,1,0,4,1,0,2,0.084033613,1,0,0,1,0,0
99,Nadiem Amiri,GER,"MF,FW",Leverkusen,Bundesliga,25,1996,10.9,36,3.302752294,23,4,4,1,4,0,5,0.458715596,3,0,1,0,1,0
100,Samuel Amo-Ameyaw,ENG,MF,Southampton,Premier League,16,2006,0,1,,1,0,0,0,0,0,0,,0,0,0,0,0,0
101,Ethan Ampadu,WAL,"DF,MF",Spezia,Serie A,21,2000,29.3,40,1.365187713,33,0,0,4,2,1,4,0.136518771,4,0,0,0,0,0
102,Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,25,1996,22.2,44,1.981981982,38,0,0,0,2,4,4,0.18018018,3,0,0,0,0,1
103,Ayoub Amraoui,MAR,"DF,FW",Nice,Ligue 1,18,2004,3.3,4,1.212121212,4,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Joachim Andersen,DEN,DF,Crystal Palace,Premier League,26,1996,30.9,25,0.809061489,20,3,0,0,1,1,1,0.03236246,0,1,0,0,0,0
105,Elliot Anderson,SCO,"MF,FW",Newcastle Utd,Premier League,19,2002,4.6,22,4.782608696,16,0,2,0,4,0,1,0.217391304,1,0,0,0,0,0
106,Felipe Anderson,BRA,FW,Lazio,Serie A,29,1993,32.9,99,3.009118541,79,1,10,6,3,0,15,0.455927052,8,0,4,2,1,0
107,Benjamin André,FRA,MF,Lille,Ligue 1,31,1990,32.4,70,2.160493827,62,0,0,3,3,2,6,0.185185185,5,0,0,0,1,0
108,Marcos André,BRA,"FW,MF",Valencia,La Liga,25,1996,5,12,2.4,8,0,3,1,0,0,0,0,0,0,0,0,0,0
109,Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,27,1995,16.1,32,1.98757764,26,0,2,2,2,0,4,0.248447205,2,0,0,2,0,0
110,Robert Andrich,GER,MF,Leverkusen,Bundesliga,27,1994,26.7,45,1.685393258,37,0,0,4,1,3,4,0.149812734,3,0,0,0,0,1
111,Angeliño,ESP,DF,Hoffenheim,Bundesliga,25,1997,29.1,88,3.024054983,61,20,1,2,3,1,10,0.343642612,8,1,0,1,0,0
112,Fabrizio Angileri,ARG,DF,Getafe,La Liga,28,1994,6.5,5,0.769230769,3,0,1,0,0,1,2,0.307692308,1,0,0,0,0,1
113,Jaidon Anthony,ENG,"MF,FW",Bournemouth,Premier League,22,1999,14,38,2.714285714,28,3,4,1,1,1,4,0.285714286,2,0,1,0,1,0
114,Janis Antiste,FRA,FW,Sassuolo,Serie A,19,2002,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Waldemar Anton,GER,DF,Stuttgart,Bundesliga,26,1996,32.6,39,1.196319018,28,4,2,5,0,0,5,0.153374233,3,0,0,2,0,0
116,Josep Antoni Gayá,ESP,"DF,MF",Mallorca,La Liga,22,2000,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,José Antonio,ESP,"MF,DF",Cádiz,La Liga,18,2004,0.5,1,2,1,0,0,0,0,0,1,2,1,0,0,0,0,0
118,Marcos Antônio,BRA,MF,Lazio,Serie A,22,2000,6.6,9,1.363636364,7,0,1,0,1,0,3,0.454545455,2,0,1,0,0,0
119,Michail Antonio,JAM,FW,West Ham,Premier League,32,1990,20.3,39,1.921182266,24,0,6,4,5,0,9,0.443349754,6,0,2,1,0,0
120,Antony,BRA,FW,Manchester Utd,Premier League,22,2000,20,74,3.7,61,0,5,3,4,1,7,0.35,6,0,1,0,0,0
121,Valentin Antov,BUL,DF,Monza,Serie A,21,2000,3.4,2,0.588235294,2,0,0,0,0,0,1,0.294117647,1,0,0,0,0,0
122,Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,28,1994,22,79,3.590909091,46,16,5,3,9,0,12,0.545454545,7,1,2,0,2,0
123,Anuar,MAR,"MF,FW",Valladolid,La Liga,27,1995,2.3,4,1.739130435,2,0,1,0,0,1,1,0.434782609,0,0,1,0,0,0
124,Houssem Aouar,ALG,MF,Lyon,Ligue 1,24,1998,5.8,15,2.586206897,9,0,3,3,0,0,2,0.344827586,2,0,0,0,0,0
125,Adil Aouchiche,FRA,MF,Lorient,Ligue 1,20,2002,2.8,5,1.785714286,3,0,0,1,0,1,0,0,0,0,0,0,0,0
126,Dennis Appiah,FRA,"DF,MF",Nantes,Ligue 1,30,1992,8.8,11,1.25,8,1,2,0,0,0,1,0.113636364,1,0,0,0,0,0
