Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,ADWon,ADLost,ADWonp
2461,Salvatore Sirigu,ITA,GK,Fiorentina,Serie A,35,1987,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
2462,Ibrahima Sissoko,FRA,MF,Strasbourg,Ligue 1,24,1997,14.6,1,0,0,41,15,2,10,10,22,0,1,0,121,30,23,56.60377358490566
2463,Moussa Sissoko,FRA,MF,Nantes,Ligue 1,32,1989,21.3,3,0,0,27,14,3,23,16,16,0,1,0,153,24,23,51.06382978723404
2464,Tim Skarke,GER,"DF,MF","Union Berlin,Schalke 04",Bundesliga,25,1996,5.5,1,0,0,7,7,3,30,0,8,0,0,0,30,4,13,23.52941176470588
2466,Ellyes Skhiri,TUN,MF,Köln,Bundesliga,27,1995,31.7,5,0,0,34,11,4,13,56,44,0,0,0,250,40,22,64.51612903225806
2467,Oliver Skipp,ENG,MF,Tottenham,Premier League,21,2000,16.6,7,0,0,23,17,0,10,17,17,0,0,0,107,7,25,21.875
2468,Leo Skiri Østigård,NOR,DF,Napoli,Serie A,22,1999,4.7,1,0,0,2,4,0,0,6,1,0,0,0,18,30,7,81.08108108108108
2469,Łukasz Skorupski,POL,GK,Bologna,Serie A,31,1991,37.0,4,0,0,1,7,0,0,0,1,0,1,0,53,6,1,85.71428571428571
2470,Robert Skov,DEN,DF,Hoffenheim,Bundesliga,26,1996,15.0,1,0,0,17,21,1,75,8,11,0,0,0,74,15,17,46.875
2471,Milan Škriniar,SVK,DF,Inter,Serie A,27,1995,19.7,5,1,1,35,14,1,5,13,18,0,0,1,112,17,18,48.57142857142857
2472,Naatan Skyttä,FIN,MF,Toulouse,Ligue 1,20,2002,0.3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0.0
2473,Islam Slimani,ALG,FW,Brest,Ligue 1,34,1988,11.0,5,0,0,18,14,10,9,1,3,0,0,0,16,22,25,46.808510638297875
2474,Chris Smalling,ENG,DF,Roma,Serie A,32,1989,31.2,7,0,0,18,14,1,1,43,15,0,0,0,142,71,24,74.73684210526315
2475,Adam Smith,ENG,DF,Bournemouth,Premier League,31,1991,32.7,11,0,0,29,27,0,48,25,29,0,1,0,128,29,38,43.28358208955223
2476,Emile Smith Rowe,ENG,"MF,FW",Arsenal,Premier League,22,2000,1.9,0,0,0,1,1,1,5,0,1,0,0,0,8,0,2,0.0
2477,Hrvoje Smolčić,CRO,DF,Eint Frankfurt,Bundesliga,21,2000,5.2,0,0,0,0,5,0,0,6,7,0,0,0,31,27,13,67.5
2478,Cédric Soares,POR,DF,"Arsenal,Fulham",Premier League,30,1991,2.5,0,0,0,1,2,0,27,1,5,0,0,0,11,2,7,22.22222222222222
2480,Danilo Soares,BRA,DF,Bochum,Bundesliga,30,1991,19.6,6,0,0,28,24,0,17,30,46,0,2,0,175,24,18,57.14285714285714
2481,Eduard Sobol,UKR,DF,Strasbourg,Ligue 1,27,1995,9.7,2,0,0,10,17,2,19,8,10,0,1,0,35,9,5,64.28571428571429
2482,Rubén Sobrino,ESP,"MF,FW",Cádiz,La Liga,30,1992,27.4,11,0,0,50,53,8,12,24,37,0,0,0,164,60,64,48.38709677419355
2483,Alex Sola,ESP,DF,Real Sociedad,La Liga,23,1999,3.9,1,0,0,3,8,0,12,7,9,0,0,0,17,7,3,70.0
2484,Dominic Solanke,ENG,"FW,MF",Bournemouth,Premier League,24,1997,31.8,2,0,0,40,53,11,13,6,9,0,0,0,87,52,98,34.66666666666667
2485,Augusto Solari,ARG,MF,Celta Vigo,La Liga,30,1992,2.9,0,0,0,9,4,0,3,4,6,0,0,0,18,4,3,57.14285714285714
2486,Ola Solbakken,NOR,"MF,FW",Roma,Serie A,23,1998,5.6,2,0,0,6,7,0,12,2,2,0,0,0,21,4,11,26.666666666666668
2487,Nikola Soldo,CRO,DF,Köln,Bundesliga,21,2001,6.6,1,0,0,5,2,0,1,7,9,0,0,0,44,7,9,43.75
2488,Carlos Soler,ESP,MF,"Valencia,Paris S-G","La Liga,Ligue 1",25,1997,15.899999999999999,0,0,0,20,18,0,38,4,12,1,0,0,71,1,7,12.5
2490,François-Joseph Sollacaro,FRA,GK,Ajaccio,Ligue 1,28,1994,6.0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
2491,Manor Solomon,ISR,FW,Fulham,Premier League,23,1999,6.4,0,0,0,5,4,2,4,5,12,0,0,0,46,3,3,50.0
2492,Yann Sommer,SUI,GK,"Bayern Munich,M'Gladbach",Bundesliga,33,1988,29.0,1,0,0,1,2,0,0,1,0,0,0,0,53,6,3,66.66666666666666
2494,Brandon Soppy,FRA,DF,"Udinese,Atalanta",Serie A,20,2002,8.1,3,0,0,20,22,2,20,4,6,1,1,0,55,5,2,71.42857142857143
2496,David Soria,ESP,GK,Getafe,La Liga,29,1993,38.0,2,0,0,1,3,0,0,1,0,0,0,0,39,4,0,100.0
2497,Roberto Soriano,ITA,"FW,MF",Bologna,Serie A,31,1991,14.7,1,0,0,20,33,2,11,6,16,0,0,0,77,11,16,40.74074074074074
2498,Borna Sosa,CRO,DF,Stuttgart,Bundesliga,24,1998,21.7,5,0,0,12,12,0,255,19,21,0,0,0,113,15,13,53.57142857142857
2499,Joaquin Sosa,URU,DF,Bologna,Serie A,20,2002,7.6,2,0,0,16,7,0,1,6,2,0,2,0,43,14,12,53.84615384615385
