Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,ADWon,ADLost,ADWonp
488,Michele Castagnetti,ITA,MF,Cremonese,Serie A,32,1989,15.7,2,0,0,16,12,0,38,15,21,0,0,0,99,9,14,39.130434782608695
489,Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,30,1992,34.0,0,0,0,0,3,0,0,1,0,0,0,0,63,4,1,80.0
490,Valentín Castellanos,ARG,FW,Girona,La Liga,23,1998,28.9,11,0,0,43,46,31,10,6,5,0,0,0,56,51,70,42.14876033057851
491,Jean-Charles Castelletto,CMR,DF,Nantes,Ligue 1,27,1995,28.5,3,0,0,28,18,0,13,58,26,0,2,0,175,77,42,64.70588235294117
492,Samu Castillejo,ESP,"FW,MF",Valencia,La Liga,27,1995,15.1,7,0,0,32,40,7,87,9,12,0,0,0,66,7,19,26.923076923076923
493,Jonny Castro,ESP,DF,Wolves,Premier League,28,1994,14.0,3,1,0,13,19,1,18,14,15,0,0,0,91,15,16,48.38709677419355
494,Gaetano Castrovilli,ITA,MF,Fiorentina,Serie A,25,1997,8.0,3,0,0,12,12,1,12,8,8,0,0,0,36,4,11,26.666666666666668
495,Danilo Cataldi,ITA,MF,Lazio,Serie A,27,1994,21.3,5,0,0,12,20,0,44,24,16,0,0,0,159,1,5,16.666666666666664
496,Catena,ESP,DF,Rayo Vallecano,La Liga,27,1994,34.5,14,1,1,32,15,3,1,28,14,0,0,0,181,80,37,68.37606837606837
497,Yoann Cathline,FRA,"FW,MF",Lorient,Ligue 1,20,2002,12.1,0,0,0,11,28,1,48,8,12,0,1,0,62,2,8,20.0
498,Maximiliano Caufriez,BEL,DF,Clermont Foot,Ligue 1,25,1997,24.7,10,1,1,29,35,1,3,34,24,0,0,0,142,20,15,57.14285714285714
499,Edinson Cavani,URU,FW,Valencia,La Liga,35,1987,16.1,6,0,0,18,8,15,3,2,4,0,0,0,37,20,28,41.66666666666667
500,Dani Ceballos,ESP,MF,Real Madrid,La Liga,25,1996,17.4,8,0,0,17,41,1,16,25,29,0,0,0,132,4,8,33.33333333333333
501,Pietro Ceccaroni,ITA,DF,Lecce,Serie A,26,1995,0.5,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,
502,Federico Ceccherini,ITA,DF,Hellas Verona,Serie A,30,1992,15.7,9,1,0,31,19,0,6,19,19,0,0,0,102,30,17,63.829787234042556
503,Assan Ceesay,GAM,FW,Lecce,Serie A,28,1994,20.1,2,0,0,36,27,22,15,3,18,0,0,0,51,63,80,44.05594405594406
504,Emil Ceide,NOR,FW,Sassuolo,Serie A,20,2001,5.7,0,0,0,4,7,1,6,1,2,1,0,0,18,1,3,25.0
505,Zeki Çelik,TUR,DF,Roma,Serie A,25,1997,16.7,7,1,1,26,6,2,42,14,21,0,0,0,96,11,13,45.83333333333333
506,Álex Centelles,ESP,DF,Almería,La Liga,24,1997,12.5,0,1,0,7,5,0,46,11,14,0,0,0,66,7,17,29.166666666666668
507,Fabien Centonze,FRA,DF,Nantes,Ligue 1,26,1996,18.8,4,0,0,14,21,0,67,44,37,1,0,0,108,33,19,63.46153846153846
508,Michele Cerofolini,ITA,GK,Fiorentina,Serie A,23,1999,5.0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,
509,Franco Cervi,ARG,"MF,DF",Celta Vigo,La Liga,28,1994,21.0,2,1,0,27,42,2,113,36,46,0,0,0,145,12,25,32.432432432432435
510,Julio César Enciso,PAR,"FW,MF",Brighton,Premier League,18,2004,9.0,1,0,0,13,15,3,12,4,4,0,0,0,36,6,8,42.857142857142854
511,Julian Chabot,GER,DF,Köln,Bundesliga,24,1998,20.0,3,0,0,29,20,2,3,41,23,0,0,0,124,90,46,66.17647058823529
512,Florian Chabrolle,FRA,MF,Ajaccio,Ligue 1,24,1998,3.7,1,0,0,2,1,0,1,7,4,0,0,0,22,1,3,25.0
513,El Chadaille Bitshiabu,FRA,DF,Paris S-G,Ligue 1,17,2005,6.5,2,0,0,4,0,0,0,9,7,0,0,0,41,6,4,60.0
514,Fares Chaïbi,ALG,"FW,MF",Toulouse,Ligue 1,19,2002,26.0,2,0,0,34,21,8,57,19,18,0,0,0,109,30,50,37.5
515,Nathaniel Chalobah,ENG,MF,Fulham,Premier League,27,1994,0.1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,2,33.33333333333333
516,Trevoh Chalobah,ENG,DF,Chelsea,Premier League,23,1999,17.9,4,0,0,11,8,0,13,24,20,0,0,1,86,31,32,49.2063492063492
517,Muhammed Cham,AUT,MF,Clermont Foot,Ligue 1,21,2000,21.9,2,0,0,17,40,1,73,7,15,0,1,0,106,6,13,31.57894736842105
518,Calum Chambers,ENG,"DF,MF",Aston Villa,Premier League,27,1995,3.9,2,0,0,7,2,0,4,7,6,0,0,0,23,3,6,33.33333333333333
519,Timothy Chandler,USA,DF,Eint Frankfurt,Bundesliga,32,1990,1.0,0,0,0,0,0,0,3,0,2,0,0,0,5,1,0,100.0
520,Gaëtan Charbonnier,FRA,"FW,MF",Auxerre,Ligue 1,33,1988,2.8,1,0,0,3,1,3,1,0,1,0,0,0,6,3,7,30.0
521,Brendan Chardonnet,FRA,DF,Brest,Ligue 1,27,1994,27.7,6,0,0,39,26,0,6,63,27,0,1,1,149,92,42,68.65671641791045
522,Shea Charles,NIR,DF,Manchester City,Premier League,18,2003,0.3,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,100.0
523,Xavier Chavalerin,FRA,MF,Troyes,Ligue 1,31,1991,27.0,3,0,0,31,12,2,29,41,50,0,0,0,139,16,13,55.172413793103445
524,Pep Chavarría,ESP,"FW,MF",Rayo Vallecano,La Liga,24,1998,4.1,1,0,0,11,4,1,13,2,4,0,0,0,27,8,3,72.72727272727273
525,Ivane Chegra,FRA,"MF,FW",Ajaccio,Ligue 1,18,2004,2.1,0,0,0,3,3,2,4,1,3,0,0,0,12,2,2,50.0
526,Pape Cheikh Diop,SEN,MF,Elche,La Liga,24,1997,0.4,1,1,0,3,0,0,0,0,0,0,0,0,3,0,1,0.0
527,Rayan Cherki,FRA,"MF,FW",Lyon,Ligue 1,18,2003,20.8,3,0,0,16,32,4,91,5,8,0,1,0,94,2,9,18.181818181818183
528,Ilyes Cheti,ALG,DF,Angers,Ligue 1,27,1995,2.3,1,0,0,4,1,0,5,4,4,0,1,0,18,0,0,
529,Lucas Chevalier,FRA,GK,Lille,Ligue 1,20,2001,32.0,1,0,0,0,5,0,0,2,1,0,0,0,55,2,0,100.0
530,Fabio Chiarodia,ITA,DF,Werder Bremen,Bundesliga,17,2005,0.7,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,50.0
531,Federico Chiesa,ITA,"DF,MF",Juventus,Serie A,24,1997,9.5,2,0,0,13,12,2,43,0,11,0,0,0,41,1,5,16.666666666666664
532,Ben Chilwell,ENG,"DF,MF",Chelsea,Premier League,25,1996,15.6,3,0,0,13,23,3,92,18,17,1,0,0,68,25,20,55.55555555555556
533,Vlad Chiricheș,ROU,DF,Cremonese,Serie A,32,1989,10.9,2,0,0,16,8,0,0,22,20,0,0,1,67,18,22,45.0
534,Pedro Chirivella,ESP,MF,Nantes,Ligue 1,25,1997,22.5,1,0,0,20,18,0,13,20,22,0,0,0,126,9,8,52.94117647058824
535,Joris Chotard,FRA,MF,Montpellier,Ligue 1,20,2001,27.3,4,0,0,33,18,3,33,40,34,0,0,0,188,12,20,37.5
536,Andreas Christensen,DEN,DF,Barcelona,La Liga,26,1996,19.6,2,0,0,18,7,0,1,21,15,0,0,1,107,42,19,68.85245901639344
537,Oliver Christensen,DEN,GK,Hertha BSC,Bundesliga,23,1999,33.0,2,0,0,0,7,0,0,0,0,0,0,0,51,6,3,66.66666666666666
538,Ryan Christie,SCO,"MF,FW",Bournemouth,Premier League,27,1995,20.4,2,0,0,36,45,1,32,26,22,0,0,0,132,16,23,41.02564102564102
539,Carney Chukwuemeka,ENG,"MF,FW",Chelsea,Premier League,18,2003,3.9,0,0,0,2,5,1,3,6,7,0,0,0,22,1,6,14.285714285714285
540,Samuel Chukwueze,NGA,"FW,MF",Villarreal,La Liga,23,1999,26.0,1,0,0,19,34,11,28,12,7,1,0,0,110,14,20,41.17647058823529
541,Darko Churlinov,MKD,FW,Stuttgart,Bundesliga,22,2000,0.3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0.0
542,Víctor Chust,ESP,DF,Cádiz,La Liga,22,2000,10.7,3,0,0,11,4,1,0,10,6,0,1,0,46,16,17,48.484848484848484
543,Tolga Ciğerci,TUR,MF,Hertha BSC,Bundesliga,30,1992,7.5,2,0,0,13,3,0,22,8,13,0,1,0,71,10,11,47.61904761904761
544,Yanis Cimignani,FRA,"MF,DF",Ajaccio,Ligue 1,20,2002,3.1,0,0,0,5,2,0,10,2,5,0,0,0,12,0,12,0.0
545,Daniel Ciofani,ITA,FW,Cremonese,Serie A,37,1985,11.8,1,0,0,9,15,6,2,2,3,0,0,0,28,35,67,34.31372549019608
546,Tio Cipot,SVN,"FW,MF",Spezia,Serie A,19,2003,1.5,0,0,0,1,2,0,7,0,7,0,0,0,8,1,2,33.33333333333333
547,Pathé Ciss,SEN,"MF,DF",Rayo Vallecano,La Liga,28,1994,14.2,4,0,0,38,13,1,3,22,29,0,0,1,101,34,28,54.83870967741935
548,Souleymane Cissé,FRA,DF,Clermont Foot,Ligue 1,19,2002,0.4,0,0,0,2,1,0,0,1,1,0,0,0,3,1,0,100.0
549,Patrick Ciurria,ITA,"DF,MF",Monza,Serie A,27,1995,30.6,4,0,0,32,41,8,98,7,18,0,0,0,138,12,13,48.0
550,Bobby Clark,ENG,MF,Liverpool,Premier League,17,2005,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
551,Alexis Claude-Maurice,FRA,FW,"Nice,Lens",Ligue 1,24,1998,7.4,0,0,0,7,18,0,8,2,11,0,0,0,26,6,2,75.0
553,Jonathan Clauss,FRA,DF,Marseille,Ligue 1,29,1992,28.8,1,0,0,25,12,3,110,31,28,0,1,0,180,10,17,37.03703703703704
554,Carlos Clerc,ESP,"DF,MF",Elche,La Liga,30,1992,29.3,5,0,0,32,31,2,89,28,51,0,0,0,151,20,22,47.61904761904761
555,Nathaniel Clyne,ENG,DF,Crystal Palace,Premier League,31,1991,18.2,3,0,0,10,8,0,21,19,16,0,0,0,81,6,18,25.0
556,Conor Coady,ENG,DF,Everton,Premier League,29,1993,23.3,2,0,0,11,13,2,1,14,9,0,0,0,92,25,24,51.02040816326531
557,Nicolò Cocetta,ITA,DF,Udinese,Serie A,18,2003,0.4,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,
558,Marcus Coco,FRA,"FW,MF",Nantes,Ligue 1,26,1996,7.1,2,0,0,19,11,3,24,14,15,0,0,0,50,17,33,34.0
559,Alexandre Coeff,FRA,DF,Auxerre,Ligue 1,30,1992,6.5,0,0,0,3,1,0,5,8,5,0,0,0,29,6,7,46.15384615384615
560,Jack Colback,ENG,MF,Nott'ham Forest,Premier League,32,1989,5.5,0,0,0,9,8,0,1,3,13,0,0,0,24,4,8,33.33333333333333
561,Séamus Coleman,IRL,DF,Everton,Premier League,33,1988,18.4,1,0,0,10,21,2,22,22,26,0,0,0,100,18,16,52.94117647058824
562,David Čolina,CRO,"DF,FW",Augsburg,Bundesliga,22,2000,1.8,0,0,0,1,4,0,6,4,1,0,0,0,20,1,4,20.0
563,Álex Collado,ESP,MF,Elche,La Liga,23,1999,8.1,1,0,0,9,10,1,18,2,14,0,0,0,33,4,8,33.33333333333333
564,Diego Collado,ESP,FW,Villarreal,La Liga,21,2001,0.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
565,Omar Colley,GAM,DF,Sampdoria,Serie A,29,1992,15.4,5,0,0,15,18,1,0,22,10,0,0,0,73,27,30,47.368421052631575
566,Nathan Collins,IRL,DF,Wolves,Premier League,21,2001,20.2,2,1,0,17,9,1,0,21,15,0,0,0,96,37,31,54.41176470588235
567,Lorenzo Colombo,ITA,FW,Lecce,Serie A,20,2002,16.8,4,0,0,36,16,8,10,2,9,0,0,0,52,41,118,25.78616352201258
568,Andrea Colpani,ITA,MF,Monza,Serie A,23,1999,10.5,1,0,0,22,26,0,33,3,9,1,0,0,55,6,10,37.5
569,Levi Colwill,ENG,DF,Brighton,Premier League,19,2003,13.6,1,0,0,8,10,0,1,15,7,0,0,0,74,45,18,71.42857142857143
570,Kingsley Coman,FRA,"FW,MF",Bayern Munich,Bundesliga,26,1996,15.7,2,1,1,9,21,5,74,2,8,1,0,0,71,11,10,52.38095238095239
571,Eray Cömert,SUI,DF,Valencia,La Liga,24,1998,18.6,5,1,0,22,11,1,1,29,23,0,0,0,106,44,31,58.666666666666664
572,Santi Comesaña,ESP,MF,Rayo Vallecano,La Liga,25,1996,27.2,6,0,0,49,28,4,17,32,44,0,0,0,173,32,44,42.10526315789473
573,Andrea Consigli,ITA,GK,Sassuolo,Serie A,35,1987,35.0,0,0,0,0,4,0,0,0,0,0,0,0,32,9,1,90.0
574,Abdu Conté,POR,DF,Troyes,Ligue 1,24,1998,14.6,0,0,0,12,12,4,37,6,17,0,2,0,71,16,7,69.56521739130434
575,Andrea Conti,ITA,DF,Sampdoria,Serie A,28,1994,0.3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,
576,Lewis Cook,ENG,MF,Bournemouth,Premier League,25,1997,19.1,4,0,0,15,10,0,45,23,22,0,0,0,129,7,10,41.17647058823529
577,Steve Cook,ENG,DF,Nott'ham Forest,Premier League,31,1991,10.6,4,0,0,5,2,0,1,12,4,0,1,0,35,27,10,72.97297297297297
578,Liam Cooper,SCO,DF,Leeds United,Premier League,30,1991,15.8,5,0,0,12,10,0,1,34,23,0,0,0,107,56,32,63.63636363636363
579,Copete,ESP,DF,Mallorca,La Liga,22,1999,24.5,7,1,0,47,24,2,9,44,28,0,1,0,113,39,16,70.9090909090909
580,Diego Coppola,ITA,DF,Hellas Verona,Serie A,18,2003,13.1,5,0,0,10,0,0,3,14,17,0,1,0,70,47,34,58.0246913580247
581,Francis Coquelin,FRA,MF,Villarreal,La Liga,31,1991,8.3,2,0,0,11,7,0,5,9,13,0,0,0,36,6,4,60.0
582,Sébastien Corchia,FRA,DF,Nantes,Ligue 1,31,1990,8.7,3,0,0,16,18,1,43,14,6,0,0,0,52,12,10,54.54545454545454
583,Alex Cordaz,ITA,GK,Inter,Serie A,39,1983,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
584,Maxwel Cornet,CIV,FW,West Ham,Premier League,25,1996,2.7,0,0,0,2,2,9,6,2,3,0,0,0,15,6,11,35.294117647058826
585,Jesús Corona,MEX,FW,Sevilla,La Liga,29,1993,1.2,0,0,0,2,5,1,3,1,0,0,0,0,5,0,2,0.0
586,Ángel Correa,ARG,"FW,MF",Atlético Madrid,La Liga,27,1995,16.2,3,1,0,19,20,14,22,10,6,0,0,0,63,5,16,23.809523809523807
587,Joaquín Correa,ARG,FW,Inter,Serie A,27,1994,10.6,1,0,0,12,18,2,2,3,7,0,0,0,41,4,12,25.0
588,Thierry Correia,POR,DF,Valencia,La Liga,23,1999,22.3,5,0,0,39,44,1,87,24,52,2,0,0,149,24,20,54.54545454545454
589,Alessandro Cortinovis,ITA,MF,Hellas Verona,Serie A,21,2001,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0
590,Danny da Costa,GER,DF,Mainz 05,Bundesliga,29,1993,13.7,0,0,0,8,3,4,52,9,16,0,0,0,81,18,11,62.06896551724138
591,David Pereira da Costa,POR,"MF,FW",Lens,Ligue 1,21,2001,15.6,2,0,0,14,14,0,52,11,7,1,0,0,67,3,11,21.428571428571427
592,Diego Costa,ESP,FW,Wolves,Premier League,33,1988,13.8,5,1,0,29,10,16,6,2,1,0,0,0,25,30,59,33.70786516853933
593,Jaume Costa,ESP,DF,Mallorca,La Liga,34,1988,28.9,10,0,0,44,32,7,75,22,34,0,0,0,122,30,26,53.57142857142857
594,Logan Costa,CPV,DF,Toulouse,Ligue 1,21,2001,4.6,0,0,0,2,4,0,0,4,4,0,0,1,24,5,3,62.5
595,Nuno da Costa,CPV,"FW,MF",Auxerre,Ligue 1,31,1991,22.3,5,1,1,37,57,5,15,20,23,0,0,0,67,45,68,39.823008849557525
596,Samu Costa,POR,MF,Almería,La Liga,21,2000,22.1,5,0,0,51,44,4,8,37,31,0,0,0,143,48,24,66.66666666666666
597,Benoît Costil,FRA,GK,Auxerre,Ligue 1,35,1987,19.0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,100.0
598,Vladimír Coufal,CZE,DF,West Ham,Premier League,29,1992,23.7,5,0,0,30,21,1,113,38,31,0,0,0,150,40,22,64.51612903225806
599,Lassana Coulibaly,MLI,MF,Salernitana,Serie A,26,1996,32.1,12,0,0,53,50,1,10,25,50,0,0,0,222,29,38,43.28358208955223
600,Soumaïla Coulibaly,FRA,DF,Dortmund,Bundesliga,18,2003,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0
601,Tanguy Coulibaly,FRA,"FW,DF",Stuttgart,Bundesliga,21,2001,3.6,3,0,0,8,5,3,10,3,9,0,0,0,26,0,5,0.0
602,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,30,1992,31.0,0,0,0,0,3,0,0,3,0,0,0,0,59,9,0,100.0
603,Mathieu Coutadeur,FRA,MF,Ajaccio,Ligue 1,36,1986,21.6,2,0,0,6,13,0,5,19,13,0,0,0,150,9,13,40.909090909090914
604,Philippe Coutinho,BRA,"MF,FW",Aston Villa,Premier League,30,1992,8.8,3,0,0,16,14,2,19,4,14,0,0,0,41,3,13,18.75
605,Yan Couto,BRA,"DF,MF",Girona,La Liga,20,2002,12.9,3,0,0,12,15,2,63,5,18,0,0,0,78,1,7,12.5
606,Conor Coventry,IRL,"MF,FW",West Ham,Premier League,22,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
607,Nicolas Cozza,FRA,DF,"Montpellier,Wolfsburg","Ligue 1,Bundesliga",23,1999,15.299999999999999,3,0,0,8,20,3,14,21,24,0,0,0,68,22,23,48.888888888888886
609,Alessio Cragno,ITA,GK,Monza,Serie A,28,1994,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
610,Matthew Craig,SCO,MF,Tottenham,Premier League,19,2003,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
611,Aaron Cresswell,ENG,DF,West Ham,Premier League,32,1989,24.8,3,0,0,9,9,2,133,27,11,0,0,0,120,28,27,50.90909090909091
612,Bryan Cristante,ITA,"MF,DF",Roma,Serie A,27,1995,32.6,8,1,0,52,19,2,11,18,62,0,0,0,209,75,41,64.65517241379311
613,Domen Črnigoj,SVN,MF,Salernitana,Serie A,26,1995,3.3,1,0,0,6,2,0,0,9,3,0,0,0,21,5,7,41.66666666666667
614,Juan Cruz Armada,ESP,DF,Osasuna,La Liga,30,1992,22.9,7,0,0,17,9,1,35,13,14,0,0,0,94,18,22,45.0
615,Juan Cruz,ESP,FW,Betis,La Liga,22,2000,2.0,1,0,0,4,2,1,6,0,0,0,0,0,8,1,2,33.33333333333333
616,Juan Cuadrado,COL,"DF,FW",Juventus,Serie A,34,1988,23.1,6,1,0,33,44,2,83,24,34,1,0,0,115,11,13,45.83333333333333
617,Marc Cucurella,ESP,DF,Chelsea,Premier League,24,1998,18.6,4,0,0,16,21,1,44,16,33,0,0,0,120,16,13,55.172413793103445
618,Jorge Cuenca,ESP,DF,Villarreal,La Liga,22,1999,5.6,1,0,0,4,1,0,1,6,7,0,1,0,28,15,7,68.18181818181817
619,Braian Cufré,ARG,DF,Mallorca,La Liga,25,1996,2.4,0,0,0,5,3,2,1,2,2,0,0,0,13,0,1,0.0
620,Mickaël Cuisance,FRA,MF,Sampdoria,Serie A,22,1999,6.9,1,0,0,8,5,1,20,5,10,0,0,0,40,5,12,29.411764705882355
621,Matheus Cunha,BRA,FW,"Wolves,Atlético Madrid","Premier League,La Liga",23,1999,14.899999999999999,3,0,0,27,27,4,11,11,5,0,0,0,66,10,51,16.39344262295082
623,Curro,ESP,MF,Almería,La Liga,26,1996,0.5,1,0,0,1,0,0,1,0,0,0,0,0,3,0,2,0.0
624,Marco D'Alessandro,ITA,"DF,FW",Monza,Serie A,31,1991,3.2,2,0,0,6,9,1,13,1,4,0,0,0,19,2,2,50.0
625,Danilo D'Ambrosio,ITA,DF,Inter,Serie A,33,1988,8.1,3,1,0,16,11,0,9,10,17,1,0,0,39,8,9,47.05882352941176
626,Luca D'Andrea,ITA,FW,Sassuolo,Serie A,17,2004,3.5,0,0,0,4,9,1,7,1,0,0,0,0,13,2,3,40.0
627,Damien Da Silva,FRA,DF,Lyon,Ligue 1,34,1988,3.8,2,0,0,8,2,0,2,5,7,0,0,0,13,12,7,63.1578947368421
628,Moanes Dabbur,ISR,FW,Hoffenheim,Bundesliga,30,1992,10.4,3,1,0,12,17,10,6,5,8,0,0,0,44,7,22,24.137931034482758
629,Andréa Dacourt,FRA,MF,Nice,Ligue 1,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
630,Colin Dagba,FRA,"DF,MF",Strasbourg,Ligue 1,23,1998,10.6,3,0,0,14,6,1,35,17,20,0,0,0,51,3,5,37.5
631,Finn Dahmen,GER,GK,Mainz 05,Bundesliga,24,1998,8.0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,1,87.5
632,Mahmoud Dahoud,GER,MF,Dortmund,Bundesliga,26,1996,3.7,1,0,0,3,2,0,3,7,9,0,0,0,24,1,3,25.0
633,Patson Daka,ZAM,FW,Leicester City,Premier League,23,1998,13.2,2,0,0,23,15,7,8,7,8,1,0,0,36,26,45,36.61971830985916
634,Thijs Dallinga,NED,FW,Toulouse,Ligue 1,21,2000,26.1,4,0,0,35,19,22,18,3,6,0,0,0,41,56,68,45.16129032258064
635,Diogo Dalot,POR,DF,Manchester Utd,Premier League,23,1999,23.9,6,0,0,21,3,0,44,37,41,0,0,0,152,39,18,68.42105263157895
636,Muhammed Damar,GER,MF,Hoffenheim,Bundesliga,18,2004,1.8,0,0,0,6,1,0,2,0,3,0,0,0,12,2,2,50.0
637,Mikkel Damsgaard,DEN,"MF,FW",Brentford,Premier League,22,2000,11.0,4,0,0,13,11,0,29,10,21,0,0,0,70,10,9,52.63157894736842
638,Flavius Daniliuc,AUT,DF,"Salernitana,Nice","Serie A,Ligue 1",21,2001,25.4,9,0,0,35,4,0,2,29,29,0,0,0,137,40,28,58.82352941176471
640,Danilo,BRA,MF,Nott'ham Forest,Premier League,21,2001,10.8,1,0,0,4,3,2,3,9,7,0,0,0,60,4,14,22.22222222222222
641,Danilo,BRA,DF,Juventus,Serie A,31,1991,35.4,5,0,0,33,17,0,18,47,62,0,2,0,196,53,38,58.24175824175825
642,Arnaut Danjuma,NED,"FW,MF","Tottenham,Villarreal","Premier League,La Liga",25,1997,7.199999999999999,0,0,0,2,8,4,8,0,3,0,0,0,11,1,5,16.666666666666664
644,Kévin Danois,FRA,MF,Auxerre,Ligue 1,18,2004,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
645,Kevin Danso,AUT,DF,Lens,Ligue 1,23,1998,35.9,7,1,0,39,57,2,0,33,19,1,2,0,224,82,32,71.9298245614035
646,Dante,BRA,DF,Nice,Ligue 1,38,1983,36.7,6,0,0,38,18,0,2,47,40,0,1,0,261,74,28,72.54901960784314
647,Márton Dárdai,GER,"DF,MF",Hertha BSC,Bundesliga,20,2002,10.5,2,0,0,11,9,0,1,11,8,0,0,0,52,17,17,50.0
648,Sergi Darder,ESP,MF,Espanyol,La Liga,28,1993,36.9,4,0,0,31,78,2,181,24,38,0,0,0,205,12,13,48.0
649,Achraf Dari,MAR,DF,Brest,Ligue 1,23,1999,14.6,1,0,0,13,13,2,1,19,14,1,1,0,78,35,24,59.32203389830508
650,Vladimír Darida,CZE,MF,Hertha BSC,Bundesliga,31,1990,0.3,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0.0
651,Matteo Darmian,ITA,DF,Inter,Serie A,32,1989,22.5,3,0,0,21,20,3,28,21,30,0,0,0,121,15,23,39.473684210526315
652,Josh Dasilva,ENG,MF,Brentford,Premier League,23,1998,15.4,1,0,0,14,23,0,33,5,9,0,0,0,66,6,8,42.857142857142854
653,David Datro Fofana,CIV,FW,Chelsea,Premier League,19,2002,0.8,0,0,0,3,3,1,1,0,1,0,0,0,6,0,0,
654,Jonathan David,CAN,FW,Lille,Ligue 1,22,2000,35.2,6,0,0,41,59,23,7,8,17,0,0,0,89,16,64,20.0
655,Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,21,2000,22.7,0,0,0,9,26,3,25,24,28,0,0,0,199,6,6,50.0
656,Ben Davies,WAL,DF,Tottenham,Premier League,29,1993,25.4,4,0,0,30,17,1,35,18,11,0,0,0,84,70,53,56.91056910569105
657,Tom Davies,ENG,MF,Everton,Premier League,24,1998,6.0,3,0,0,10,6,1,2,4,9,0,0,0,28,7,13,35.0
658,Paweł Dawidowicz,POL,DF,Hellas Verona,Serie A,27,1995,18.1,6,1,0,37,13,1,13,23,31,0,0,0,120,43,27,61.42857142857143
659,Craig Dawson,ENG,DF,"West Ham,Wolves",Premier League,32,1990,23.7,6,0,0,17,13,0,2,18,6,1,1,0,120,48,43,52.74725274725275
661,Kevin De Bruyne,BEL,MF,Manchester City,Premier League,31,1991,26.9,1,0,0,20,29,5,226,9,12,2,0,0,97,13,13,50.0
662,Charles De Ketelaere,BEL,"MF,FW",Milan,Serie A,21,2001,12.4,2,0,0,19,15,2,10,4,12,0,0,0,56,19,30,38.775510204081634
663,Manuel De Luca,ITA,"FW,MF",Sampdoria,Serie A,24,1998,0.5,0,0,0,3,2,0,0,0,0,0,0,0,1,0,3,0.0
664,Tommaso De Nipoti,ITA,MF,Atalanta,Serie A,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
665,Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,28,1994,21.4,5,0,0,33,49,0,47,8,21,0,0,0,127,6,8,42.857142857142854
666,Mattia De Sciglio,ITA,DF,Juventus,Serie A,29,1992,11.6,0,0,0,4,11,0,26,4,7,0,0,0,40,10,11,47.61904761904761
667,Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,34,1988,7.5,1,0,0,6,6,2,7,3,2,0,0,1,39,14,12,53.84615384615385
668,Thibault De Smet,BEL,DF,Reims,Ligue 1,24,1998,19.5,2,0,0,25,9,3,48,20,17,0,0,0,104,31,7,81.57894736842105
669,Koni De Winter,BEL,DF,Empoli,Serie A,20,2002,11.4,3,0,0,13,2,0,0,6,9,0,0,0,58,16,11,59.25925925925925
670,Grégoire Defrel,MTQ,FW,Sassuolo,Serie A,31,1991,13.0,3,0,0,14,14,6,1,2,7,0,0,0,29,6,24,20.0
671,Duccio Degl'Innocenti,ITA,MF,Empoli,Serie A,19,2003,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
672,Brecht Dejaegere,BEL,MF,Toulouse,Ligue 1,31,1991,20.1,5,0,0,40,37,1,19,14,23,0,1,0,86,8,16,33.33333333333333
673,Romain Del Castillo,FRA,"MF,FW",Brest,Ligue 1,26,1996,15.8,2,0,0,19,24,1,101,11,24,1,0,0,86,18,24,42.857142857142854
674,Alberto Del Moral,ESP,MF,Villarreal,La Liga,22,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
675,Thomas Delaine,FRA,"DF,MF",Strasbourg,Ligue 1,30,1992,11.9,3,0,0,15,12,0,66,16,14,0,2,0,53,11,11,50.0
